code	comm_id	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
117551922	0	16	100	100	1	2	0	0	0
3287248430	0	16	20	20	0	1	0	2	0
354733383	0	8	10	10	2	1	0	0	0
3497756515	0	16	5	5	0	1	0	0	0
284627766	0	8	20	20	2	4	0	0	0
3307339839	0	16	100	100	4	1	0	0	0
3251648451	0	16	10	10	4	3	0	0	0
2116900221	0	16	100	100	2	1	0	0	0
3543345182	0	16	10	10	3	4	0	0	0
3008683847	0	512	20	20	3	0	0	0	0
2195932538	0	32	20	20	2	1	0	0	0
4186886223	0	8	10	10	1	0	0	1	0
4108016741	0	16	10	10	3	4	0	0	0
2527929993	0	16	20	20	3	0	0	0	0
1022455305	0	16	20	20	2	1	0	0	0
717952342	0	8	100	100	3	4	0	0	0
825445547	0	16	10	10	4	3	0	0	0
2313163904	0	8	20	20	0	2	0	0	0
4221629268	0	32	10	10	4	2	0	0	0
2113507988	0	8	10	10	2	0	0	0	0
1313432273	0	16	5	5	1	0	0	3	0
139264201	0	256	20	20	0	4	0	0	0
4220341959	0	16	1000	1000	3	2	0	0	0
4003226506	0	16	100	100	4	0	0	2	0
1583527300	0	16	10	10	2	1	0	0	0
1936138701	0	16	1000	1000	2	1	0	3	0
2210216519	0	8	20	20	3	2	0	0	0
4262569974	0	16	10	10	0	1	0	0	0
3356001779	0	16	20	20	1	4	0	0	0
3279282232	0	16	100	100	0	3	0	0	0
220185805	0	16	20	20	4	3	0	2	0
914781727	0	16	10	10	1	3	0	0	0
748536559	0	16	10	10	1	4	0	0	0
3364349657	0	8	20	20	1	0	0	0	0
2343029258	0	16	2	2	0	2	0	0	0
1454332642	0	8	50	50	1	4	0	0	0
3306854156	0	16	20	20	2	4	0	0	0
3792280599	0	16	10	10	1	2	0	0	0
3677986597	0	16	20	20	4	0	0	0	0
1713985316	0	32	20	20	1	0	0	0	0
1374263597	0	32	20	20	2	4	0	2	0
438792163	0	8	1000	1000	2	0	0	0	0
1574420508	0	16	20	20	1	3	0	0	0
3408619328	0	8	10	10	3	0	0	0	0
2991688214	0	16	2	2	0	1	0	1	0
2057873968	0	16	10	10	0	4	0	0	0
1333969393	0	8	100	100	2	1	0	0	0
1619471687	0	8	1000	1000	0	1	0	0	0
705951932	0	8	20	20	2	1	0	2	0
546811387	0	16	20	20	1	0	0	0	0
71625839	0	8	10	10	1	0	0	2	0
1272805350	0	8	10	10	0	2	0	0	0
2813627925	0	32	20	20	3	2	0	0	0
2464134184	0	16	20	20	0	4	0	0	0
453573057	0	8	10	10	2	1	0	0	0
3597960923	0	32	10	10	3	1	0	0	0
3909333715	0	16	100	100	1	0	0	0	0
2241477398	0	32	20	20	2	4	0	0	0
388208914	0	8	10	10	0	2	0	0	0
1904745008	0	32	20	20	2	4	0	0	0
2560586676	0	32	10	10	3	4	0	2	0
3425584942	0	16	100	100	3	0	0	0	0
3782148946	0	8	10	10	4	3	0	0	0
3118736824	0	16	100	100	4	3	0	0	0
179074309	0	128	2	2	1	0	0	0	0
3504126642	0	16	10	10	0	2	0	0	0
753053826	0	128	100	100	4	0	0	1	0
3226698128	0	32	50	50	3	0	0	0	0
821503017	0	8	10	10	3	0	0	0	0
1075003315	0	16	10	10	4	1	0	0	0
3960688052	0	8	10	10	0	4	0	3	0
605184649	0	32	1	1	0	1	0	3	0
3387154333	0	16	100	100	2	3	0	2	0
3860343311	0	16	20	20	2	3	0	0	0
4158403585	0	8	20	20	4	1	0	0	0
157319458	0	16	10	10	4	3	0	3	0
2012126965	0	8	20	20	0	2	0	0	0
1275571346	0	8	100	100	4	0	0	0	0
2492043535	0	8	100	100	4	2	0	0	0
2030943339	0	16	10	10	3	4	0	0	0
404012887	0	8	100	100	2	3	0	0	0
587784642	0	8	20	20	0	3	0	0	0
3718871301	0	32	50	50	0	4	0	0	0
3556255239	0	16	100	100	3	0	0	0	0
611737005	0	8	50	50	2	4	0	0	0
3533920101	0	8	100	100	4	3	0	0	0
1269535557	0	8	10	10	1	2	0	0	0
2688379025	0	8	1	1	2	0	0	1	0
1215784621	0	16	10	10	4	3	0	3	0
2813048309	0	32	1	1	1	0	0	0	0
1995217956	0	8	20	20	0	1	0	0	0
535734929	0	8	100	100	1	4	0	0	0
4048003845	0	8	20	20	4	1	0	0	0
789114965	0	16	20	20	1	3	0	0	0
171042201	0	16	100	100	4	2	0	0	0
1727461938	0	16	1	1	2	1	0	0	0
3579971597	0	8	10	10	2	4	0	0	0
2935137891	0	16	20	20	2	4	0	2	0
2734246491	0	8	10	10	1	3	0	0	0
3771760951	0	16	20	20	0	1	0	2	1
1509243454	0	16	20	20	0	1	0	0	0
1296480407	0	32	20	20	3	4	0	2	0
2060587006	0	16	1	1	0	1	0	0	0
68530441	0	8	10	10	0	1	0	2	0
3439158885	0	32	20	20	1	4	0	0	0
141934046	0	8	20	20	2	4	0	0	0
3511784613	0	16	10	10	1	4	0	0	0
3991079552	0	8	20	20	2	0	0	0	0
3003883281	0	32	100	100	4	0	0	1	0
1915029885	0	16	20	20	0	1	0	0	0
3913569325	0	32	1000	1000	3	1	0	2	0
2178255755	0	8	1	1	0	2	0	0	0
805750309	0	8	5	5	0	2	0	0	0
1671960152	0	16	10	10	2	4	0	2	0
1441553662	0	32	10	10	4	3	0	1	0
1256000546	0	16	100	100	2	4	0	0	0
338420839	0	8	10	10	1	2	0	1	0
189237990	0	16	10	10	4	2	0	3	0
1033332367	0	64	2	2	1	0	0	0	0
1808337518	0	16	20	20	2	1	0	1	0
1084951547	0	16	10	10	0	2	0	0	0
841108240	0	8	10	10	2	0	0	0	0
343863444	0	16	20	20	4	2	0	0	0
4137582635	0	16	5	5	0	1	0	0	0
62596438	0	16	100	100	3	0	0	0	0
4271554358	0	32	10	10	0	1	0	0	0
3212793146	0	16	100	100	2	0	0	0	0
2344623476	0	16	5	5	1	0	0	0	0
2774252885	0	8	100	100	4	3	0	0	0
895616512	0	8	100	100	3	4	0	0	0
4056602658	0	16	1000	1000	1	2	0	0	0
2034527224	0	8	100	100	0	1	0	1	0
3531204594	0	16	10	10	4	0	0	0	0
553273919	0	8	1000	1000	1	0	0	0	0
1529637348	0	16	10	10	1	2	0	1	0
2386624040	0	16	20	20	0	2	0	1	0
417705561	0	16	100	100	0	4	0	2	0
201452543	0	8	10	10	0	3	0	0	0
2816865256	0	8	2	2	1	2	0	0	0
2150941508	0	16	20	20	2	4	0	1	0
1417943232	0	16	10	10	3	1	0	0	0
1753194454	0	16	20	20	4	2	0	1	0
4155093789	0	8	10	10	1	4	0	0	0
1751864132	0	8	20	20	4	2	0	0	0
2625028474	0	16	100	100	1	2	0	0	0
3273304721	0	8	20	20	3	1	0	0	0
380757618	0	16	20	20	3	0	0	1	0
1067408303	0	16	10	10	2	1	0	0	0
3437354675	0	8	100	100	4	2	0	0	0
1346800334	0	16	100	100	3	4	0	1	0
