# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026426_202025\retry_probability_reports\E12S200_12ecu_200signals_017.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.65540799999999888	0.65540799999999888	200	50	1
baseline1	0.66714399999999896	0.66714399999999896	200	73	1
baseline2	0.5017050822998177	0.50170439999999994	200	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	150	0.13532580800008301	0.35880000000007045
foundation	B	20	0.027507940000005122	0.13802000000002579
foundation	C	20	0.013294200000069648	0.080200000000013455
foundation	D	10	0.012948000000002707	0.035840000000007421
baseline1	A	150	0.13575109600008103	0.35584000000007449
baseline1	B	20	0.042131760000008706	0.13584000000003016
baseline1	C	20	0.047441800000051007	0.13980000000003087
baseline1	D	10	0.053094800000011377	0.17168000000003758
baseline2	A	150	0.11167005866666678	0.2778400000000002
baseline2	B	20	0.11032522000000003	0.26596000000000014
baseline2	C	20	0.1288558000000001	0.27388000000000018
baseline2	D	10	0.13241480000000005	0.2778400000000002

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	150	4.0213332520911899e-08	6.1599998102720045e-08
foundation	B	20	1.5762799374062579e-15	1.7305599280087053e-15
foundation	C	20	1.5721199376616822e-15	1.6473599331171859e-15
foundation	D	10	1.6006399359057941e-15	1.813759922733826e-15
baseline1	A	150	3.4101332894119372e-08	6.1599998102720045e-08
baseline1	B	20	1.5843999369116501e-15	1.7305599280087053e-15
baseline1	C	20	1.6006399359224339e-15	1.7305599280087053e-15
baseline1	D	10	1.6176799348333781e-15	1.9009599171181472e-15
baseline2	A	150	1.7023419710919066e-17	1.1102230246251565e-16
baseline2	B	20	1.1102230246251566e-17	1.1102230246251565e-16
baseline2	C	20	0	0
baseline2	D	10	1.1102230246251566e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	150	0
foundation	B	20	20
foundation	C	20	20
foundation	D	10	10
baseline1	A	150	23
baseline1	B	20	20
baseline1	C	20	20
baseline1	D	10	10
baseline2	A	150	0
baseline2	B	20	0
baseline2	C	20	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	255089647	D	3	0	10	6	8	2	1	1.813759922733826e-15	2.7777777777777781e-14	0.043599998099066402	1.7763568394002505e-15	0.043600000000026284	2.6712000000005105
foundation	298581940	D	3	0	10	5	11	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.35639998588662553	1.5543122344752192e-15	0.35640000000006467	1.4792000000002758
foundation	1959543932	D	3	0	10	4	8	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	3.706800000000726
foundation	2584498604	D	3	0	10	5	6	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	3.3900000000006685
foundation	3235466142	D	3	0	10	1	10	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.3583999858074351	1.5543122344752192e-15	0.35840000000007421	0.63560000000012451
foundation	204580937	D	3	0	20	3	7	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.3583999858074351	1.5543122344752192e-15	0.35840000000007421	5.037600000000964
foundation	1134714378	D	3	0	20	11	6	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.7564000000003261
foundation	1583885050	D	3	0	20	11	6	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.7564000000003261
foundation	2117257734	D	3	0	100	10	9	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.0275999197074492	1.5543122344752192e-15	2.0276000000004046	6.9444000000013375
foundation	3665618013	D	3	0	100	8	7	2	1	1.6473599331171859e-15	2.7777777777777779e-13	0.35639998588662553	1.5543122344752192e-15	0.35640000000006467	6.5484000000012657
foundation	2039064989	C	2	0	1	2	0	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.077199996943851351	1.5543122344752192e-15	0.077200000000971158	0.16040000000003829
foundation	410191581	C	2	0	2	1	0	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.075199997022871251	1.5543122344752192e-15	0.075200000000791078	0.31280000000043628
foundation	1344100940	C	2	0	10	10	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	3.6276000000007116
foundation	1610002631	C	2	0	10	7	1	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	2.9128000000005727
foundation	1835265405	C	2	0	10	7	8	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.5980000000002974
foundation	2556087684	C	2	0	10	1	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.31679998745477822	1.5543122344752192e-15	0.31680000000005748	0.31880000000006703
foundation	2822623737	C	2	0	10	3	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.80199996824093644	1.5543122344752192e-15	0.80200000000013461	0.91480000000018435
foundation	3359972889	C	2	0	10	11	9	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.71480000000013888
foundation	3561542896	C	2	0	10	4	10	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	2.4316000000004578
