# 跨数据集汇总的信号装帧映射表，用于查看每个信号实例被打包到哪个 CANFD 帧。
# 同一 code 在 foundation / baseline1 中可能出现多次，对应新增副本或同源备份。
# baseline2 不新增副本，因此通常每个 code 只有 1 条映射记录。

[signal_frame_mapping]
dataset	scheme	code	message_id	signal_instance_index	signal_instance_count	is_added_copy	frame_id	frame_priority	frame_period_ms	frame_deadline_ms	frame_offset_ms	frame_trans_time_ms	frame_payload_bytes	frame_message_count	signal_period_ms	signal_deadline_ms	asil	level	type	src_ecu	dst_ecu
E12S200_12ecu_200signals_001	foundation	8194639	197	1	1	0	79	96	20	20	0	0.039600000000000003	1	2	20	20	A	0	0	11	10
E12S200_12ecu_200signals_001	foundation	11439618	165	1	1	0	23	85	20	20	0	0.039600000000000003	1	2	20	20	A	0	0	3	6
E12S200_12ecu_200signals_001	foundation	51640935	89	1	1	0	52	91	20	20	0	0.039600000000000003	1	1	20	20	A	0	0	7	9
E12S200_12ecu_200signals_001	foundation	122359806	161	1	2	0	44	2	1	1	0	0.039600000000000003	1	3	1	1	B	1	0	0	1
E12S200_12ecu_200signals_001	foundation	122359806	161	2	2	1	45	3	1	1	0.15600000000097225	0.039600000000000003	1	2	1	1	B	1	0	0	1
E12S200_12ecu_200signals_001	foundation	170236364	178	1	1	0	210	79	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	9	10
E12S200_12ecu_200signals_001	foundation	223096559	56	1	1	0	21	22	10	10	0	0.039600000000000003	1	1	10	10	A	0	0	4	2
E12S200_12ecu_200signals_001	foundation	249309801	128	1	1	0	128	105	20	20	0	0.039600000000000003	1	2	20	20	A	0	0	6	10
E12S200_12ecu_200signals_001	foundation	279334515	147	1	1	0	203	188	1000	1000	0	0.039600000000000003	1	1	1000	1000	A	0	0	7	5
E12S200_12ecu_200signals_001	foundation	357139075	124	1	1	0	209	78	10	10	0	0.039600000000000003	1	2	10	10	A	0	0	0	6
E12S200_12ecu_200signals_001	foundation	357788535	17	1	1	0	189	119	20	20	0	0.039600000000000003	1	2	20	20	A	0	0	7	4
E12S200_12ecu_200signals_001	foundation	372420281	153	1	1	0	77	34	10	10	0	0.039600000000000003	1	2	10	10	A	0	1	9	11
E12S200_12ecu_200signals_001	foundation	380895835	149	1	1	0	23	85	20	20	0	0.039600000000000003	1	2	20	20	A	0	0	3	6
E12S200_12ecu_200signals_001	foundation	411753790	38	1	2	0	61	28	10	10	0	0.039600000000000003	1	1	10	10	B	1	0	1	8
E12S200_12ecu_200signals_001	foundation	411753790	38	2	2	1	142	55	10	10	1.4468000000020425	0.039600000000000003	1	1	10	10	B	1	0	1	8
E12S200_12ecu_200signals_001	foundation	421846693	64	1	2	0	162	113	20	20	0	0.039600000000000003	1	1	20	20	D	3	0	11	6
