# Average bandwidth-utilization data used for plotting.

config	ecu_count	signal_count	scheme	avg_bandwidth_utilization
E5S50_5ecu_50signals	5	50	foundation	0.18990512
E5S50_5ecu_50signals	5	50	baseline1	0.19446112
E5S50_5ecu_50signals	5	50	baseline2	0.15309324207325542
E5S80_5ecu_80signals	5	80	foundation	0.30409096
E5S80_5ecu_80signals	5	80	baseline1	0.31223496
E5S80_5ecu_80signals	5	80	baseline2	0.22565767103914855
E5S120_5ecu_120signals	5	120	foundation	0.3666954400000001
E5S120_5ecu_120signals	5	120	baseline1	0.39295624000000007
E5S120_5ecu_120signals	5	120	baseline2	0.2644267395262217
E5S150_5ecu_150signals	5	150	foundation	0.44415824000000004
E5S150_5ecu_150signals	5	150	baseline1	0.46932144000000003
E5S150_5ecu_150signals	5	150	baseline2	0.31725789036531465
E5S200_5ecu_200signals	5	200	foundation	0.5134802400000001
E5S200_5ecu_200signals	5	200	baseline1	0.53679784
E5S200_5ecu_200signals	5	200	baseline2	0.3447221558362875
E5S250_5ecu_250signals	5	250	foundation	0.5099105599999999
E5S250_5ecu_250signals	5	250	baseline1	0.55879696
E5S250_5ecu_250signals	5	250	baseline2	0.363782986690358
E8S50_8ecu_50signals	8	50	foundation	0.26231343999999995
E8S50_8ecu_50signals	8	50	baseline1	0.26270943999999996
E8S50_8ecu_50signals	8	50	baseline2	0.20073527496285043
E8S80_8ecu_80signals	8	80	foundation	0.3404522399999999
E8S80_8ecu_80signals	8	80	baseline1	0.34613943999999996
E8S80_8ecu_80signals	8	80	baseline2	0.27212253775764833
E8S120_8ecu_120signals	8	120	foundation	0.43413856000000006
E8S120_8ecu_120signals	8	120	baseline1	0.4464937600000001
E8S120_8ecu_120signals	8	120	baseline2	0.328169015131491
E8S150_8ecu_150signals	8	150	foundation	0.5379986399999996
E8S150_8ecu_150signals	8	150	baseline1	0.5738658399999998
E8S150_8ecu_150signals	8	150	baseline2	0.3820538883136827
E8S200_8ecu_200signals	8	200	foundation	0.6015463999999995
E8S200_8ecu_200signals	8	200	baseline1	0.6208639999999997
E8S200_8ecu_200signals	8	200	baseline2	0.4245526020067814
E8S250_8ecu_250signals	8	250	foundation	0.6669170399999992
E8S250_8ecu_250signals	8	250	baseline1	0.7133594399999995
E8S250_8ecu_250signals	8	250	baseline2	0.4688059639628806
E12S50_12ecu_50signals	12	50	foundation	0.24467736
E12S50_12ecu_50signals	12	50	baseline1	0.24467736
E12S50_12ecu_50signals	12	50	baseline2	0.19632567949991628
E12S80_12ecu_80signals	12	80	foundation	0.36938096
E12S80_12ecu_80signals	12	80	baseline1	0.37506496
E12S80_12ecu_80signals	12	80	baseline2	0.2846129737611931
E12S120_12ecu_120signals	12	120	foundation	0.5088915199999999
E12S120_12ecu_120signals	12	120	baseline1	0.52100352
E12S120_12ecu_120signals	12	120	baseline2	0.37628360901972047
E12S150_12ecu_150signals	12	150	foundation	0.5845025599999991
E12S150_12ecu_150signals	12	150	baseline1	0.5953785599999997
E12S150_12ecu_150signals	12	150	baseline2	0.43726532799121526
E12S200_12ecu_200signals	12	200	foundation	0.7221209599999979
E12S200_12ecu_200signals	12	200	baseline1	0.7481881599999985
E12S200_12ecu_200signals	12	200	baseline2	0.5206478219699082
E12S250_12ecu_250signals	12	250	foundation	0.8014115199999974
E12S250_12ecu_250signals	12	250	baseline1	0.8478147199999977
E12S250_12ecu_250signals	12	250	baseline2	0.5742569206036351
