# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E12S120_12ecu_120signals_002.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.51363279999999978	0.51363279999999978	120	30	1
baseline1	0.51803279999999985	0.51803279999999985	120	42	1
baseline2	0.38901393670139706	0.38901359999999996	120	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	90	0.10936560000003631	0.25068000000005097
foundation	B	12	0.014806633333394071	0.073200000000213095
foundation	C	12	0.0124706666666854	0.05980000000001269
foundation	D	6	0.021779933333369906	0.083560000000016996
baseline1	A	90	0.10332658222228147	0.19584000000004381
baseline1	B	12	0.038786166666732333	0.11980000000002633
baseline1	C	12	0.050329000000010969	0.083960000000018908
baseline1	D	6	0.028956533333339658	0.080200000000019145
baseline2	A	90	0.088208942222222239	0.17188000000000003
baseline2	B	12	0.074351700000000034	0.13366000000000008
baseline2	C	12	0.097635000000000027	0.15999999999999998
baseline2	D	6	0.10126726666666667	0.14752000000000012

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	90	3.9755554764937712e-08	4.5599998960320021e-08
foundation	B	12	1.5813599370903863e-15	1.7265599281751066e-15
foundation	C	12	1.5681599379008662e-15	1.5681599379008662e-15
foundation	D	6	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	A	90	3.4386666204383063e-08	4.5599998960320021e-08
baseline1	B	12	1.6094266020112928e-15	1.9009599171181472e-15
baseline1	C	12	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	D	6	1.5681599379008662e-15	1.5681599379008662e-15
baseline2	A	90	8.6350679693067732e-18	1.1102230246251565e-16
baseline2	B	12	0	0
baseline2	C	12	0	0
baseline2	D	6	1.8503717077085941e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	90	0
foundation	B	12	12
foundation	C	12	12
foundation	D	6	6
baseline1	A	90	12
baseline1	B	12	12
baseline1	C	12	12
baseline1	D	6	6
baseline2	A	90	0
baseline2	B	12	0
baseline2	C	12	0
baseline2	D	6	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	7191318509579047790	D	3	0	5	0	2	2	1	1.5681599379008662e-15	1.388888888888889e-14	0.05519999781505993	1.5543122344752192e-15	0.055200000000979799	0.36040000000008376
foundation	7423038485805451952	D	3	0	10	11	8	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.83559996691041205	1.5543122344752192e-15	0.83560000000016998	0.95440000000019154
foundation	7686355839998867251	D	3	0	10	0	5	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.6316000000003328
foundation	4005049034314492887	D	3	0	20	11	4	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.59399997647770919	1.5543122344752192e-15	0.59400000000010778	3.3424000000006799
foundation	8612350840296062551	D	3	0	20	6	11	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	2.942400000000589
foundation	7333851867878009432	D	3	0	1000	11	6	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.43959998259184146	1.5543122344752192e-15	0.43960000000000043	6.0096000000000087
foundation	6180186705931605387	C	2	0	5	1	2	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.05519999781505993	1.5543122344752192e-15	0.055200000000979799	0.47920000000010532
foundation	2626659685202178406	C	2	0	10	1	11	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.079199996863694555	1.5543122344752192e-15	0.07920000000001437	1.8296000000003687
foundation	4454314578066816165	C	2	0	10	2	6	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.75640000000015561
foundation	9197439680777657976	C	2	0	10	5	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.9880000000003974
foundation	10706793456970718893	C	2	0	10	11	5	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.59799997631932822	1.5543122344752192e-15	0.59800000000012687	0.95440000000019154
foundation	12437703337573908632	C	2	0	10	1	11	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.079199996863694555	1.5543122344752192e-15	0.07920000000001437	1.8296000000003687
foundation	5988600658961530495	C	2	0	20	9	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.47919998102378641	1.5543122344752192e-15	0.47920000000010532	2.8236000000005674
foundation	10219488794350002541	C	2	0	20	7	9	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	3.6988000000007446
foundation	16030096822434060742	C	2	0	20	0	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.51879997945563372	1.5543122344752192e-15	0.5188000000001125	2.7444000000005531
foundation	17022521524545370056	C	2	0	20	6	5	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	2.5860000000005243
foundation	14712248605547126588	C	2	0	50	7	6	2	1	1.5681599379008662e-15	1.3888888888888889e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	4.4948000000009074
foundation	8757081697114136243	C	2	0	100	2	11	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	5.4948000000010779
foundation	9063215084648501196	B	1	0	1	0	2	2	1	1.7265599281751066e-15	2.7777777777777774e-14	0.073199997101493275	1.6653345369377348e-15	0.073200000000213095	0.077200000000232194
foundation	343143068586517232	B	1	0	2	2	0	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.067199997339291981	1.5543122344752192e-15	0.067200000000411819	0.22960000000045966
foundation	5480684565228266339	B	1	0	2	2	0	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.067199997339291981	1.5543122344752192e-15	0.067200000000411819	0.22960000000045966
foundation	730972111059139438	B	1	0	10	1	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.05519999781505993	1.5543122344752192e-15	0.055200000000979799	0.47920000000010532
foundation	4443455458796659769	B	1	0	10	0	6	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.55840000000011969
foundation	4871356916309127287	B	1	0	10	5	7	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.3940000000002897
foundation	4999319350284199875	B	1	0	20	8	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	3.580000000000723
foundation	15629235472112607766	B	1	0	20	2	6	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.75640000000015561
foundation	16168496072897864322	B	1	0	20	6	9	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.23759999059108367	1.5543122344752192e-15	0.23760000000004311	2.6652000000005387
foundation	3791446492154245719	B	1	0	100	1	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	4.9364000000009582
foundation	8569872062768766715	B	1	0	100	10	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.75639997004671744	1.5543122344752192e-15	0.75640000000015561	5.0156000000009726
foundation	10786613066750098460	B	1	0	1000	2	10	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	5.8512000000000084
foundation	535895922595072339	A	0	0	1	0	1	1	0	3.9599999215920021e-08	1	0.15640000000024656	3.95999991686935e-08	0.15640000000024656	0.15640000000024656
foundation	2612798931883687915	A	0	0	1	0	2	1	0	4.3599999049520024e-08	1	0.077200000000232194	4.3599999055565775e-08	0.077200000000232194	0.077200000000232194
foundation	15813435133550276936	A	0	0	1	0	2	1	0	4.3599999049520024e-08	1	0.077200000000232194	4.3599999055565775e-08	0.077200000000232194	0.077200000000232194
foundation	16801498330975681509	A	0	0	1	2	1	1	0	3.9599999215920021e-08	1	0.19600000000025375	3.95999991686935e-08	0.19600000000025375	0.19600000000025375
foundation	5608907848942004512	A	0	1	2	1	0	1	0	3.9599999215920021e-08	1	0.34840000000048121	3.95999991686935e-08	0.34840000000048121	0.34840000000048121
foundation	6142823451312640032	A	0	0	2	1	2	1	0	3.9599999215920021e-08	1	0.30880000000047403	3.95999991686935e-08	0.30880000000047403	0.30880000000047403
