# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E12S120_12ecu_120signals_004.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.45356440000000015	0.45356440000000015	120	30	1
baseline1	0.48180439999999991	0.48180439999999991	120	40	1
baseline2	0.36790994291189327	0.36790959999999989	120	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	90	0.10916928444448196	0.23860000000004788
foundation	B	12	0.026442966666680921	0.071880000000015792
foundation	C	12	0.033292300000015623	0.10316000000001964
foundation	D	6	0.021283266666702699	0.047820000000010056
baseline1	A	90	0.098801982222259888	0.18940000000004034
baseline1	B	12	0.03203996666668283	0.071680000000014843
baseline1	C	12	0.032312633333349695	0.10772000000002321
baseline1	D	6	0.036263066666674469	0.071680000000014843
baseline2	A	90	0.086954915555555568	0.17564000000000005
baseline2	B	12	0.093699133333333393	0.17168000000000003
baseline2	C	12	0.086387933333333347	0.18356000000000006
baseline2	D	6	0.073613066666666657	0.13207999999999995

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	90	3.9799999207622164e-08	4.5599998960320021e-08
foundation	B	12	1.5747599375022262e-15	1.6473599331171859e-15
foundation	C	12	1.5813599371035861e-15	1.6473599331171859e-15
foundation	D	6	1.5945599362799061e-15	1.7265599281751066e-15
baseline1	A	90	3.5266666152022171e-08	4.5599998960320021e-08
baseline1	B	12	1.5816932704098528e-15	1.7305599280087053e-15
baseline1	C	12	1.5952266029188393e-15	1.7305599280087053e-15
baseline1	D	6	1.6236266011037463e-15	1.9009599171181472e-15
baseline2	A	90	8.6350679693067732e-18	1.1102230246251565e-16
baseline2	B	12	0	0
baseline2	C	12	0	0
baseline2	D	6	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	90	0
foundation	B	12	12
foundation	C	12	12
foundation	D	6	6
baseline1	A	90	10
baseline1	B	12	12
baseline1	C	12	12
baseline1	D	6	6
baseline2	A	90	0
baseline2	B	12	0
baseline2	C	12	0
baseline2	D	6	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	8403677440025003876	D	3	0	5	1	2	2	1	1.5681599379008662e-15	1.388888888888889e-14	0.051199997973440818	1.5543122344752192e-15	0.051200000000960699	0.31880000000006703
foundation	6408062170588570470	D	3	0	10	10	5	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.5920000000003256
foundation	17497651998176889364	D	3	0	10	6	4	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.35639998588662553	1.5543122344752192e-15	0.35640000000006467	0.67920000000015079
foundation	5127327957609319914	D	3	0	20	11	10	2	1	1.7265599281751066e-15	5.5555555555555561e-14	0.59999997384013815	1.7763568394002505e-15	0.60000000000013642	2.9384000000005699
foundation	9496960976839953477	D	3	0	20	8	10	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.95639996212676337	1.5543122344752192e-15	0.95640000000020109	2.8196000000005483
foundation	17846453768250398735	D	3	0	1000	4	5	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	5.7264000000000079
foundation	17127593192133787431	C	2	0	2	1	0	2	1	1.6473599331171859e-15	5.5555555555555549e-14	0.077199996788712394	1.6653345369377348e-15	0.077200000000232194	0.15040000000021791
foundation	3668531649903740595	C	2	0	10	6	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.87720000000018672
foundation	5939142084957528327	C	2	0	10	3	9	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.0315999591488387	1.5543122344752192e-15	1.0316000000001964	1.3940000000002897
foundation	8655176677338153253	C	2	0	10	5	6	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.75839996996752701	1.5543122344752192e-15	0.75840000000016516	1.5484000000002993
foundation	11748911812602736779	C	2	0	10	4	6	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.51679997953482415	1.5543122344752192e-15	0.51680000000010295	0.67920000000015079
foundation	5113406550027730650	C	2	0	20	11	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.39799998423928235	1.5543122344752192e-15	0.3980000000000814	2.5444000000005076
foundation	9193637794746074909	C	2	0	20	8	9	2	1	1.6473599331171859e-15	5.5555555555555559e-13	1.189999952876228	1.5543122344752192e-15	1.1900000000002251	2.6256000000005315
foundation	9419068193540812200	C	2	0	20	2	7	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.87319996542144973	1.5543122344752192e-15	0.87320000000016762	2.7444000000005531
foundation	3714078297889676146	C	2	0	100	0	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.11879999529554183	1.5543122344752192e-15	0.11880000000002156	4.4116000000008739
foundation	9907644024321691449	C	2	0	100	4	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	5.4096000000010349
foundation	11157305981024460789	C	2	0	100	4	11	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.15839999372738911	1.5543122344752192e-15	0.15840000000002874	4.8136000000009176
foundation	15242839434164063653	C	2	0	1000	0	8	2	1	1.5681599379008662e-15	2.7777777777777777e-11	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	5.8452000000000082
