# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E12S200_12ecu_200signals_003.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.73513719999999794	0.73513719999999794	200	50	1
baseline1	0.76091719999999852	0.76091719999999852	200	77	1
baseline2	0.51909915006526697	0.51909839999999974	200	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	150	0.17716258933351686	0.44408000000028097
foundation	B	20	0.027864379999849455	0.16773999999993522
foundation	C	20	0.026966959999868916	0.1201600000001207
foundation	D	10	0.020547199999955239	0.087420000000017234
baseline1	A	150	0.16148951200009337	0.38186000000007425
baseline1	B	20	0.084503560000075736	0.19440000000023475
baseline1	C	20	0.082923920000049056	0.1666800000002297
baseline1	D	10	0.043582400000058842	0.13316000000002645
baseline2	A	150	0.12294760800000008	0.27980000000000022
baseline2	B	20	0.10699024000000004	0.25604000000000016
baseline2	C	20	0.15888310000000008	0.26000000000000018
baseline2	D	10	0.12422480000000011	0.2758400000000002

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	150	3.9826665872717215e-08	5.3599998563520031e-08
foundation	B	20	1.5681599379008662e-15	1.5681599379008662e-15
foundation	C	20	1.5681599379008662e-15	1.5681599379008662e-15
foundation	D	10	1.600239935939074e-15	1.7305599280087053e-15
baseline1	A	150	3.2671999632781766e-08	5.3599998563520031e-08
baseline1	B	20	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	C	20	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	D	10	1.6176799348333781e-15	1.9009599171181472e-15
baseline2	A	150	1.258252761241844e-17	2.2204460492503131e-16
baseline2	B	20	1.6653345369377347e-17	1.1102230246251565e-16
baseline2	C	20	1.1102230246251566e-17	1.1102230246251565e-16
baseline2	D	10	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	150	0
foundation	B	20	20
foundation	C	20	20
foundation	D	10	10
baseline1	A	150	27
baseline1	B	20	20
baseline1	C	20	20
baseline1	D	10	10
baseline2	A	150	0
baseline2	B	20	0
baseline2	C	20	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	4489728217264843083	D	3	0	2	2	1	2	1	1.5681599379008662e-15	5.5555555555555552e-15	0.069599997242683204	1.5543122344752192e-15	0.069599999998843032	0.31240000000161672
foundation	13852627482812498887	D	3	0	10	5	6	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.27719998902293097	1.5543122344752192e-15	0.2772000000000503	3.6468000000026564
foundation	5909383713474891144	D	3	0	20	2	1	2	1	1.7305599280087053e-15	5.5555555555555561e-14	1.7483999272669093	1.6653345369377348e-15	1.7484000000003448	4.7384000000009223
foundation	6367009560580391319	D	3	0	20	7	2	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	4.9364000000009582
foundation	13735203399848057691	D	3	0	20	11	10	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.31879998737558779	1.5543122344752192e-15	0.31880000000006703	7.0016000000013605
foundation	14700099683524064475	D	3	0	20	11	7	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.65679997399280032	1.5543122344752192e-15	0.65680000000207883	4.0003999999988196
foundation	1508765973987579446	D	3	0	100	7	8	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	9.4628000000018346
foundation	3853425861641488469	D	3	0	100	4	11	2	1	1.7265599281751066e-15	2.7777777777777779e-13	0.039599998431847284	1.6653345369377348e-15	0.039600000000007185	9.6252000000018825
foundation	10645262934657656205	D	3	0	100	3	10	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	8.9064000000017245
foundation	17966959591462770973	D	3	0	100	1	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.3583999858074351	1.5543122344752192e-15	0.35840000000007421	8.0332000000015569
foundation	4643256390391724960	C	2	0	1	0	2	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.07759999692569404	1.5543122344752192e-15	0.077599999998653857	0.11440000000158079
foundation	2322029618433275213	C	2	0	10	4	1	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	2.5220000000024356
foundation	3432424972295146095	C	2	0	10	6	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	1.5300000000022465
foundation	5563149493163658327	C	2	0	10	2	10	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.33719998664500067	1.5543122344752192e-15	0.33719999999811989	1.0132000000021435
foundation	10201658577434329933	C	2	0	10	1	10	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	3.8052000000026851
foundation	10656568762464724696	C	2	0	10	7	11	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	3.4884000000026276
foundation	11199454984507174712	C	2	0	10	9	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.79399996855775512	1.5543122344752192e-15	0.79400000000015325	0.89440000000212194
foundation	13789372779166830061	C	2	0	10	2	7	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.057999997701260186	1.5543122344752192e-15	0.057999999998060048	2.8924000000025103
