# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E5S150_5ecu_150signals_001.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.48297200000000007	0.48297200000000007	150	37	1
baseline1	0.48956799999999989	0.48956799999999989	150	88	1
baseline2	0.33526533846902518	0.33526519999999987	150	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	113	0.079590106194744839	0.31120000000078107
foundation	B	15	0.029684533333401149	0.077200000000232194
foundation	C	15	0.016497360000027109	0.053080000000011299
foundation	D	7	0.024654457142863153	0.061400000000014644
baseline1	A	113	0.065394453097359598	0.27600000000000513
baseline1	B	15	0.044833866666675708	0.11360000000000525
baseline1	C	15	0.017725546666670668	0.074080000000020615
baseline1	D	7	0.019219771428576529	0.076440000000019381
baseline2	A	113	0.061250322123893752	0.26360000000000006
baseline2	B	15	0.064107466666666668	0.14480000000000001
baseline2	C	15	0.046958159999999992	0.084400000000000003
baseline2	D	7	0.044360057142857137	0.10003999999999998

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	113	4.1086724812904005e-08	6.1599998102720045e-08
foundation	B	15	1.6431999330057837e-15	2.3609598852573478e-15
foundation	C	15	1.6595732653279808e-15	2.3609598852573478e-15
foundation	D	7	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	A	113	2.2488495927217637e-08	6.1599998102720045e-08
baseline1	B	15	1.6849599301771331e-15	2.6625598626119082e-15
baseline1	C	15	1.7179732614654742e-15	2.6625598626119082e-15
baseline1	D	7	1.6145599350745345e-15	1.7305599280087053e-15
baseline2	A	113	1.4737473778210044e-17	1.1102230246251565e-16
baseline2	B	15	0	0
baseline2	C	15	7.4014868308343768e-18	1.1102230246251565e-16
baseline2	D	7	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	113	0
foundation	B	15	15
foundation	C	15	15
foundation	D	7	7
baseline1	A	113	51
baseline1	B	15	15
baseline1	C	15	15
baseline1	D	7	7
baseline2	A	113	0
baseline2	B	15	0
baseline2	C	15	0
baseline2	D	7	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	2191203808950344073	D	3	0	10	3	2	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.61399997568574793	1.5543122344752192e-15	0.61400000000014643	1.0080000000002087
foundation	9773986546653578144	D	3	0	10	2	0	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.7448000000003958
foundation	8215152283659845862	D	3	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.0455999585945057	1.5543122344752192e-15	1.0456000000002632	1.3804000000002929
foundation	9771887508931260334	D	3	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.0455999585945057	1.5543122344752192e-15	1.0456000000002632	1.3804000000002929
foundation	10936390409234400603	D	3	0	20	4	0	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.68120000000016034
foundation	6383262883562644653	D	3	0	1000	2	4	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.039599998431840172	1.5543122344752192e-15	0.03960000000000008	4.4104000000000045
foundation	17575721647051867830	D	3	0	1000	0	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	0.64159997459264151	1.5543122344752192e-15	0.64159999999999995	3.8480000000000047
foundation	16910125218115702942	C	2	0	2	0	2	2	1	1.9009599171181472e-15	5.5555555555555549e-14	0.069599996966159053	1.8873791418627661e-15	0.069600000000718865	0.081200000000251293
foundation	5880191739095920813	C	2	0	5	2	1	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.44360000000011723
foundation	2605025015977281359	C	2	0	10	2	3	2	1	2.3609598852573478e-15	2.7777777777777779e-13	0.53079997473403484	2.3314683517128287e-15	0.53080000000011296	0.8100000000001728
foundation	3456286158174005463	C	2	0	10	3	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.5012000000003241
foundation	4935476303328822721	C	2	0	10	4	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.68120000000016034
foundation	5601558112720194618	C	2	0	10	4	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	0.68120000000016034
foundation	6500472238597214325	C	2	0	20	0	4	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.76039996988833658	1.5543122344752192e-15	0.76040000000017471	1.2220000000002642
foundation	6957742734271320992	C	2	0	20	3	1	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.84959996635602197	1.5543122344752192e-15	0.84960000000017999	1.1724000000002661
foundation	9055099496990743650	C	2	0	20	0	2	2	1	1.5681599379008662e-15	5.5555555555555559e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.9032000000004246
foundation	12190317109439222450	C	2	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.0455999585945057	1.5543122344752192e-15	1.0456000000002632	1.3804000000002929
foundation	1072556289348343015	C	2	0	50	1	4	2	1	1.813759922733826e-15	1.3888888888888889e-12	0.043599998099066402	1.7763568394002505e-15	0.043600000000026284	2.4676000000005729
