# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# 本文件中的 WCRT/周期 指标统一使用 P95（95%分位响应时间）；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\2026428_214615\retry_probability_reports\E8S250_8ecu_250signals_001.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.63292399999999949	0.63292399999999949	250	62	1
baseline1	0.66875999999999958	0.66875999999999958	250	132	1
baseline2	0.46483805039182374	0.46483759999999996	250	0	1

# 按 ASIL 分组统计的 WCRT/周期（P95，95%分位响应时间）结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	188	0.11573674680857927	0.35068000000007371
foundation	B	25	0.029634767999984515	0.10336000000002059
foundation	C	25	0.038566064000041297	0.13524000000002728
foundation	D	12	0.03670900000000718	0.087320000000016759
baseline1	A	188	0.10524868936180301	0.36020000000008279
baseline1	B	25	0.045564960000044799	0.18080000000004476
baseline1	C	25	0.043354224000078656	0.18080000000004476
baseline1	D	12	0.058798000000012951	0.16752000000003592
baseline2	A	188	0.10129785744680853	0.2616
baseline2	B	25	0.10021364800000003	0.25408000000000014
baseline2	C	25	0.095376464000000036	0.25408000000000014
baseline2	D	12	0.096445333333333369	0.19804000000000005

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	188	4.0078722599398612e-08	6.1599998102720045e-08
foundation	B	25	1.6536639317882008e-15	3.3017598098186309e-15
foundation	C	25	1.5841599369311379e-15	1.7305599280087053e-15
foundation	D	12	1.5747599375022262e-15	1.6473599331171859e-15
baseline1	A	188	2.5057446923726295e-08	4.5599998960320021e-08
baseline1	B	25	1.7030079282252951e-15	3.7945597662551131e-15
baseline1	C	25	1.6006399359224341e-15	1.7305599280087053e-15
baseline1	D	12	1.5816932704098528e-15	1.7305599280087053e-15
baseline2	A	188	2.0078501509178364e-17	2.2204460492503131e-16
baseline2	B	25	2.6645352591003756e-17	2.2204460492503131e-16
baseline2	C	25	2.6645352591003756e-17	2.2204460492503131e-16
baseline2	D	12	1.8503717077085941e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	188	0
foundation	B	25	25
foundation	C	25	25
foundation	D	12	12
baseline1	A	188	70
baseline1	B	25	25
baseline1	C	25	25
baseline1	D	12	12
baseline2	A	188	0
baseline2	B	25	0
baseline2	C	25	0
baseline2	D	12	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	4847385186634049416	D	3	0	5	2	0	2	1	1.5681599379008662e-15	1.388888888888889e-14	0.19799999215923639	1.5543122344752192e-15	0.19800000000003593	0.43760000000008858
foundation	373269033655315257	D	3	0	10	6	5	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.6692000000003304
foundation	1007426789370469157	D	3	0	10	5	0	2	1	1.6473599331171859e-15	2.7777777777777781e-14	0.79399996855775512	1.5543122344752192e-15	0.79400000000015325	2.0356000000004428
foundation	1318453916398627726	D	3	0	10	4	0	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.5504000000003089
foundation	13186353747170637777	D	3	0	10	7	3	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.87319996542144973	1.5543122344752192e-15	0.87320000000016762	2.07520000000045
foundation	4608452758170186908	D	3	0	20	1	7	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.71479997169406062	1.5543122344752192e-15	0.71480000000013888	2.7524000000005913
foundation	4711100988820436339	D	3	0	20	4	7	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.2891999489479611	1.5543122344752192e-15	1.2892000000002781	2.7464000000005626
foundation	6152387896588170650	D	3	0	20	1	0	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.586399937178874	1.5543122344752192e-15	1.5864000000003102	3.3068000000006919
foundation	10431241917706482890	D	3	0	20	5	4	2	1	1.5681599379008662e-15	5.5555555555555561e-14	0.91119996391666069	1.5543122344752192e-15	0.91120000000017853	3.9028000000008092
foundation	7287810034082791283	D	3	0	100	3	1	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	7.8020000000015557
foundation	9588957032399849330	D	3	0	100	6	7	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	7.9604000000015844
foundation	16306288867022784539	D	3	0	100	6	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	6.9268000000013785
foundation	4410337499560305342	C	2	0	2	2	1	2	1	1.6473599331171859e-15	5.5555555555555549e-14	0.15639999349463224	1.6653345369377348e-15	0.15640000000087184	0.19800000000003593
foundation	5652034909567010667	C	2	0	2	2	1	2	1	1.6473599331171859e-15	5.5555555555555549e-14	0.15639999349463224	1.6653345369377348e-15	0.15640000000087184	0.19800000000003593
foundation	622907546106635604	C	2	0	10	0	7	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.039599998431847278	1.5543122344752192e-15	0.039600000000007185	1.9088000000003831
foundation	1522876097315328652	C	2	0	10	0	5	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.91679996369491612	1.5543122344752192e-15	0.9168000000001939	1.7900000000003615
foundation	3423875330232449934	C	2	0	10	7	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.19999999208004596	1.5543122344752192e-15	0.20000000000004547	3.346400000000699
foundation	3890915346901850135	C	2	0	10	1	6	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.3523999464452361	1.5543122344752192e-15	1.3524000000002729	1.6356000000003519
