# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# 三种方案的 WCRT 均按信号级统计值输出；foundation / baseline1 基于“最早成功副本到达时间”分布，baseline2 基于重传分布。
# ASIL 分组里的 wcrt_ratio 表示 WCRT/周期；signal_detail 里的 WCRT 列统一是信号级统计值（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202649_155345\retry_probability_reports\M5_5ecu_200signals.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies
foundation	0.6424639999999997	0.6424639999999997	200	49
baseline1	0.68396800000000013	0.68396800000000013	200	135
baseline2	0.36960805362932658	0.36960799999999994	200	0

# 按 ASIL 分组统计的 WCRT/周期 的 P95 结果。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	151	0.072267523178808662	0.28088000000000191
foundation	B	21	0.023436571428571577	0.10360000000000084
foundation	C	19	0.032670526315790635	0.12480000000000047
foundation	D	9	0.08614222222222595	0.16440000000000055
baseline1	A	151	0.069018781456954101	0.29672000000000337
baseline1	B	21	0.0521001904761908	0.14316000000000101
baseline1	C	19	0.053349473684210121	0.13072000000000089
baseline1	D	9	0.081337777777772402	0.16732000000000086
baseline2	A	151	0.066017377483443745	0.15659999999999999
baseline2	B	21	0.058077142857142855	0.13695999999999994
baseline2	C	19	0.098835789473684196	0.23399999999999999
baseline2	D	9	0.13988	0.23399999999999999

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	151	1.2651735017401196e-08	1.8791999823430371e-08
foundation	B	21	1.4472024509841167e-16	1.7817926161382334e-16
foundation	C	19	1.3526802030345668e-16	1.7817926161382334e-16
foundation	D	9	1.3132886248697173e-16	1.5823382200910208e-16
baseline1	A	151	5.5752318624802237e-09	1.8791999823430371e-08
baseline1	B	21	1.8728551274269757e-16	2.7662341939919932e-16
baseline1	C	19	1.5568922827323805e-16	2.7662341939919932e-16
baseline1	D	9	1.2917750252652108e-16	1.5158534213368129e-16
baseline2	A	151	3.9225429379968281e-14	1.6198153929281034e-13
baseline2	B	21	6.8728092000604931e-17	2.2204460492503131e-16
baseline2	C	19	1.9478095995459925e-15	3.6453270879061277e-14
baseline2	D	9	2.0264153047632567e-14	3.6453270879061277e-14

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	151	0
foundation	B	21	21
foundation	C	19	19
foundation	D	9	9
baseline1	A	151	86
baseline1	B	21	21
baseline1	C	19	19
baseline1	D	9	9
baseline2	A	151	0
baseline2	B	21	0
baseline2	C	19	0
baseline2	D	9	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms
foundation	145291079	D	3	0	1	1	3	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.11519999876829025	1.1102230246251565e-16	0.11520000000000863
foundation	614685431	D	3	0	1	4	2	2	1	1.1431886277770274e-16	2.7777777777777776e-15	0.075599999191693371	1.1102230246251565e-16	0.075600000000008549
foundation	1485650330	D	3	1	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777776e-15	0.12479999859824689	1.1102230246251565e-16	0.12480000000000047
foundation	1778470101	D	3	0	1	2	0	2	1	1.3857998236863647e-16	2.7777777777777776e-15	0.16439999806468378	1.1102230246251565e-16	0.16440000000000055
foundation	4063005593	D	3	0	1	2	0	2	1	1.3857998236863647e-16	2.7777777777777776e-15	0.16439999806468378	1.1102230246251565e-16	0.16440000000000055
foundation	2486704225	D	3	0	2	1	2	2	1	1.2615782258299533e-16	5.5555555555555552e-15	0.12479999859824689	1.1102230246251565e-16	0.12480000000000047
foundation	4251812955	D	3	0	2	0	1	2	1	1.1431886277770274e-16	5.5555555555555552e-15	0.069999999251588729	1.1102230246251565e-16	0.070000000000028706
foundation	290648546	D	3	0	5	1	0	2	1	1.5823382200910208e-16	1.388888888888889e-14	0.1247999984634629	2.2204460492503131e-16	0.12480000000000047
foundation	3991608196	D	3	0	10	2	0	2	1	1.5129374213727148e-16	2.7777777777777781e-14	0.085199998997026002	1.1102230246251565e-16	0.085200000000000387
foundation	3056872340	C	2	0	1	1	2	2	1	1.2615782258299533e-16	2.7777777777777774e-14	0.12479999859824689	1.1102230246251565e-16	0.12480000000000047
foundation	1516648366	C	2	0	2	1	0	2	1	1.1431886277770274e-16	5.5555555555555549e-14	0.075999999187436953	1.1102230246251565e-16	0.076000000000028933
foundation	1035949382	C	2	0	5	2	1	2	1	1.2586622258627062e-16	1.388888888888889e-13	0.17439999813532089	1.1102230246251565e-16	0.17440000000000566
foundation	2081522424	C	2	0	5	0	2	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.085199999089042008	1.1102230246251565e-16	0.085200000000000387
foundation	2888072604	C	2	1	5	0	2	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.085199999089042008	1.1102230246251565e-16	0.085200000000000387
foundation	3267995113	C	2	0	5	2	3	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.29119999688649312	1.1102230246251565e-16	0.29120000000000346
foundation	4232437735	C	2	0	5	3	1	2	1	1.1431886277770274e-16	1.388888888888889e-13	0.38239999591138335	1.1102230246251565e-16	0.38240000000000407
foundation	32603144	C	2	0	10	0	2	2	1	1.5765062201643992e-16	2.7777777777777779e-13	0.36479999570558402	1.1102230246251565e-16	0.36480000000000956
foundation	1673499897	C	2	0	10	0	1	2	1	1.6254950191091379e-16	2.7777777777777779e-13	0.053599999224303793	2.2204460492503131e-16	0.053600000000002979
foundation	2056195474	C	2	0	10	0	2	2	1	1.2586622258627062e-16	2.7777777777777779e-13	0.085199999089042008	1.1102230246251565e-16	0.085200000000000387
foundation	3362915061	C	2	1	10	2	0	2	1	1.2009254268354555e-16	2.7777777777777779e-13	0.18239999795129158	1.1102230246251565e-16	0.18240000000000833
foundation	3460769802	C	2	1	10	1	0	2	1	1.6517390187718504e-16	2.7777777777777779e-13	0.10119999869938336	1.1102230246251565e-16	0.10120000000000573
