[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	0.497675	0.524227	37	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	0.497291	0.497291	37	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	0.368133	0.387141	37	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	0.368133	0.368133	37	1

[foundation_summary]
dataset	config	scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	homo_only_foundation	0.484003	4.8314	29	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	homo_only_foundation	0.365057	3.6484	29	1

[cluster_summary]
dataset	config	scheme	code	route_count	p_function_fault	p_threshold
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	17504628	3	0	2.77778e-13
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	112294910	3	0	2.77778e-14
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	222220226	3	0	2.77778e-13
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	226444505	3	0	2.77778e-14
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	17504628	3	0	2.77778e-13
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	112294910	3	0	2.77778e-14
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	222220226	3	0	2.77778e-13
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	226444505	3	0	2.77778e-14
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	63165833	3	0	5.55556e-14
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	87045489	3	0	5.55556e-14
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	107296005	3	0	2.77778e-13
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	107983957	3	0	5.55556e-14
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	63165833	3	0	5.55556e-14
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	87045489	3	0	5.55556e-14
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	107296005	3	0	2.77778e-13
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	107983957	3	0	5.55556e-14

[cluster_wcrt_summary]
dataset	config	scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	17504628	100	100	4.6148	4.9732	0	0.4636	4.7948	0.01	0	4.6248	10.2516	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	112294910	10	10	1.9608	2.464	0	0.3844	1.9128	0.01	0	1.9708	4.7812	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	222220226	100	100	3.8358	4.539	0	0.5032	5.0188	0.01	0	3.8458	10.081	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	226444505	10	10	2.4698	2.6282	0	0.424	1.5156	0.01	0	2.4798	4.5878	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	17504628	100	100	0	0	4.6474	0	0	0.01	0	4.6574	4.6574	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	112294910	10	10	0	0	1.84	0	0	0.01	0	1.85	1.85	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	222220226	100	100	0	0	4.695	0	0	0.01	0	4.705	4.705	1
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	always_on_tmr	226444505	10	10	0	0	1.9572	0	0	0.01	0	1.9672	1.9672	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	63165833	20	20	1.9372	2.3572	0	0.3012	0.822	0.01	0	1.9472	3.5004	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	87045489	20	20	1.8976	2.3176	0	0.3408	1.5808	0.01	0	1.9076	4.2592	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	107296005	100	100	3.2148	3.6108	0	0.42	2.872	0.01	0	3.2248	6.9228	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	on_demand_tmr	107983957	20	20	1.858	2.0164	0	0.3804	1.5808	0.01	0	1.868	3.9976	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	63165833	20	20	0	0	1.858	0	0	0.01	0	1.868	1.868	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	87045489	20	20	0	0	1.9768	0	0	0.01	0	1.9868	1.9868	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	107296005	100	100	0	0	3.3376	0	0	0.01	0	3.3476	3.3476	1
E5S150_5ecu_150signals_002	E5S150_5ecu_150signals	always_on_tmr	107983957	20	20	0	0	1.9768	0	0	0.01	0	1.9868	1.9868	1

[route_summary]
dataset	config	scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
E5S150_5ecu_150signals_001	E5S150_5ecu_150signals	on_demand_tmr	17504628	0	3	1	4	3	100	100	2	1	1.73056e-15	2.77778e-13	4.9732
