# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.481205	0.749437	54	1
always_on_tmr	0.573325	0.573325	54	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
homo_only_foundation	0.399677	3.714	34	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	63165833	3	0	5.55556e-14
on_demand_tmr	87045489	3	0	5.55556e-14
on_demand_tmr	107296005	3	0	2.77778e-13
on_demand_tmr	107983957	3	0	5.55556e-14
on_demand_tmr	132324339	3	0	2.77778e-13
on_demand_tmr	186211101	3	0	2.77778e-14
on_demand_tmr	196332671	3	0	2.77778e-14
on_demand_tmr	221033664	3	0	5.55556e-15
on_demand_tmr	221034497	3	0	5.55556e-15
on_demand_tmr	240132710	3	0	2.77778e-14
always_on_tmr	63165833	3	0	5.55556e-14
always_on_tmr	87045489	3	0	5.55556e-14
always_on_tmr	107296005	3	0	2.77778e-13
always_on_tmr	107983957	3	0	5.55556e-14
always_on_tmr	132324339	3	0	2.77778e-13
always_on_tmr	186211101	3	0	2.77778e-14
always_on_tmr	196332671	3	0	2.77778e-14
always_on_tmr	221033664	3	0	5.55556e-15
always_on_tmr	221034497	3	0	5.55556e-15
always_on_tmr	240132710	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	63165833	20	20	1.494	3.2636	0	1.1872	4.9932	0.01	0	1.504	9.464	1
on_demand_tmr	87045489	20	20	2.6808	5.4528	0	1.2268	3.9884	0.01	0	2.6908	10.688	1
on_demand_tmr	107296005	100	100	3.8196	7.7548	0	1.306	5.9676	0.01	0	3.8296	15.0484	1
on_demand_tmr	107983957	20	20	2.6808	5.4528	0	1.2664	3.9884	0.01	0	2.6908	10.7276	1
on_demand_tmr	132324339	100	100	3.6612	7.5964	0	1.3456	7.4776	0.01	0	3.6712	16.4396	1
on_demand_tmr	186211101	10	10	1.6624	3.432	0	0.9256	1.6644	0.01	0	1.6724	6.042	1
on_demand_tmr	196332671	10	10	1.6624	3.432	0	0.9652	1.914	0.01	0	1.6724	6.3312	1
on_demand_tmr	221033664	2	2	0.4292	0.4452	0	0.7248	0.6852	0.01	0	0.4392	1.8752	1
on_demand_tmr	221034497	2	2	0.4828	0.4988	0	0.8436	0.606	0.01	0	0.4928	1.9684	1
on_demand_tmr	240132710	10	10	1.494	3.2636	0	1.0048	1.8744	0.01	0	1.504	6.1628	1
always_on_tmr	63165833	20	20	0	0	1.8864	0	0	0.01	0	1.8964	1.8964	1
always_on_tmr	87045489	20	20	0	0	2.9824	0	0	0.01	0	2.9924	2.9924	1
always_on_tmr	107296005	100	100	0	0	4.8488	0	0	0.01	0	4.8588	4.8588	1
always_on_tmr	107983957	20	20	0	0	2.9824	0	0	0.01	0	2.9924	2.9924	1
always_on_tmr	132324339	100	100	0	0	3.9628	0	0	0.01	0	3.9728	3.9728	1
always_on_tmr	186211101	10	10	0	0	2.7428	0	0	0.01	0	2.7528	2.7528	1
always_on_tmr	196332671	10	10	0	0	2.7428	0	0	0.01	0	2.7528	2.7528	1
always_on_tmr	221033664	2	2	0	0	0.6616	0	0	0.01	0	0.6716	0.6716	1
always_on_tmr	221034497	2	2	0	0	0.622	0	0	0.01	0	0.632	0.632	1
always_on_tmr	240132710	10	10	0	0	1.8864	0	0	0.01	0	1.8964	1.8964	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	63165833	0	3	1	2	0	20	20	2	1	1.64736e-15	5.55556e-14	3.2636
on_demand_tmr	63165833	1	3	2	4	0	20	20	2	1	1.73056e-15	5.55556e-14	1.8744
