# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.395054	0.644534	0	0
always_on_tmr	0.694238	0.694238	42	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
homo_only_foundation	0.405718	3.5764	34	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	28122904	3	4.77396e-15	2.77778e-15
on_demand_tmr	65546640	3	5.44009e-15	5.55556e-14
on_demand_tmr	122647956	3	6.43929e-15	5.55556e-14
on_demand_tmr	139092750	3	4.88498e-15	2.77778e-15
always_on_tmr	28122904	3	0	2.77778e-15
always_on_tmr	65546640	3	0	5.55556e-14
always_on_tmr	122647956	3	0	5.55556e-14
always_on_tmr	139092750	3	0	2.77778e-15

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	28122904	1	1	0.2736	0.2792	0	0.3604	0.0812	0.01	0	0.2836	0.7408	1
on_demand_tmr	65546640	20	20	1.036	2.028	0	0.5564	1.9864	0.01	0	1.046	4.5908	1
on_demand_tmr	122647956	20	20	1.452	2.6816	0	0.6752	2.638	0.01	0	1.462	6.0148	1
on_demand_tmr	139092750	1	1	0.3152	0.3208	0	0.4792	0.2396	0.01	0	0.3252	1.0596	0
always_on_tmr	28122904	1	1	0	0	0.4716	0	0	0.01	0	0.4816	0.4816	1
always_on_tmr	65546640	20	20	0	0	3.7648	0	0	0.01	0	3.7748	3.7748	1
always_on_tmr	122647956	20	20	0	0	3.7252	0	0	0.01	0	3.7352	3.7352	1
always_on_tmr	139092750	1	1	0	0	0.5528	0	0	0.01	0	0.5628	0.5628	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	28122904	0	3	1	2	1	1	1	1	0	3.96e-08	2.77778e-15	0.2
on_demand_tmr	28122904	1	3	2	4	1	1	1	1	0	3.96e-08	2.77778e-15	0.2792
on_demand_tmr	28122904	2	3	2	0	1	1	1	1	0	3.96e-08	2.77778e-15	0.0812
on_demand_tmr	65546640	0	3	1	0	3	20	20	1	0	4.16e-08	5.55556e-14	2.028
on_demand_tmr	65546640	1	3	2	4	3	20	20	1	0	4.36e-08	5.55556e-14	1.0416
on_demand_tmr	65546640	2	3	2	2	3	20	20	1	0	4.16e-08	5.55556e-14	1.9864
on_demand_tmr	122647956	0	3	1	3	2	20	20	1	0	4.36e-08	5.55556e-14	0.9168
on_demand_tmr	122647956	1	3	2	0	2	20	20	1	0	4.36e-08	5.55556e-14	2.6816
on_demand_tmr	122647956	2	3	2	1	2	20	20	1	0	5.16e-08	5.55556e-14	2.638
on_demand_tmr	139092750	0	3	1	1	2	1	1	1	0	4.16e-08	2.77778e-15	0.3208
on_demand_tmr	139092750	1	3	2	4	2	1	1	1	0	3.96e-08	2.77778e-15	0.1604
on_demand_tmr	139092750	2	3	2	0	2	1	1	1	0	3.96e-08	2.77778e-15	0.2396
on_demand_tmr	198956179	0	3	0	0	2	5	5	1	0	3.96e-08	1.38889e-14	0.8336
on_demand_tmr	283848438	0	3	0	3	1	10	10	1	0	6.16e-08	2.77778e-14	1.6616
on_demand_tmr	330211785	0	3	0	0	3	20	20	1	0	4.16e-08	5.55556e-14	2.028
on_demand_tmr	364683285	0	3	0	3	4	10	10	1	0	3.96e-08	2.77778e-14	1.9052
on_demand_tmr	411877377	0	3	0	4	3	100	100	1	0	3.96e-08	2.77778e-13	3.5568
on_demand_tmr	425370399	0	3	0	4	3	20	20	1	0	4.36e-08	5.55556e-14	1.0416
on_demand_tmr	4021812403	0	2	0	4	2	10	10	1	0	3.96e-08	2.77778e-13	1.822
on_demand_tmr	4063559003	0	2	0	4	1	20	20	1	0	4.16e-08	5.55556e-13	2.5864
on_demand_tmr	4119290152	0	2	0	4	1	20	20	1	0	4.16e-08	5.55556e-13	2.5864
on_demand_tmr	4157597481	0	2	0	1	2	1	1	1	0	4.16e-08	2.77778e-14	0.3208
on_demand_tmr	4201145743	0	2	0	3	1	10	10	1	0	6.16e-08	2.77778e-13	1.6616
on_demand_tmr	4204577024	0	2	0	3	1	100	100	1	0	3.96e-08	2.77778e-12	3.636
on_demand_tmr	4217786667	0	2	0	3	0	10	10	1	0	4.36e-08	2.77778e-13	1.8656
on_demand_tmr	4277639897	0	2	0	2	1	20	20	1	0	3.96e-08	5.55556e-13	1.7824
on_demand_tmr	4287286116	0	2	0	4	0	10	10	1	0	3.96e-08	2.77778e-13	1.9448
on_demand_tmr	3549653122	0	1	0	2	0	100	100	1	0	3.96e-08	2.77778e-12	2.8816
on_demand_tmr	3604509361	0	1	0	2	1	10	10	1	0	3.96e-08	2.77778e-13	1.7824
on_demand_tmr	3607143295	0	1	0	2	3	10	10	1	0	4.16e-08	2.77778e-13	1.9864
on_demand_tmr	3625972595	0	1	0	4	1	10	10	1	0	4.16e-08	2.77778e-13	2.5864
on_demand_tmr	3640014982	0	1	0	3	4	100	100	1	0	3.96e-08	2.77778e-12	3.9152
on_demand_tmr	3721961253	0	1	0	2	1	2	2	1	0	3.96e-08	5.55556e-14	0.2
on_demand_tmr	3786615996	0	1	0	0	1	10	10	1	0	4.16e-08	2.77778e-13	1.6
on_demand_tmr	3793169098	0	1	0	1	4	20	20	1	0	4.16e-08	5.55556e-13	1.7428
on_demand_tmr	3796910180	0	1	0	0	3	20	20	1	0	4.16e-08	5.55556e-13	2.028
on_demand_tmr	3839611255	0	1	0	3	1	20	20	1	0	6.16e-08	5.55556e-13	1.6616
on_demand_tmr	3851121956	0	1	0	2	0	20	20	1	0	3.96e-08	5.55556e-13	0.998
on_demand_tmr	3880821509	0	1	0	1	4	10	10	1	0	4.16e-08	2.77778e-13	1.7428
on_demand_tmr	3904145432	0	1	0	3	2	20	20	1	0	4.36e-08	5.55556e-13	0.9168
on_demand_tmr	3957505890	0	1	0	4	3	10	10	1	0	4.36e-08	2.77778e-13	1.0416
on_demand_tmr	3978591598	0	1	0	0	1	20	20	1	0	4.16e-08	5.55556e-13	1.6
on_demand_tmr	446330559	0	0	0	1	0	1	1	1	0	3.96e-08	1	0.1208
on_demand_tmr	465877305	0	0	0	2	4	100	100	1	0	3.96e-08	1	3.9548
on_demand_tmr	472122885	0	0	0	4	2	100	100	1	0	4.16e-08	1	3.7568
on_demand_tmr	532511623	0	0	0	4	3	20	20	1	0	4.36e-08	1	1.0416
on_demand_tmr	536800367	0	0	0	2	3	20	20	1	0	3.96e-08	1	2.7608
on_demand_tmr	542289442	0	0	0	2	0	1000	1000	1	0	3.96e-08	1	4.034
on_demand_tmr	569838235	0	0	0	4	3	10	10	1	0	4.36e-08	1	1.0416
on_demand_tmr	677149252	0	0	0	0	2	20	20	1	0	4.36e-08	1	2.6816
on_demand_tmr	774653548	0	0	0	1	0	5	5	1	0	3.96e-08	1	0.794
on_demand_tmr	777292476	0	0	0	0	4	100	100	1	0	3.96e-08	1	3.836
on_demand_tmr	810645344	0	0	0	0	1	20	20	1	0	4.16e-08	1	1.6
