# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.535425	0.645593	46	1
always_on_tmr	0.596547	0.596547	46	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
homo_only_foundation	0.498513	4.9506	34	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	8545237	3	0	5.55556e-14
on_demand_tmr	70929265	3	0	1.38889e-13
on_demand_tmr	131141687	3	0	1.38889e-14
on_demand_tmr	726253625	3	0	5.55556e-14
on_demand_tmr	919556928	3	0	5.55556e-14
on_demand_tmr	2080636889	3	0	2.77778e-14
always_on_tmr	8545237	3	0	5.55556e-14
always_on_tmr	70929265	3	0	1.38889e-13
always_on_tmr	131141687	3	0	1.38889e-14
always_on_tmr	726253625	3	0	5.55556e-14
always_on_tmr	919556928	3	0	5.55556e-14
always_on_tmr	2080636889	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	8545237	20	20	3.7228	5.9128	0	0.5568	4.4994	0.01	0	3.7328	10.989	1
on_demand_tmr	70929265	50	50	4.4002	6.6298	0	0.9132	6.0356	0.01	0	4.4102	13.5986	1
on_demand_tmr	131141687	5	5	0.5712	1.6072	0	0.3696	1.3652	0.01	0	0.5812	3.362	1
on_demand_tmr	726253625	20	20	3.6416	5.098	0	0.6756	4.6322	0.01	0	3.6516	10.4258	1
on_demand_tmr	919556928	20	20	3.3642	4.8206	0	0.7944	2.7262	0.01	0	3.3742	8.3612	1
on_demand_tmr	2080636889	10	10	1.8092	2.8928	0	0.438	3.5812	0.01	0	1.8192	6.932	1
always_on_tmr	8545237	20	20	0	0	4.3572	0	0	0.01	0	4.3672	4.3672	1
always_on_tmr	70929265	50	50	0	0	4.8026	0	0	0.01	0	4.8126	4.8126	1
always_on_tmr	131141687	5	5	0	0	0.6524	0	0	0.01	0	0.6624	0.6624	1
always_on_tmr	726253625	20	20	0	0	4.496	0	0	0.01	0	4.506	4.506	1
always_on_tmr	919556928	20	20	0	0	4.496	0	0	0.01	0	4.506	4.506	1
always_on_tmr	2080636889	10	10	0	0	2.9944	0	0	0.01	0	3.0044	3.0044	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	8545237	0	3	1	0	1	20	20	2	1	2.16256e-15	5.55556e-14	4.6758
