# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.571877	0.583959	38	1
always_on_tmr	0.561264	0.561264	38	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
homo_only_foundation	0.582594	5.9584	34	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	939080970	3	0	2.77778e-12
on_demand_tmr	1492082320	3	0	2.77778e-14
always_on_tmr	939080970	3	0	2.77778e-12
always_on_tmr	1492082320	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	939080970	1000	1000	5.8036	6.5396	0	0.5736	5.962	0.01	0	5.8136	13.0952	1
on_demand_tmr	1492082320	10	10	2.048	2.7008	0	0.4548	1.7138	0.01	0	2.058	4.8894	1
always_on_tmr	939080970	1000	1000	0	0	5.8834	0	0	0.01	0	5.8934	5.8934	1
always_on_tmr	1492082320	10	10	0	0	1.9398	0	0	0.01	0	1.9498	1.9498	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	939080970	0	3	1	0	3	1000	1000	2	1	1.73056e-15	2.77778e-12	5.7936
on_demand_tmr	939080970	1	3	2	4	3	1000	1000	2	1	1.73056e-15	2.77778e-12	6.5396
on_demand_tmr	939080970	2	3	2	1	3	1000	1000	2	1	1.73056e-15	2.77778e-12	5.962
on_demand_tmr	1492082320	0	3	1	0	1	10	10	2	1	3.79456e-15	2.77778e-14	2.7008
on_demand_tmr	1492082320	1	3	2	4	1	10	10	2	1	2.76576e-15	2.77778e-14	0.9844
on_demand_tmr	1492082320	2	3	2	2	1	10	10	2	1	3.73056e-15	2.77778e-14	1.7138
on_demand_tmr	1636460622	0	3	0	0	4	10	10	2	1	2.35296e-15	2.77778e-14	3.317
on_demand_tmr	1766811948	0	3	0	1	2	10	10	2	1	1.98016e-15	2.77778e-14	3.0044
on_demand_tmr	1882920223	0	3	0	1	4	100	100	2	1	2.44416e-15	2.77778e-13	3.9178
on_demand_tmr	1900580849	0	3	0	0	1	1000	1000	2	1	1.56816e-15	2.77778e-12	6.5792
on_demand_tmr	2417567862	0	3	0	3	0	100	100	2	1	1.73056e-15	2.77778e-13	4.7294
on_demand_tmr	2813626674	0	3	0	0	4	20	20	2	1	2.35296e-15	5.55556e-14	3.317
on_demand_tmr	3021144392	0	3	0	2	4	10	10	2	1	2.36096e-15	2.77778e-14	1.6442
on_demand_tmr	3160310743	0	3	0	3	4	10	10	2	1	3.17856e-15	2.77778e-14	2.8656
on_demand_tmr	372313646	0	2	0	2	4	10	10	2	1	2.07536e-15	2.77778e-13	1.4914
on_demand_tmr	938005009	0	2	0	2	3	20	20	2	1	2.26176e-15	5.55556e-13	3.4062
on_demand_tmr	1872553976	0	2	0	2	4	100	100	2	1	1.81376e-15	2.77778e-12	4.6462
on_demand_tmr	2111307984	0	2	0	4	1	20	20	2	1	2.76576e-15	5.55556e-13	0.9844
on_demand_tmr	2264569753	0	2	0	1	4	20	20	2	1	2.65856e-15	5.55556e-13	2.4726
on_demand_tmr	3166107327	0	2	0	4	1	20	20	2	1	2.76576e-15	5.55556e-13	0.9844
on_demand_tmr	3279821700	0	2	0	3	1	100	100	2	1	1.72656e-15	2.77778e-12	5.6292
on_demand_tmr	3914986302	0	2	0	3	0	1000	1000	2	1	1.56816e-15	2.77778e-11	6.0016
on_demand_tmr	4184155027	0	2	0	0	3	20	20	2	1	2.93216e-15	5.55556e-13	3.5154
on_demand_tmr	865458323	0	1	0	1	4	10	10	2	1	2.65856e-15	2.77778e-13	2.4726
on_demand_tmr	969621544	0	1	0	2	4	10	10	2	1	2.16256e-15	2.77778e-13	1.6442
on_demand_tmr	1075523152	0	1	0	4	3	10	10	2	1	2.36096e-15	2.77778e-13	2.9152
on_demand_tmr	1556937050	0	1	0	0	1	20	20	2	1	2.68576e-15	5.55556e-13	3.559
on_demand_tmr	1588304517	0	1	0	0	2	1	1	2	1	2.36096e-15	2.77778e-14	0.3266
on_demand_tmr	1763252633	0	1	0	0	1	20	20	2	1	2.68576e-15	5.55556e-13	3.559
on_demand_tmr	1780631429	0	1	0	1	3	100	100	2	1	1.81376e-15	2.77778e-12	4.8502
on_demand_tmr	2422842957	0	1	0	3	4	1000	1000	2	1	1.73056e-15	2.77778e-11	6.702
on_demand_tmr	2471026393	0	1	0	0	1	20	20	2	1	2.56256e-15	5.55556e-13	3.6482
on_demand_tmr	2481221880	0	1	0	1	3	20	20	2	1	2.17056e-15	5.55556e-13	3.6066
on_demand_tmr	3056862518	0	1	0	0	3	20	20	2	1	2.93216e-15	5.55556e-13	3.5154
on_demand_tmr	3079124971	0	1	0	1	4	100	100	2	1	2.44416e-15	2.77778e-12	3.9178
on_demand_tmr	3273145861	0	1	0	2	0	20	20	2	1	2.56256e-15	5.55556e-13	3.6898
on_demand_tmr	3363705472	0	1	0	0	3	20	20	2	1	2.93216e-15	5.55556e-13	3.5154
on_demand_tmr	4190068345	0	1	0	2	1	10	10	2	1	3.73056e-15	2.77778e-13	1.7138
on_demand_tmr	32329530	0	0	0	4	0	10	10	1	0	6.16e-08	1	1.7754
on_demand_tmr	83430519	0	0	0	2	3	10	10	1	0	4.96e-08	1	1.541
on_demand_tmr	85857536	0	0	0	0	2	20	20	1	0	6.16e-08	1	3.4678
on_demand_tmr	114881579	0	0	0	4	1	10	10	1	0	5.36e-08	1	0.9844
on_demand_tmr	116735156	0	0	0	1	3	20	20	1	0	4.76e-08	1	3.6066
on_demand_tmr	122650962	0	0	0	2	1	10	10	1	0	6.96e-08	1	1.7138
on_demand_tmr	324653719	0	0	0	2	0	20	20	1	0	6.16e-08	1	1.9542
on_demand_tmr	343877281	0	0	0	3	2	10	10	1	0	4.16e-08	1	1.4022
on_demand_tmr	362527203	0	0	0	2	1	10	10	1	0	5.36e-08	1	0.8176
on_demand_tmr	395404940	0	0	0	0	1	1	1	1	0	4.56e-08	1	0.1984
on_demand_tmr	436559395	0	0	0	1	2	1	1	1	0	4.56e-08	1	0.3722
on_demand_tmr	436920984	0	0	0	2	0	50	50	1	0	3.96e-08	1	3.773
on_demand_tmr	444101272	0	0	0	1	0	10	10	1	0	4.36e-08	1	3.3606
on_demand_tmr	479288383	0	0	0	2	4	50	50	1	0	4.36e-08	1	3.7334
on_demand_tmr	542117681	0	0	0	0	2	100	100	1	0	5.16e-08	1	4.5194
on_demand_tmr	543424736	0	0	0	0	4	20	20	1	0	5.16e-08	1	2.804
on_demand_tmr	556762204	0	0	0	0	4	50	50	1	0	4.56e-08	1	3.8722
on_demand_tmr	585939624	0	0	0	0	1	2	2	1	0	4.56e-08	1	0.1984
on_demand_tmr	615824992	0	0	0	3	4	100	100	1	0	3.96e-08	1	5.009
on_demand_tmr	660371982	0	0	0	2	1	100	100	1	0	4.36e-08	1	4.6046
on_demand_tmr	692035937	0	0	0	1	2	20	20	1	0	4.76e-08	1	3.0044
on_demand_tmr	733030440	0	0	0	2	1	10	10	1	0	6.96e-08	1	1.7138
on_demand_tmr	769681793	0	0	0	1	3	100	100	1	0	4.36e-08	1	4.005
on_demand_tmr	777377300	0	0	0	4	0	10	10	1	0	6.16e-08	1	1.7754
on_demand_tmr	784443071	0	0	0	3	2	10	10	1	0	4.16e-08	1	1.4022
on_demand_tmr	801181697	0	0	0	1	2	1000	1000	1	0	3.96e-08	1	5.7104
on_demand_tmr	857044822	0	0	0	1	3	20	20	1	0	4.56e-08	1	1.4478
on_demand_tmr	861215929	0	0	0	2	4	10	10	1	0	4.76e-08	1	1.3606
on_demand_tmr	870152094	0	0	0	2	4	10	10	1	0	4.96e-08	1	1.6442
on_demand_tmr	896227041	0	0	0	2	3	100	100	1	0	4.76e-08	1	4.4678
on_demand_tmr	1034433489	0	0	0	0	3	20	20	1	0	6.16e-08	1	1.046
on_demand_tmr	1162321222	0	0	0	0	4	20	20	1	0	5.16e-08	1	2.804
on_demand_tmr	1163852926	0	0	0	0	2	20	20	1	0	6.16e-08	1	3.4678
on_demand_tmr	1185640211	0	0	0	0	3	20	20	1	0	6.16e-08	1	1.046
on_demand_tmr	1245911012	0	0	0	2	1	20	20	1	0	6.96e-08	1	1.7138
