# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.555484	0.624642	43	1
always_on_tmr	0.585474	0.585474	43	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	94307140	3	0	2.77778e-14
on_demand_tmr	188389827	3	0	2.77778e-12
on_demand_tmr	997830273	3	0	2.77778e-14
on_demand_tmr	1452931912	3	0	2.77778e-14
always_on_tmr	94307140	3	0	2.77778e-14
always_on_tmr	188389827	3	0	2.77778e-12
always_on_tmr	997830273	3	0	2.77778e-14
always_on_tmr	1452931912	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	94307140	10	10	3.358	4.5686	0	0.4418	3.8568	0.01	0	3.368	8.8872	1
on_demand_tmr	188389827	1000	1000	5.963	7.3916	0	0.7982	7.1836	0.01	0	5.973	15.3934	1
on_demand_tmr	997830273	10	10	2.6456	3.5928	0	0.5606	2.678	0.01	0	2.6556	6.8514	1
on_demand_tmr	1452931912	10	10	1.749	2.6264	0	0.6794	3.3188	0.01	0	1.759	6.6446	1
always_on_tmr	94307140	10	10	0	0	3.6806	0	0	0.01	0	3.6906	3.6906	1
always_on_tmr	188389827	1000	1000	0	0	6.7696	0	0	0.01	0	6.7796	6.7796	1
always_on_tmr	997830273	10	10	0	0	2.9722	0	0	0.01	0	2.9822	2.9822	1
always_on_tmr	1452931912	10	10	0	0	2.9266	0	0	0.01	0	2.9366	2.9366	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	94307140	0	3	1	1	3	10	10	2	1	3.59136e-15	2.77778e-14	2.7992
on_demand_tmr	94307140	1	3	2	4	3	10	10	2	1	3.05536e-15	2.77778e-14	4.5686
on_demand_tmr	94307140	2	3	2	0	3	10	10	2	1	2.76576e-15	2.77778e-14	3.8568
on_demand_tmr	188389827	0	3	1	2	0	1000	1000	2	1	1.72656e-15	2.77778e-12	7.3916
on_demand_tmr	188389827	1	3	2	1	0	1000	1000	2	1	1.56816e-15	2.77778e-12	6.9656
on_demand_tmr	188389827	2	3	2	3	0	1000	1000	2	1	1.56816e-15	2.77778e-12	7.1836
on_demand_tmr	997830273	0	3	1	4	2	10	10	2	1	2.93216e-15	2.77778e-14	3.3804
on_demand_tmr	997830273	1	3	2	0	2	10	10	2	1	1.98816e-15	2.77778e-14	3.5928
on_demand_tmr	997830273	2	3	2	3	2	10	10	2	1	2.45616e-15	2.77778e-14	2.678
on_demand_tmr	1452931912	0	3	1	1	2	10	10	2	1	2.77556e-14	2.77778e-14	1.5754
on_demand_tmr	1452931912	1	3	2	3	2	10	10	2	1	2.77556e-14	2.77778e-14	2.6264
on_demand_tmr	1452931912	2	3	2	4	2	10	10	2	1	2.77556e-14	2.77778e-14	3.3188
on_demand_tmr	1486438127	0	3	0	2	0	10	10	2	1	2.65856e-15	2.77778e-14	4.4574
on_demand_tmr	2686184980	0	3	0	2	3	50	50	2	1	1.98016e-15	1.38889e-13	5.484
on_demand_tmr	3439087487	0	3	0	0	4	10	10	2	1	2.06336e-15	2.77778e-14	4.0016
on_demand_tmr	4023765489	0	3	0	1	3	20	20	2	1	3.59136e-15	5.55556e-14	2.7992
on_demand_tmr	4282670588	0	3	0	0	1	20	20	2	1	1.81376e-15	5.55556e-14	4.8236
on_demand_tmr	4285869720	0	3	0	0	2	2	2	3	2	2.32933e-22	5.55556e-15	0.5076
on_demand_tmr	393976369	0	2	0	3	0	100	100	2	1	2.06336e-15	2.77778e-12	5.93
