# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.621398	0.735818	51	0
always_on_tmr	0.476156	0.476156	0	0

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	316731210	3	0	1.38889e-14
on_demand_tmr	511927277	3	0	1.38889e-14
on_demand_tmr	1112753983	3	0	2.77778e-13
on_demand_tmr	1681168815	3	0	2.77778e-14
on_demand_tmr	2014651909	3	0	2.77778e-13
on_demand_tmr	2101055341	3	0	2.77778e-14
on_demand_tmr	2466320132	3	0	2.77778e-14
on_demand_tmr	2876955543	3	0	5.55556e-14
always_on_tmr	316731210	3	6.66134e-15	1.38889e-14
always_on_tmr	511927277	3	7.10543e-15	1.38889e-14
always_on_tmr	1112753983	3	8.10463e-15	2.77778e-13
always_on_tmr	1681168815	3	6.88338e-15	2.77778e-14
always_on_tmr	2014651909	3	8.43769e-15	2.77778e-13
always_on_tmr	2101055341	3	1.57652e-14	2.77778e-14
always_on_tmr	2466320132	3	1.14353e-14	2.77778e-14
always_on_tmr	2876955543	3	9.4369e-15	5.55556e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	316731210	5	5	0.9954	2.7252	0	0.5214	2.5608	0.01	0	1.0054	5.8274	0
on_demand_tmr	511927277	5	5	0.7078	1.8726	0	0.6402	2.644	0.01	0	0.7178	5.1768	0
on_demand_tmr	1112753983	100	100	5.833	8.5854	0	1.4486	7.451	0.01	0	5.843	17.505	1
on_demand_tmr	1681168815	10	10	1.866	3.6414	0	0.759	1.9658	0.01	0	1.876	6.3862	1
on_demand_tmr	2014651909	100	100	6.0074	8.7598	0	1.5674	7.3678	0.01	0	6.0174	17.715	1
on_demand_tmr	2101055341	10	10	2.6894	3.983	0	0.8778	2.9416	0.01	0	2.6994	7.8224	1
on_demand_tmr	2466320132	10	10	2.5742	3.8678	0	0.9966	2.7868	0.01	0	2.5842	7.6712	1
on_demand_tmr	2876955543	20	20	3.6218	6.7134	0	1.3298	4.7188	0.01	0	3.6318	12.782	1
always_on_tmr	316731210	5	5	0	0	0.6938	0	0	0.01	0	0.7038	0.7038	1
always_on_tmr	511927277	5	5	0	0	0.6442	0	0	0.01	0	0.6542	0.6542	1
always_on_tmr	1112753983	100	100	0	0	3.4666	0	0	0.01	0	3.4766	3.4766	1
always_on_tmr	1681168815	10	10	0	0	1.3684	0	0	0.01	0	1.3784	1.3784	1
always_on_tmr	2014651909	100	100	0	0	3.5558	0	0	0.01	0	3.5658	3.5658	1
always_on_tmr	2101055341	10	10	0	0	1.6974	0	0	0.01	0	1.7074	1.7074	1
always_on_tmr	2466320132	10	10	0	0	1.759	0	0	0.01	0	1.769	1.769	1
always_on_tmr	2876955543	20	20	0	0	2.4904	0	0	0.01	0	2.5004	2.5004	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
