# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.659788	0.881936	55	0
always_on_tmr	0.501106	0.501106	0	0

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	316731210	3	0	1.38889e-14
on_demand_tmr	511927277	3	0	1.38889e-14
on_demand_tmr	1112753983	3	0	2.77778e-13
on_demand_tmr	1681168815	3	0	2.77778e-14
on_demand_tmr	2014651909	3	0	2.77778e-13
on_demand_tmr	2101055341	3	0	2.77778e-14
on_demand_tmr	2466320132	3	0	2.77778e-14
on_demand_tmr	2876955543	3	0	5.55556e-14
on_demand_tmr	3420204315	3	0	5.55556e-15
on_demand_tmr	3504203628	3	0	2.77778e-14
always_on_tmr	316731210	3	6.21725e-15	1.38889e-14
always_on_tmr	511927277	3	5.9952e-15	1.38889e-14
always_on_tmr	1112753983	3	8.10463e-15	2.77778e-13
always_on_tmr	1681168815	3	9.10383e-15	2.77778e-14
always_on_tmr	2014651909	3	8.43769e-15	2.77778e-13
always_on_tmr	2101055341	3	1.28786e-14	2.77778e-14
always_on_tmr	2466320132	3	1.14353e-14	2.77778e-14
always_on_tmr	2876955543	3	9.4369e-15	5.55556e-14
always_on_tmr	3420204315	3	7.43849e-15	5.55556e-15
always_on_tmr	3504203628	3	9.65894e-15	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	316731210	5	5	1.279	3.5596	0	0.8272	3.296	0.01	0	1.289	7.7028	0
on_demand_tmr	511927277	5	5	0.7514	2.9904	0	0.946	3.4744	0.01	0	0.7614	7.4308	0
on_demand_tmr	1112753983	100	100	6.6956	17.6466	0	1.831	9.6732	0.01	0	6.7056	29.1708	1
on_demand_tmr	1681168815	10	10	2.6204	6.9248	0	1.2792	7.5084	0.01	0	2.6304	15.7324	0
on_demand_tmr	2014651909	100	100	6.87	17.821	0	1.9498	17.8666	0.01	0	6.88	37.6574	1
on_demand_tmr	2101055341	10	10	2.8924	7.4112	0	1.398	3.8196	0.01	0	2.9024	12.6488	0
on_demand_tmr	2466320132	10	10	3.3032	7.6076	0	1.5168	7.296	0.01	0	3.3132	16.4404	0
on_demand_tmr	2876955543	20	20	3.7786	8.8284	0	1.7122	7.7188	0.01	0	3.7886	18.2794	1
on_demand_tmr	3420204315	2	2	0.5508	0.6814	0	0.721	0.5862	0.01	0	0.5608	2.0086	0
on_demand_tmr	3504203628	10	10	3.4144	7.7188	0	1.6356	7.7684	0.01	0	3.4244	17.1428	0
always_on_tmr	316731210	5	5	0	0	0.7494	0	0	0.01	0	0.7594	0.7594	1
always_on_tmr	511927277	5	5	0	0	0.6998	0	0	0.01	0	0.7098	0.7098	1
always_on_tmr	1112753983	100	100	0	0	3.6174	0	0	0.01	0	3.6274	3.6274	1
always_on_tmr	1681168815	10	10	0	0	1.4726	0	0	0.01	0	1.4826	1.4826	1
always_on_tmr	2014651909	100	100	0	0	3.7066	0	0	0.01	0	3.7166	3.7166	1
always_on_tmr	2101055341	10	10	0	0	1.6624	0	0	0.01	0	1.6724	1.6724	1
always_on_tmr	2466320132	10	10	0	0	1.724	0	0	0.01	0	1.734	1.734	1
always_on_tmr	2876955543	20	20	0	0	2.6412	0	0	0.01	0	2.6512	2.6512	1
always_on_tmr	3420204315	2	2	0	0	0.418	0	0	0.01	0	0.428	0.428	1
always_on_tmr	3504203628	10	10	0	0	1.8332	0	0	0.01	0	1.8432	1.8432	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	316731210	0	3	1	1	0	5	5	2	1	1.81376e-15	1.38889e-14	3.5596
on_demand_tmr	316731210	1	3	2	2	0	5	5	2	1	2.04336e-15	1.38889e-14	3.3872
on_demand_tmr	316731210	2	3	2	4	0	5	5	2	1	2.07936e-15	1.38889e-14	3.296
on_demand_tmr	511927277	0	3	1	1	2	5	5	2	1	1.81376e-15	1.38889e-14	2.8596
on_demand_tmr	511927277	1	3	2	4	2	5	5	2	1	1.98816e-15	1.38889e-14	2.9904
on_demand_tmr	511927277	2	3	2	3	2	5	5	2	1	1.89696e-15	1.38889e-14	3.4744
on_demand_tmr	1112753983	0	3	1	1	2	100	100	2	1	1.73056e-15	2.77778e-13	9.3996
on_demand_tmr	1112753983	1	3	2	3	2	100	100	2	1	2.65856e-15	2.77778e-13	17.6466
on_demand_tmr	1112753983	2	3	2	0	2	100	100	2	1	2.76576e-15	2.77778e-13	9.6732
on_demand_tmr	1681168815	0	3	1	2	0	10	10	2	1	3.59136e-15	2.77778e-14	6.9248
on_demand_tmr	1681168815	1	3	2	3	0	10	10	2	1	1.98016e-15	2.77778e-14	6.8552
on_demand_tmr	1681168815	2	3	2	1	0	10	10	2	1	2.24976e-15	2.77778e-14	7.5084
on_demand_tmr	2014651909	0	3	1	0	1	100	100	2	1	2.36096e-15	2.77778e-13	10.0422
on_demand_tmr	2014651909	1	3	2	3	1	100	100	2	1	2.17056e-15	2.77778e-13	17.821
on_demand_tmr	2014651909	2	3	2	2	1	100	100	2	1	2.07936e-15	2.77778e-13	17.8666
on_demand_tmr	2101055341	0	3	1	4	3	10	10	2	1	3.45216e-15	2.77778e-14	6.9744
on_demand_tmr	2101055341	1	3	2	1	3	10	10	2	1	3.30176e-15	2.77778e-14	7.4112
on_demand_tmr	2101055341	2	3	2	2	3	10	10	2	1	2.17056e-15	2.77778e-14	3.8196
on_demand_tmr	2466320132	0	3	1	4	1	10	10	2	1	2.55136e-15	2.77778e-14	4.9026
on_demand_tmr	2466320132	1	3	2	3	1	10	10	2	1	2.46016e-15	2.77778e-14	7.6076
on_demand_tmr	2466320132	2	3	2	0	1	10	10	2	1	2.87296e-15	2.77778e-14	7.296
on_demand_tmr	2876955543	0	3	1	3	4	20	20	2	1	1.81376e-15	5.55556e-14	8.8284
on_demand_tmr	2876955543	1	3	2	0	4	20	20	2	1	2.26176e-15	5.55556e-14	7.7684
on_demand_tmr	2876955543	2	3	2	2	4	20	20	2	1	3.05536e-15	5.55556e-14	7.7188
on_demand_tmr	3420204315	0	3	1	2	1	2	2	3	2	3.04433e-22	5.55556e-15	0.4494
on_demand_tmr	3420204315	1	3	2	0	1	2	2	2	1	2.26176e-15	5.55556e-15	0.6814
on_demand_tmr	3420204315	2	3	2	4	1	2	2	2	1	2.07936e-15	5.55556e-15	0.5862
on_demand_tmr	3504203628	0	3	1	1	4	10	10	2	1	2.22976e-15	2.77778e-14	4.9978
on_demand_tmr	3504203628	1	3	2	2	4	10	10	2	1	3.05536e-15	2.77778e-14	7.7188
on_demand_tmr	3504203628	2	3	2	0	4	10	10	2	1	2.26176e-15	2.77778e-14	7.7684
on_demand_tmr	419234765	0	2	0	2	0	10	10	2	1	3.59136e-15	2.77778e-13	6.9248
on_demand_tmr	530711390	0	2	0	2	4	10	10	2	1	3.05536e-15	2.77778e-13	7.7188
on_demand_tmr	591038936	0	2	0	0	3	10	10	2	1	2.76576e-15	2.77778e-13	4.8014
on_demand_tmr	1298153917	0	2	0	1	3	10	10	2	1	3.30176e-15	2.77778e-13	7.4112
on_demand_tmr	1385970886	0	2	0	1	3	50	50	2	1	2.17056e-15	1.38889e-12	9.0168
on_demand_tmr	2041156400	0	2	0	0	2	2	2	2	1	2.26176e-15	5.55556e-14	0.495
on_demand_tmr	2301251889	0	2	0	2	4	20	20	2	1	3.05536e-15	5.55556e-13	7.7188
on_demand_tmr	3403048542	0	2	0	1	2	20	20	2	1	2.76576e-15	5.55556e-13	7.8656
on_demand_tmr	3493762673	0	2	0	2	1	20	20	2	1	2.68576e-15	5.55556e-13	7.812
on_demand_tmr	532048401	0	1	0	4	0	10	10	2	1	2.07936e-15	2.77778e-13	3.296
on_demand_tmr	675231441	0	1	0	4	2	20	20	2	1	2.55136e-15	5.55556e-13	8.876
on_demand_tmr	786000277	0	1	0	0	4	10	10	2	1	2.26176e-15	2.77778e-13	7.7684
on_demand_tmr	973951015	0	1	0	0	3	10	10	2	1	2.76576e-15	2.77778e-13	4.8014
on_demand_tmr	1037740422	0	1	0	1	0	100	100	2	1	1.64736e-15	2.77778e-12	17.7278
on_demand_tmr	1505546133	0	1	0	2	4	100	100	2	1	1.81376e-15	2.77778e-12	9.3164
on_demand_tmr	1593509914	0	1	0	2	0	1000	1000	2	1	1.73056e-15	2.77778e-11	18.8616
on_demand_tmr	1756194084	0	1	0	2	4	50	50	2	1	1.81376e-15	1.38889e-12	9.3164
on_demand_tmr	1899396663	0	1	0	0	2	100	100	2	1	2.76576e-15	2.77778e-12	9.6732
on_demand_tmr	2046192305	0	1	0	0	1	20	20	2	1	2.87296e-15	5.55556e-13	7.296
on_demand_tmr	2190861843	0	1	0	4	1	10	10	2	1	2.55136e-15	2.77778e-13	4.9026
on_demand_tmr	2865394915	0	1	0	1	3	20	20	2	1	3.30176e-15	5.55556e-13	7.4112
on_demand_tmr	2922319156	0	1	0	4	0	10	10	2	1	2.07936e-15	2.77778e-13	3.296
on_demand_tmr	3261810623	0	1	0	0	2	100	100	2	1	2.76576e-15	2.77778e-12	9.6732
on_demand_tmr	3458676610	0	1	0	0	1	10	10	2	1	2.87296e-15	2.77778e-13	7.296
on_demand_tmr	24159486	0	0	0	2	0	20	20	1	0	6.96e-08	1	6.9248
on_demand_tmr	70568202	0	0	0	4	3	10	10	1	0	4.96e-08	1	6.9744
on_demand_tmr	105213474	0	0	0	0	3	100	100	1	0	4.16e-08	1	9.4412
on_demand_tmr	131823740	0	0	0	2	4	10	10	1	0	6.16e-08	1	7.7188
on_demand_tmr	212882283	0	0	0	2	1	2	2	1	0	1.346e-07	1	0.4494
on_demand_tmr	222238665	0	0	0	0	1	20	20	1	0	5.36e-08	1	7.296
on_demand_tmr	261015492	0	0	0	2	0	20	20	1	0	6.96e-08	1	6.9248
on_demand_tmr	312494229	0	0	0	4	0	20	20	1	0	8.66e-08	1	8.0394
on_demand_tmr	543084991	0	0	0	2	1	2	2	1	0	1.346e-07	1	0.4494
on_demand_tmr	737398685	0	0	0	1	0	100	100	1	0	4.16e-08	1	17.7278
on_demand_tmr	812792877	0	0	0	1	0	10	10	1	0	5.16e-08	1	7.5084
on_demand_tmr	873380127	0	0	0	3	4	20	20	1	0	4.36e-08	1	8.8284
on_demand_tmr	883745476	0	0	0	4	3	10	10	1	0	6.96e-08	1	3.8892
on_demand_tmr	960193018	0	0	0	3	4	20	20	1	0	4.16e-08	1	7.9528
on_demand_tmr	972296103	0	0	0	1	4	10	10	1	0	5.36e-08	1	4.9978
on_demand_tmr	1004076658	0	0	0	2	0	20	20	1	0	6.96e-08	1	6.9248
on_demand_tmr	1014008307	0	0	0	2	1	20	20	1	0	6.16e-08	1	3.6728
on_demand_tmr	1046232498	0	0	0	0	1	100	100	1	0	4.96e-08	1	10.0422
on_demand_tmr	1064132617	0	0	0	4	0	1000	1000	1	0	3.96e-08	1	18.033
on_demand_tmr	1075823914	0	0	0	4	2	10	10	1	0	5.36e-08	1	3.7264
on_demand_tmr	1154521178	0	0	0	4	1	100	100	1	0	4.96e-08	1	9.8894
on_demand_tmr	1175483711	0	0	0	0	1	2	2	1	0	4.96e-08	1	0.6358
on_demand_tmr	1180711091	0	0	0	0	2	100	100	1	0	5.36e-08	1	9.6732
on_demand_tmr	1221758233	0	0	0	0	1	50	50	1	0	4.76e-08	1	8.9236
on_demand_tmr	1227638799	0	0	0	1	2	5	5	1	0	4.36e-08	1	2.818
on_demand_tmr	1283522028	0	0	0	4	1	20	20	1	0	4.76e-08	1	4.849
on_demand_tmr	1298882932	0	0	0	4	1	10	10	1	0	5.36e-08	1	4.9026
on_demand_tmr	1299824608	0	0	0	3	1	100	100	1	0	4.76e-08	1	17.7754
on_demand_tmr	1419354548	0	0	0	0	2	10	10	1	0	6.16e-08	1	3.9508
on_demand_tmr	1457522887	0	0	0	1	0	20	20	1	0	5.16e-08	1	7.5084
on_demand_tmr	1462482303	0	0	0	0	2	20	20	1	0	6.16e-08	1	3.9508
on_demand_tmr	1486703800	0	0	0	3	0	10	10	1	0	4.76e-08	1	6.8552
on_demand_tmr	1503541172	0	0	0	3	0	20	20	1	0	4.76e-08	1	6.8552
on_demand_tmr	1507801559	0	0	0	1	2	10	10	1	0	5.16e-08	1	3.6112
on_demand_tmr	1508387431	0	0	0	2	1	1000	1000	1	0	3.96e-08	1	17.9934
on_demand_tmr	1510489301	0	0	0	2	1	10	10	1	0	6.16e-08	1	3.6728
on_demand_tmr	1514783877	0	0	0	3	0	100	100	1	0	6.16e-08	1	9.9926
on_demand_tmr	1523943033	0	0	0	0	4	10	10	1	0	4.96e-08	1	7.7684
on_demand_tmr	1547760748	0	0	0	0	3	20	20	1	0	5.16e-08	1	4.0024
on_demand_tmr	1583806631	0	0	0	2	4	20	20	1	0	6.16e-08	1	7.7188
on_demand_tmr	1680569449	0	0	0	0	3	100	100	1	0	1.666e-07	1	9.8398
on_demand_tmr	1736522156	0	0	0	2	1	20	20	1	0	4.36e-08	1	7.812
on_demand_tmr	1749243952	0	0	0	2	3	100	100	1	0	4.16e-08	1	9.5284
on_demand_tmr	1756482783	0	0	0	2	1	20	20	1	0	6.16e-08	1	3.6728
on_demand_tmr	1804548526	0	0	0	1	0	1	1	1	0	4.56e-08	1	0.2752
on_demand_tmr	1817865071	0	0	0	4	0	20	20	1	0	8.66e-08	1	8.0394
