[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	0.457554	0.457554	34	1
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	always_on_tmr	0.455274	0.455274	34	1
E5S150_5ecu_150signals_006	E5S150_5ecu_150signals	on_demand_tmr	0.537264	0.537264	34	1
E5S150_5ecu_150signals_006	E5S150_5ecu_150signals	always_on_tmr	0.537264	0.537264	34	1
E5S150_5ecu_150signals_008	E5S150_5ecu_150signals	on_demand_tmr	0.423822	0.423822	34	1
E5S150_5ecu_150signals_008	E5S150_5ecu_150signals	always_on_tmr	0.423822	0.423822	34	1

[foundation_summary]
dataset	config	scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	homo_only_foundation	0.457054	4.6734	34	1
E5S150_5ecu_150signals_006	E5S150_5ecu_150signals	homo_only_foundation	0.539514	5.5964	34	1
E5S150_5ecu_150signals_008	E5S150_5ecu_150signals	homo_only_foundation	0.423822	4.6344	34	1

[cluster_summary]
dataset	config	scheme	code	route_count	p_function_fault	p_threshold

[cluster_wcrt_summary]
dataset	config	scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline

[route_summary]
dataset	config	scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	169003188	0	3	0	1	2	10	10	2	1	2.46016e-15	2.77778e-14	0.5786
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	514779683	0	3	0	2	0	10	10	2	1	2.76576e-15	2.77778e-14	0.4358
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	525421466	0	3	0	0	2	10	10	2	1	2.65856e-15	2.77778e-14	1.7958
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1222695887	0	3	0	3	1	100	100	2	1	1.73056e-15	2.77778e-13	3.9194
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1572477444	0	3	0	2	1	20	20	2	1	1.64736e-15	5.55556e-14	2.3286
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1763899469	0	3	0	4	2	100	100	2	1	1.64736e-15	2.77778e-13	4.0066
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	1977892870	0	3	0	4	2	20	20	2	1	3.73056e-15	5.55556e-14	2.3822
E5S150_5ecu_150signals_003	E5S150_5ecu_150signals	on_demand_tmr	2017661846	0	3	0	2	1	50	50	2	1	2.55936e-15	1.38889e-13	2.9804
