# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.450604	0.541094	54	1
always_on_tmr	0.449907	0.449907	54	1

[foundation_summary]
scheme	bandwidth_utilization	max_wcrt_ms	total_added_signal_copies	schedulable

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	719390996	3	0	2.77778e-12
on_demand_tmr	1231269899	3	0	2.77778e-14
on_demand_tmr	2179648261	3	0	5.55556e-14
on_demand_tmr	2267948328	3	0	2.77778e-14
on_demand_tmr	3160102258	3	0	2.77778e-14
on_demand_tmr	3271828192	3	0	2.77778e-13
on_demand_tmr	3753825931	3	0	2.77778e-14
on_demand_tmr	3948599155	3	0	2.77778e-14
on_demand_tmr	3992616353	3	0	2.77778e-14
on_demand_tmr	4080617856	3	0	2.77778e-14
always_on_tmr	719390996	3	0	2.77778e-12
always_on_tmr	1231269899	3	0	2.77778e-14
always_on_tmr	2179648261	3	0	5.55556e-14
always_on_tmr	2267948328	3	0	2.77778e-14
always_on_tmr	3160102258	3	0	2.77778e-14
always_on_tmr	3271828192	3	0	2.77778e-13
always_on_tmr	3753825931	3	0	2.77778e-14
always_on_tmr	3948599155	3	0	2.77778e-14
always_on_tmr	3992616353	3	0	2.77778e-14
always_on_tmr	4080617856	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	719390996	1000	1000	4.7048	6.4816	0	1.5052	6.5648	0.01	0	4.7148	14.5716	1
on_demand_tmr	1231269899	10	10	1.3326	2.7802	0	0.2992	2.669	0.01	0	1.3426	5.7684	1
on_demand_tmr	2179648261	20	20	2.7048	4.0296	0	1.2676	3.8478	0.01	0	2.7148	9.165	1
on_demand_tmr	2267948328	10	10	1.8982	3.4826	0	0.418	1.9686	0.01	0	1.9082	5.8892	1
on_demand_tmr	3160102258	10	10	2.6262	3.951	0	0.5368	3.8478	0.01	0	2.6362	8.3556	1
on_demand_tmr	3271828192	100	100	4.4472	5.9644	0	1.3864	5.5936	0.01	0	4.4572	12.9644	1
on_demand_tmr	3753825931	10	10	2.0094	3.5938	0	0.6556	2.8934	0.01	0	2.0194	7.1628	1
on_demand_tmr	3948599155	10	10	1.3326	2.7802	0	0.7744	2.669	0.01	0	1.3426	6.2436	1
on_demand_tmr	3992616353	10	10	1.3326	2.7802	0	0.8932	2.5162	0.01	0	1.3426	6.2096	1
on_demand_tmr	4080617856	10	10	1.569	3.0166	0	1.012	3.3874	0.01	0	1.579	7.436	1
always_on_tmr	719390996	1000	1000	0	0	4.7544	0	0	0.01	0	4.7644	4.7644	1
always_on_tmr	1231269899	10	10	0	0	1.4338	0	0	0.01	0	1.4438	1.4438	1
always_on_tmr	2179648261	20	20	0	0	2.7148	0	0	0.01	0	2.7248	2.7248	1
always_on_tmr	2267948328	10	10	0	0	1.9558	0	0	0.01	0	1.9658	1.9658	1
always_on_tmr	3160102258	10	10	0	0	2.6362	0	0	0.01	0	2.6462	2.6462	1
always_on_tmr	3271828192	100	100	0	0	4.4136	0	0	0.01	0	4.4236	4.4236	1
always_on_tmr	3753825931	10	10	0	0	2.3266	0	0	0.01	0	2.3366	2.3366	1
always_on_tmr	3948599155	10	10	0	0	1.4338	0	0	0.01	0	1.4438	1.4438	1
always_on_tmr	3992616353	10	10	0	0	1.4338	0	0	0.01	0	1.4438	1.4438	1
always_on_tmr	4080617856	10	10	0	0	1.8606	0	0	0.01	0	1.8706	1.8706	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	719390996	0	3	1	2	0	1000	1000	2	1	1.73056e-15	2.77778e-12	6.4816
on_demand_tmr	719390996	1	3	2	1	0	1000	1000	2	1	1.89696e-15	2.77778e-12	6.3984
on_demand_tmr	719390996	2	3	2	4	0	1000	1000	2	1	1.73056e-15	2.77778e-12	6.5648
on_demand_tmr	1231269899	0	3	1	1	0	10	10	2	1	2.65856e-15	2.77778e-14	2.0222
on_demand_tmr	1231269899	1	3	2	4	0	10	10	2	1	3.05536e-15	2.77778e-14	2.7802
on_demand_tmr	1231269899	2	3	2	3	0	10	10	2	1	2.87296e-15	2.77778e-14	2.669
on_demand_tmr	2179648261	0	3	1	1	4	20	20	2	1	4.05576e-15	5.55556e-14	4.0296
