# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_111031\retry_probability_reports\E8S150_8ecu_150signals.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.48344120000000002	0.48344120000000002	150	36	1
baseline1	0.4957212000000002	0.4957212000000002	150	68	1
baseline2	0.37315747510317659	0.37315720000000002	150	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	114	0.095006347368505314	0.24988000000004718
foundation	B	15	0.13525573333335755	0.23800000000004501
foundation	C	15	0.13092000000002485	0.2340400000000443
foundation	D	6	0.12871466666669071	0.24592000000004646
baseline1	A	114	0.10566634736845548	0.27800000000005409
baseline1	B	15	0.1651042666666972	0.27800000000005409
baseline1	C	15	0.1436464000000279	0.23424000000004525
baseline1	D	6	0.10542400000002015	0.2421600000000467
baseline2	A	114	0.071048168421052674	0.20200000000000001
baseline2	B	15	0.084308266666666701	0.17128000000000002
baseline2	C	15	0.094966400000000048	0.16732
baseline2	D	6	0.080344666666666675	0.17524000000000001

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	114	3.984561324079009e-08	4.3599999049520024e-08
foundation	B	15	1.5681599379008662e-15	1.5681599379008662e-15
foundation	C	15	1.5681599379008662e-15	1.5681599379008662e-15
foundation	D	6	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	A	114	2.8729824431657496e-08	4.3599999049520024e-08
baseline1	B	15	1.5789866039080554e-15	1.7305599280087053e-15
baseline1	C	15	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	D	6	1.5681599379008662e-15	1.5681599379008662e-15
baseline2	A	114	3.8955193846496719e-18	1.1102230246251565e-16
baseline2	B	15	0	0
baseline2	C	15	7.4014868308343768e-18	1.1102230246251565e-16
baseline2	D	6	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	114	0
foundation	B	15	15
foundation	C	15	15
foundation	D	6	6
baseline1	A	114	32
baseline1	B	15	15
baseline1	C	15	15
baseline1	D	6	6
baseline2	A	114	0
baseline2	B	15	0
baseline2	C	15	0
baseline2	D	6	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	837643937	D	3	0	5	1	2	2	1	1.5681599379008662e-15	1.388888888888889e-14	0.35640000000006467	1.5543122344752192e-15	0.35640000000006467	0.35640000000006467
foundation	2530491933	D	3	0	5	0	2	2	1	1.5681599379008662e-15	1.388888888888889e-14	0.47520000000008622	1.5543122344752192e-15	0.47520000000008622	0.47520000000008622
foundation	4100263836	D	3	0	10	7	2	2	1	1.5681599379008662e-15	2.7777777777777781e-14	2.4592000000004646	1.5543122344752192e-15	2.4592000000004646	2.4592000000004646
foundation	719405738	D	3	0	20	3	7	2	1	1.5681599379008662e-15	5.5555555555555561e-14	3.2116000000006011	1.5543122344752192e-15	3.2116000000006011	3.2116000000006011
foundation	2657479880	D	3	0	20	5	6	2	1	1.5681599379008662e-15	5.5555555555555561e-14	3.0136000000005652	1.5543122344752192e-15	3.0136000000005652	3.0136000000005652
foundation	1363191075	D	3	0	100	1	6	2	1	1.5681599379008662e-15	2.7777777777777779e-13	4.878800000000922	1.5543122344752192e-15	4.878800000000922	4.878800000000922
foundation	165054727	C	2	0	10	4	1	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.75640000000015561	1.5543122344752192e-15	0.75640000000015561	0.75640000000015561
foundation	588170607	C	2	0	10	4	6	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.9444000000003712	1.5543122344752192e-15	1.9444000000003712	1.9444000000003712
foundation	3230696437	C	2	0	10	5	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.67720000000014124	1.5543122344752192e-15	0.67720000000014124	0.67720000000014124
foundation	3506096512	C	2	0	10	6	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.340400000000443	1.5543122344752192e-15	2.340400000000443	2.340400000000443
foundation	4074744449	C	2	0	10	1	7	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.99400000000019872	1.5543122344752192e-15	0.99400000000019872	0.99400000000019872
foundation	404759905	C	2	0	20	0	6	2	1	1.5681599379008662e-15	5.5555555555555559e-13	3.409600000000637	1.5543122344752192e-15	3.409600000000637	3.409600000000637
foundation	876135572	C	2	0	20	7	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.6572000000005005	1.5543122344752192e-15	2.6572000000005005	2.6572000000005005
foundation	973499810	C	2	0	20	6	5	2	1	1.5681599379008662e-15	5.5555555555555559e-13	3.4888000000006514	1.5543122344752192e-15	3.4888000000006514	3.4888000000006514
foundation	1015082609	C	2	0	20	3	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	3.8056000000007089	1.5543122344752192e-15	3.8056000000007089	3.8056000000007089
foundation	2073424437	C	2	0	20	0	2	2	1	1.5681599379008662e-15	5.5555555555555559e-13	3.3304000000006226	1.5543122344752192e-15	3.3304000000006226	3.3304000000006226
foundation	3001185643	C	2	0	20	1	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.6968000000005077	1.5543122344752192e-15	2.6968000000005077	2.6968000000005077
foundation	4072492041	C	2	0	20	7	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.8156000000005292	1.5543122344752192e-15	2.8156000000005292	2.8156000000005292
foundation	1630492163	C	2	0	50	0	3	2	1	1.5681599379008662e-15	1.3888888888888889e-12	3.9244000000007304	1.5543122344752192e-15	3.9244000000007304	3.9244000000007304
