# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_111242\retry_probability_reports\E5S250_5ecu_250signals.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.56458199999999981	0.56458199999999981	250	60	1
baseline1	0.58590599999999993	0.58590599999999993	250	180	1
baseline2	0.34806655390813385	0.34806639999999994	250	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	190	0.1012723452631946	0.35440000000028249
foundation	B	25	0.11971536000004013	0.26496000000005893
foundation	C	25	0.10317094400004934	0.26100000000005819
foundation	D	10	0.14336320000007405	0.3148000000002753
baseline1	A	190	0.12711786947374287	0.3612000000007356
baseline1	B	25	0.14565728000007064	0.3612000000007356
baseline1	C	25	0.11281417600005852	0.3612000000007356
baseline1	D	10	0.12309640000015831	0.28200000000072123
baseline2	A	190	0.058611486315789496	0.24559999999999998
baseline2	B	25	0.055824639999999988	0.14499999999999993
baseline2	C	25	0.050170031999999996	0.1426
baseline2	D	10	0.073977600000000004	0.20600000000000002

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	190	4.0736841273953585e-08	4.5599998960320021e-08
foundation	B	25	1.6432639332498325e-15	1.988159911328067e-15
foundation	C	25	1.6141119350372375e-15	1.988159911328067e-15
foundation	D	10	1.6251999343890902e-15	1.813759922733826e-15
baseline1	A	190	1.5210527126157833e-08	4.5599998960320021e-08
baseline1	B	25	1.7687999253037466e-15	2.0793599051811871e-15
baseline1	C	25	1.6944639300195606e-15	2.0793599051811871e-15
baseline1	D	10	1.7353599274000658e-15	2.0793599051811871e-15
baseline2	A	190	2.7463411661780187e-17	1.1102230246251565e-16
baseline2	B	25	3.552713678800501e-17	1.1102230246251565e-16
baseline2	C	25	3.552713678800501e-17	1.1102230246251565e-16
baseline2	D	10	3.3306690738754695e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	190	0
foundation	B	25	25
foundation	C	25	25
foundation	D	10	10
baseline1	A	190	120
baseline1	B	25	25
baseline1	C	25	25
baseline1	D	10	10
baseline2	A	190	0
baseline2	B	25	0
baseline2	C	25	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	2054392576	D	3	0	1	2	1	2	1	1.5681599379008662e-15	2.7777777777777776e-15	0.23560000000026093	1.5543122344752192e-15	0.23560000000026093	0.23560000000026093
foundation	2670393979	D	3	0	1	1	0	2	1	1.5681599379008662e-15	2.7777777777777776e-15	0.3148000000002753	1.5543122344752192e-15	0.3148000000002753	0.3148000000002753
foundation	1620987038	D	3	0	10	4	3	2	1	1.813759922733826e-15	2.7777777777777781e-14	1.8436000000004356	1.7763568394002505e-15	1.8436000000004356	1.8436000000004356
foundation	3451463299	D	3	0	10	4	3	2	1	1.813759922733826e-15	2.7777777777777781e-14	1.8436000000004356	1.7763568394002505e-15	1.8436000000004356	1.8436000000004356
foundation	958642461	D	3	0	20	0	4	2	1	1.6473599331171859e-15	5.5555555555555561e-14	2.8160000000006562	1.6653345369377348e-15	2.8160000000006562	2.8160000000006562
foundation	2072339601	D	3	0	20	3	4	2	1	1.5681599379008662e-15	5.5555555555555561e-14	2.6496000000005893	1.5543122344752192e-15	2.6496000000005893	2.6496000000005893
foundation	2965187334	D	3	0	20	4	2	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.7228000000004045	1.5543122344752192e-15	1.7228000000004045	1.7228000000004045
foundation	3680017454	D	3	0	50	3	0	2	1	1.5681599379008662e-15	1.388888888888889e-13	3.4496000000007712	1.5543122344752192e-15	3.4496000000007712	3.4496000000007712
foundation	705073070	D	3	0	100	3	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	4.0080000000008909	1.5543122344752192e-15	4.0080000000008909	4.0080000000008909
foundation	1592757959	D	3	0	100	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	4.6020000000009986	1.5543122344752192e-15	4.6020000000009986	4.6020000000009986
foundation	1428825618	C	2	0	1	2	0	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.11680000000023938	1.5543122344752192e-15	0.11680000000023938	0.11680000000023938
foundation	311537418	C	2	0	2	0	2	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.4040000000009627	1.5543122344752192e-15	0.4040000000009627	0.4040000000009627
foundation	2945895752	C	2	0	5	2	0	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.47520000000008622	1.5543122344752192e-15	0.47520000000008622	0.47520000000008622
foundation	1774427203	C	2	0	10	0	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.5208000000003494	1.5543122344752192e-15	1.5208000000003494	1.5208000000003494
foundation	2076145948	C	2	0	10	1	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.4832000000005792	1.5543122344752192e-15	2.4832000000005792	2.4832000000005792
foundation	2479831131	C	2	0	10	2	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.87720000000018672	1.5543122344752192e-15	0.87720000000018672	0.87720000000018672
foundation	2877240956	C	2	0	10	3	2	2	1	1.7265599281751066e-15	2.7777777777777779e-13	1.8872000000004618	1.6653345369377348e-15	1.8872000000004618	1.8872000000004618
foundation	4201893366	C	2	0	10	1	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.6100000000005821	1.5543122344752192e-15	2.6100000000005821	2.6100000000005821
foundation	326367422	C	2	0	20	3	2	2	1	1.7265599281751066e-15	5.5555555555555559e-13	1.8872000000004618	1.6653345369377348e-15	1.8872000000004618	1.8872000000004618
foundation	747564784	C	2	0	20	3	1	2	1	1.6473599331171859e-15	5.5555555555555559e-13	1.037600000000225	1.6653345369377348e-15	1.037600000000225	1.037600000000225
