base_bandwidth_utilization	0.22485880000000003
expected_bandwidth_utilization	0.22485887356503675

rounded_expected_bandwidth_utilization	0.44971760000000022

bandwidth_utilization_p99	0.22485880000000011

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
1	39	1000	1000	0.039600000000000003	1.7524001149574481e-06	1.000001752400115	1	2	0	1	1.752400114957448	0	1.7524000000000004
2	28	100	100	0.039600000000000003	1.3168000863820853e-06	1.0000013168000863	1	2	0	1	1.3168000863820852	0	1.3167999999999995
3	0	1	1	0.039600000000000003	8.5200005744054176e-08	1.0000000852000057	1	2	0	1	0.085200005077920415	1.1102230246251565e-16	0.085199999999999998
4	18	20	20	0.039600000000000003	8.0200005261120456e-07	1.0000008020000526	1	2	0	1	0.80200005261120333	0	0.80199999999999994
6	29	100	100	0.039600000000000003	1.3564000896459796e-06	1.0000013564000896	1	2	0	1	1.3564000889798564	1.1102230246251565e-16	1.3563999999999996
7	3	2	2	0.039600000000000003	2.0400001215840092e-07	1.0000002040000122	1	2	0	1	0.20400001215840077	0	0.20400000000000001
9	30	100	100	0.039600000000000003	1.3960000915776073e-06	1.0000013960000915	1	2	0	1	1.3960000915776059	0	1.3959999999999997
11	1	1	1	0.039600000000000003	1.2480000743808047e-07	1.0000001248000074	1	2	0	1	0.12480000743808044	0	0.12479999999999999
12	31	100	100	0.039600000000000003	1.4356000941753661e-06	1.0000014356000941	1	2	0	1	1.4356000941753659	0	1.4355999999999998
13	4	5	5	0.039600000000000003	2.4360001451856102e-07	1.0000002436000146	1	2	0	1	0.24360001451856089	0	0.24360000000000001
14	6	10	10	0.039600000000000003	3.2280001923888121e-07	1.0000003228000192	1	2	0	1	0.32280001923888113	0	0.32279999999999998
15	19	20	20	0.039600000000000003	8.416000552089624e-07	1.0000008416000552	1	2	0	1	0.84160005520896353	0	0.8415999999999999
16	40	1000	1000	0.039600000000000003	1.7920001175552096e-06	1.0000017920001176	1	2	0	1	1.7920001175552083	0	1.7920000000000005
17	7	10	10	0.039600000000000003	3.6240002159904138e-07	1.0000003624000215	1	2	0	1	0.36240002159904133	0	0.3624
18	41	1000	1000	0.039600000000000003	1.7920001175552096e-06	1.0000017920001176	1	2	0	1	1.7920001175552085	0	1.7920000000000007
19	32	100	100	0.039600000000000003	1.4752000974392593e-06	1.0000014752000974	1	2	0	1	1.4752000967731373	1.1102230246251565e-16	1.4751999999999998
20	8	10	10	0.041599999999999998	4.0400002488640166e-07	1.000000404000025	1	2	0	1	0.40400002488640152	0	0.40400000000000003
21	9	10	10	0.039600000000000003	4.4360002732576196e-07	1.0000004436000274	1	2	0	1	0.44360002732576176	0	0.44360000000000005
22	33	100	100	0.039600000000000003	1.5148000993708873e-06	1.0000015148000994	1	2	0	1	1.5148000993708866	0	1.5147999999999999
23	10	10	10	0.039600000000000003	4.8320002976512262e-07	1.0000004832000298	1	2	0	1	0.48320002976512189	0	0.48320000000000007
24	20	20	20	0.039600000000000003	8.8120005780672299e-07	1.0000008812000578	1	2	0	1	0.88120005780672372	0	0.88119999999999987
25	34	100	100	0.039600000000000003	1.5544001019686475e-06	1.000001554400102	1	2	0	1	1.5544001019686469	0	1.5544
27	2	1	1	0.039600000000000003	1.6440000979824077e-07	1.0000001644000098	1	2	0	1	0.16440000979824057	0	0.16439999999999999
28	11	10	10	0.045600000000000002	5.2480003509301593e-07	1.000000524800035	1	2	0	1	0.5248000344268835	1.1102230246251565e-16	0.52480000000000016
29	5	5	5	0.039600000000000003	2.8320001687872087e-07	1.0000002832000168	1	2	0	1	0.28320001687872104	0	0.28320000000000001
30	21	20	20	0.039600000000000003	9.2080006040454182e-07	1.0000009208000604	1	2	0	1	0.92080006040454143	0	0.92079999999999984
31	35	100	100	0.039600000000000003	1.5940001045664085e-06	1.0000015940001046	1	2	0	1	1.5940001045664072	0	1.5940000000000001
32	12	10	10	0.039600000000000003	5.6440003702464175e-07	1.0000005644000369	1	2	0	1	0.56440003702464259	0	0.56440000000000012
37	36	100	100	0.039600000000000003	1.6336001071641689e-06	1.0000016336001072	1	2	0	1	1.6336001071641673	0	1.6336000000000002
38	13	10	10	0.039600000000000003	6.0400003962240308e-07	1.0000006040000395	1	2	0	1	0.60400003962240267	0	0.60400000000000009
39	26	50	50	0.039600000000000003	1.2376000811865656e-06	1.0000012376000811	1	2	0	1	1.2376000811865651	0	1.2375999999999998
40	22	20	20	0.039600000000000003	9.604000630023059e-07	1.000000960400063	1	2	0	1	0.96040006300230629	0	0.96039999999999992
41	23	20	20	0.039600000000000003	1.0000001843999537e-06	1.0000010000001844	1	2	0	1	1.0000001843999526	0	0.99999999999999978
42	14	10	10	0.039600000000000003	6.4360004222016262e-07	1.0000006436000421	1	2	0	1	0.64360004222016287	0	0.64360000000000017
44	27	50	50	0.039600000000000003	1.2772000837843246e-06	1.0000012772000837	1	2	0	1	1.2772000837843249	0	1.2771999999999994
46	24	20	20	0.039600000000000003	1.1584000759910461e-06	1.0000011584000761	1	2	0	1	1.1584000759910449	0	1.1583999999999999
47	37	100	100	0.039600000000000003	1.6732001097619288e-06	1.0000016732001098	1	2	0	1	1.6732001097619273	0	1.6732000000000002
48	15	10	10	0.041599999999999998	6.832000448179231e-07	1.0000006832000448	1	2	0	1	0.68320004481792296	0	0.68320000000000003
50	16	10	10	0.039600000000000003	7.2280004741568306e-07	1.0000007228000474	1	2	0	1	0.72280004741568304	0	0.7228
51	17	10	10	0.039600000000000003	7.624000500134445e-07	1.00000076240005	1	2	0	1	0.76240005001344346	0	0.76240000000000008
52	38	100	100	0.039600000000000003	1.7128001123596876e-06	1.0000017128001124	1	2	0	1	1.7128001123596879	0	1.7128000000000003
53	25	20	20	0.039600000000000003	1.1980000785888044e-06	1.0000011980000787	1	2	0	1	1.1980000785888048	0	1.1979999999999997

[frame_retry_distribution]
frame_id	retry_count	probability
1	0	0.99999824760153555
1	1	1.7523968141396965e-06
1	2	1.6504072112900531e-12
1	3	1.1096702759512634e-18
1	4	5.9719608823029176e-25
1	5	2.7355114084676113e-31
1	6	4.2513151416825176e-38
2	0	0.99999868320086704
2	1	1.3167981796569379e-06
2	2	9.5336181953108622e-13
2	3	5.0279407152498335e-19
2	4	2.1608235095924263e-25
2	5	8.0313827641627396e-32
3	0	0.99999991480000361
3	1	8.5199987663040954e-08
3	2	8.7074382201994355e-15
3	3	9.8968293872366712e-22
3	4	1.2029671038077793e-28
3	5	1.5309472296672267e-35
3	6	1.1102230246251565e-16
4	0	0.99999919800032167
4	1	8.0199930418510298e-07
4	2	3.7421285078440593e-13
4	3	1.3334592596068937e-19
4	4	4.0297417083699919e-26
4	5	1.5684321029678311e-32
6	0	0.99999864360091983
6	1	1.3563980712005714e-06
6	2	1.0088888191758775e-12
6	3	5.4536921585454321e-19
6	4	2.3974823769981755e-25
6	5	9.0988564508723989e-32
6	6	1.1102230246251565e-16
7	0	0.99999979600002087
7	1	2.0399994622560727e-07
7	2	3.2966389345261255e-14
7	3	4.9822166528071048e-21
7	4	7.3597673910781982e-28
7	5	1.0796018294921067e-34
9	0	0.9999986040009744
9	1	1.3959979596078922e-06
9	2	1.0659839720280375e-12
9	3	5.9027714791247746e-19
9	4	2.6530248848560388e-25
9	5	1.0276673284585295e-31
11	0	0.99999987520000777
11	1	1.2479997698688216e-07
11	2	1.5225596284954036e-14
11	3	1.9171969859389037e-21
11	4	2.4913841974650911e-28
11	5	3.3233272480405332e-35
12	0	0.99999856440103052
12	1	1.4355978448788976e-06
12	2	1.124647277901268e-12
12	3	6.3757996645628252e-19
12	4	2.9284278486732996e-25
12	5	1.1573157935387957e-31
13	0	0.99999975640002969
13	1	2.435999261404913e-07
13	2	4.4189023968219203e-14
13	3	7.2439203961673798e-21
13	4	1.1365981573595556e-27
13	5	1.7466684122129146e-34
14	0	0.99999967720005212
14	1	3.2279987656130367e-07
14	2	7.1338768468257493e-14
14	3	1.3536210938234902e-20
14	4	2.3772509393679973e-27
14	5	3.9953873153213245e-34
15	0	0.99999915840035414
15	1	8.4159923650082517e-07
15	2	4.0935384178038947e-13
15	3	1.5124582122892408e-19
15	4	4.7184697400116559e-26
15	5	1.8729761241674492e-32
16	0	0.99999820800160566
16	1	1.7919966711838937e-06
16	2	1.72318388596957e-12
16	3	1.1813215153321058e-18
16	4	6.4741211454396184e-25
16	5	4.0419730673534594e-31
16	6	4.6897846649527276e-38
17	0	0.99999963760006572
17	1	3.6239984706723233e-07
17	2	8.7265877972743216e-14
17	3	1.7690995801630537e-20
17	4	3.2746618355137844e-27
17	5	5.7442715050086564e-34
18	0	0.99999820800160566
18	1	1.7919966711838937e-06
18	2	1.72318388596957e-12
18	3	1.1813215153321058e-18
18	4	6.4741211454396184e-25
18	5	4.0419730673534629e-31
18	6	4.6897846649527323e-38
19	0	0.99999852480108808
19	1	1.4751977270135902e-06
19	2	1.1848787366092706e-12
19	3	6.8733977023360857e-19
19	4	3.2246926750175739e-25
19	5	1.2997042892878947e-31
19	6	1.1102230246251565e-16
20	0	0.9999995960000817
20	1	4.0399981189764393e-07
20	2	1.0649434385616711e-13
20	3	2.3343472548692682e-20
20	4	4.6313909074863774e-27
20	5	8.6520661480985386e-34
21	0	0.99999955640009841
21	1	4.4359977589333691e-07
21	2	1.2571616874405545e-13
21	3	2.9195261323025373e-20
21	4	6.0719371603619106e-27
21	5	1.1796606659273915e-33
22	0	0.99999848520114742
22	1	1.5147976060119725e-06
22	2	1.2466783479657552e-12
22	3	7.3961865798229212e-19
22	4	3.5428453615121391e-25
22	5	1.4557478204213001e-31
23	0	0.99999951680011678
23	1	4.8319973675271253e-07
23	2	1.4650615115864328e-13
23	3	3.5935882128156168e-20
23	4	7.819335417775624e-27
23	5	1.5779400515920394e-33
24	0	0.99999911880038828
24	1	8.8119916568023413e-07
24	2	4.4606298840560265e-13
24	3	1.7067119920725357e-19
24	4	7.5189997509140064e-26
24	5	2.4757763629775755e-32
25	0	0.9999984456012081
25	1	1.5543974818740406e-06
25	2	1.3100461117844181e-12
25	3	7.9447872843029911e-19
25	4	3.8839364968307496e-25
25	5	1.626404121214179e-31
27	0	0.9999998356000136
27	1	1.6439996317440431e-07
27	2	2.3311913388740434e-14
27	3	3.2273418683760792e-21
27	4	4.4767081484935926e-28
27	5	6.2631340495694522e-35
28	0	0.99999947520013766
28	1	5.2479969015817141e-07
28	2	1.7213428707987103e-13
28	3	4.5544434249791258e-20
28	4	1.0666882201836666e-26
28	5	2.3131352644338032e-33
28	6	1.1102230246251565e-16
29	0	0.99999971680004018
29	1	2.8319990291905649e-07
29	2	5.6979817071317042e-14
29	3	1.0074552145555845e-20
29	4	1.6745361553745153e-27
29	5	2.692862726233492e-34
30	0	0.99999907920042397
30	1	9.2079909172332826e-07
30	2	4.8434023293412515e-13
30	3	2.4922381273415448e-19
30	4	9.3516351729374853e-26
30	5	3.0013525401125022e-32
31	0	0.99999840600127055
31	1	1.5939973545997968e-06
31	2	1.374982027878962e-12
31	3	8.5198208029579401e-19
31	4	4.2490412606931345e-25
31	5	1.8126746293053868e-31
32	0	0.99999943560015925
32	1	5.6439964442811134e-07
32	2	1.9629818345493612e-13
32	3	5.4504578233765806e-20
32	4	1.3291586077811252e-26
32	5	2.9829341913407938e-33
37	0	0.99999836640133433
37	1	1.6335972241892403e-06
37	2	1.441486096063096e-12
37	3	9.121908122870767e-19
37	4	4.6392594238597958e-25
37	5	2.0156054595010787e-31
38	0	0.99999939600018239
38	1	6.0399959556173591e-07
38	2	2.2203023676331059e-13
38	3	6.4555532730575673e-20
38	4	1.636743600267138e-26
38	5	3.7976854691526382e-33
39	0	0.99999876240076591
39	1	1.2375983871607313e-06
39	2	8.4701228060879866e-13
39	3	4.2439375097183508e-19
39	4	1.7403723894394635e-25
39	5	6.1961468206885092e-32
40	0	0.99999903960046121
40	1	9.6039901463010502e-07
40	2	5.2418568552526173e-13
