# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_121049\retry_probability_reports\E5S200_5ecu_200signals_065.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.41640400000000005	0.41640400000000005	200	50	1
baseline1	0.44445600000000013	0.44445600000000013	200	136	1
baseline2	0.31495294884066594	0.31495279999999998	200	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	150	0.07259551200001492	0.23200000000000465
foundation	B	20	0.07047148000001599	0.17644000000004212
foundation	C	20	0.080553520000014686	0.19240000000000457
foundation	D	10	0.10449600000002475	0.16852000000004069
baseline1	A	150	0.086093645333385788	0.23800000000056798
baseline1	B	20	0.089146300000022188	0.19548000000004889
baseline1	C	20	0.09111596000007402	0.23800000000056798
baseline1	D	10	0.095505200000024562	0.17172000000004459
baseline2	A	150	0.057554565333333321	0.222
baseline2	B	20	0.048094199999999997	0.12795999999999996
baseline2	C	20	0.059220220000000011	0.18240000000000001
baseline2	D	10	0.062510799999999991	0.12399999999999997

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	150	4.0906665825562587e-08	6.1599998102720045e-08
foundation	B	20	1.6831999300691703e-15	2.4393598765683887e-15
foundation	C	20	1.6045999356666102e-15	1.813759922733826e-15
foundation	D	10	1.632719933959842e-15	1.813759922733826e-15
baseline1	A	150	1.7242667315652218e-08	4.5599998960320021e-08
baseline1	B	20	1.8064799212264982e-15	3.7945597662551131e-15
baseline1	C	20	1.6537599323816662e-15	2.4601598779760682e-15
baseline1	D	10	1.6501599328549462e-15	1.9009599171181472e-15
baseline2	A	150	1.0362081563168128e-17	1.1102230246251565e-16
baseline2	B	20	1.1102230246251566e-17	1.1102230246251565e-16
baseline2	C	20	1.6653345369377347e-17	1.1102230246251565e-16
baseline2	D	10	1.1102230246251566e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	150	0
foundation	B	20	20
foundation	C	20	20
foundation	D	10	10
baseline1	A	150	86
baseline1	B	20	20
baseline1	C	20	20
baseline1	D	10	10
baseline2	A	150	0
baseline2	B	20	0
baseline2	C	20	0
baseline2	D	10	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	339139743	D	3	0	10	2	3	2	1	1.7305599280087053e-15	2.7777777777777781e-14	1.4020000000003279	1.6653345369377348e-15	1.4020000000003279	1.4020000000003279
foundation	1093725666	D	3	0	10	3	4	2	1	1.5681599379008662e-15	2.7777777777777781e-14	1.6852000000004068	1.5543122344752192e-15	1.6852000000004068	1.6852000000004068
foundation	2253977431	D	3	0	10	0	1	2	1	1.5681599379008662e-15	2.7777777777777781e-14	1.6456000000003996	1.5543122344752192e-15	1.6456000000003996	1.6456000000003996
foundation	167377107	D	3	0	20	2	4	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.7644000000004212	1.5543122344752192e-15	1.7644000000004212	1.7644000000004212
foundation	373815079	D	3	0	20	4	3	2	1	1.6473599331171859e-15	5.5555555555555561e-14	1.9248000000004595	1.6653345369377348e-15	1.9248000000004595	1.9248000000004595
foundation	1202044181	D	3	0	20	1	2	2	1	1.6473599331171859e-15	5.5555555555555561e-14	2.3644000000005576	1.6653345369377348e-15	2.3644000000005576	2.3644000000005576
foundation	1335763064	D	3	0	20	0	4	2	1	1.5681599379008662e-15	5.5555555555555561e-14	2.4516000000005533	1.5543122344752192e-15	2.4516000000005533	2.4516000000005533
foundation	2476154758	D	3	0	20	1	0	2	1	1.813759922733826e-15	5.5555555555555561e-14	1.6060000000003924	1.7763568394002505e-15	1.6060000000003924	1.6060000000003924
foundation	3360588654	D	3	0	20	3	2	2	1	1.6473599331171859e-15	5.5555555555555561e-14	0.72080000000016753	1.5543122344752192e-15	0.72080000000016753	0.72080000000016753
foundation	185726441	D	3	0	100	4	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	3.0080000000006635	1.5543122344752192e-15	3.0080000000006635	3.0080000000006635
foundation	965429241	C	2	0	1	2	1	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.19240000000000457	1.5543122344752192e-15	0.19240000000000457	0.19240000000000457
foundation	3868556470	C	2	0	1	2	1	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.19240000000000457	1.5543122344752192e-15	0.19240000000000457	0.19240000000000457
foundation	311247178	C	2	0	10	4	0	2	1	1.6473599331171859e-15	2.7777777777777779e-13	1.0000000000002274	1.5543122344752192e-15	1.0000000000002274	1.0000000000002274
foundation	3537456130	C	2	0	10	3	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.6852000000004068	1.5543122344752192e-15	1.6852000000004068	1.6852000000004068
foundation	3752208817	C	2	1	10	1	0	2	1	1.813759922733826e-15	2.7777777777777779e-13	1.6060000000003924	1.7763568394002505e-15	1.6060000000003924	1.6060000000003924
foundation	593603549	C	2	0	20	1	2	2	1	1.6473599331171859e-15	5.5555555555555559e-13	1.8456000000004451	1.5543122344752192e-15	1.8456000000004451	1.8456000000004451
foundation	1175241299	C	2	0	20	1	0	2	1	1.813759922733826e-15	5.5555555555555559e-13	1.6060000000003924	1.7763568394002505e-15	1.6060000000003924	1.6060000000003924
foundation	1408404139	C	2	0	20	3	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.5208000000003494	1.5543122344752192e-15	1.5208000000003494	1.5208000000003494
foundation	2963752371	C	2	0	20	4	2	2	1	1.5681599379008662e-15	5.5555555555555559e-13	2.0060000000004834	1.5543122344752192e-15	2.0060000000004834	2.0060000000004834
foundation	3675314131	C	2	0	20	2	1	2	1	1.6473599331171859e-15	5.5555555555555559e-13	2.3248000000005504	1.6653345369377348e-15	2.3248000000005504	2.3248000000005504
