# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_121049\retry_probability_reports\E5S80_5ecu_80signals_099.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.31920199999999987	0.31920199999999987	80	20	1
baseline1	0.34851800000000005	0.34851800000000005	80	43	1
baseline2	0.24551048094426603	0.24551039999999996	80	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	60	0.061808813333359094	0.15440000000023701
foundation	B	8	0.064091000000037049	0.11940000000002442
foundation	C	8	0.042059650000008025	0.07128000000001293
foundation	D	4	0.077149000000063236	0.15140000000022269
baseline1	A	60	0.066104586666697468	0.19600000000036744
baseline1	B	8	0.07909750000003414	0.13644000000002166
baseline1	C	8	0.040898150000007211	0.092280000000016571
baseline1	D	4	0.078181000000055428	0.1574000000001945
baseline2	A	60	0.044632419999999985	0.16439999999999999
baseline2	B	8	0.035756999999999997	0.068320000000000006
baseline2	C	8	0.03144389999999999	0.072479999999999989
baseline2	D	4	0.052312999999999998	0.10200000000000001

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	60	4.0033332531459989e-08	4.3599999049520024e-08
foundation	B	8	1.5879599366851462e-15	1.7265599281751066e-15
foundation	C	8	1.5681599379008662e-15	1.5681599379008662e-15
foundation	D	4	1.5681599379008662e-15	1.5681599379008662e-15
baseline1	A	60	2.4653333492191995e-08	4.1599999134720006e-08
baseline1	B	8	1.6320599338109063e-15	2.0793599051811871e-15
baseline1	C	8	1.588459936664346e-15	1.7305599280087053e-15
baseline1	D	4	1.5681599379008662e-15	1.5681599379008662e-15
baseline2	A	60	1.1102230246251566e-17	1.1102230246251565e-16
baseline2	B	8	4.163336342344337e-17	1.1102230246251565e-16
baseline2	C	8	0	0
baseline2	D	4	0	0

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	60	0
foundation	B	8	8
foundation	C	8	8
foundation	D	4	4
baseline1	A	60	23
baseline1	B	8	8
baseline1	C	8	8
baseline1	D	4	4
baseline2	A	60	0
baseline2	B	8	0
baseline2	C	8	0
baseline2	D	4	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	2107950761	D	3	0	2	0	1	2	1	1.5681599379008662e-15	5.5555555555555552e-15	0.30280000000044538	1.5543122344752192e-15	0.30280000000044538	0.30280000000044538
foundation	2945138584	D	3	0	10	4	1	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.55440000000010059	1.5543122344752192e-15	0.55440000000010059	0.55440000000010059
foundation	753002208	D	3	0	20	2	1	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.5504000000003089	1.5543122344752192e-15	1.5504000000003089	1.5504000000003089
foundation	425227538	D	3	0	100	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.4236000000004765	1.5543122344752192e-15	2.4236000000004765	2.4236000000004765
foundation	1121714715	C	2	0	5	2	1	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.35640000000006467	1.5543122344752192e-15	0.35640000000006467	0.35640000000006467
foundation	2973238538	C	2	0	10	2	0	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.67320000000012215	1.5543122344752192e-15	0.67320000000012215	0.67320000000012215
foundation	2151900759	C	2	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.3920000000002801	1.5543122344752192e-15	1.3920000000002801	1.3920000000002801
foundation	2574052324	C	2	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.3920000000002801	1.5543122344752192e-15	1.3920000000002801	1.3920000000002801
foundation	195909999	C	2	0	100	4	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.9860000000003879	1.5543122344752192e-15	1.9860000000003879	1.9860000000003879
foundation	332421902	C	2	0	100	1	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.7088000000003376	1.5543122344752192e-15	1.7088000000003376	1.7088000000003376
foundation	1705237991	C	2	0	100	2	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.9068000000003735	1.5543122344752192e-15	1.9068000000003735	1.9068000000003735
foundation	1467139236	C	2	0	1000	0	1	2	1	1.5681599379008662e-15	2.7777777777777777e-11	2.6612000000000027	1.5543122344752192e-15	2.6612000000000027	2.6612000000000027
foundation	4041988362	B	1	0	2	2	0	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.22360000000043101	1.5543122344752192e-15	0.22360000000043101	0.22360000000043101
foundation	1435676451	B	1	0	10	3	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.1940000000002442	1.5543122344752192e-15	1.1940000000002442	1.1940000000002442
foundation	3836137317	B	1	0	10	4	0	2	1	1.7265599281751066e-15	2.7777777777777779e-13	0.9168000000001939	1.6653345369377348e-15	0.9168000000001939	0.9168000000001939
foundation	3844044334	B	1	0	10	0	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.47520000000008622	1.5543122344752192e-15	0.47520000000008622	0.47520000000008622
foundation	1444888798	B	1	0	20	0	2	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.3128000000002658	1.5543122344752192e-15	1.3128000000002658	1.3128000000002658
foundation	3782096408	B	1	0	50	1	0	2	1	1.5681599379008662e-15	1.3888888888888889e-12	1.7088000000003376	1.5543122344752192e-15	1.7088000000003376	1.7088000000003376
foundation	319020572	B	1	0	100	3	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.8672000000003663	1.5543122344752192e-15	1.8672000000003663	1.8672000000003663
foundation	2670037889	B	1	0	100	4	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.3840000000004693	1.5543122344752192e-15	2.3840000000004693	2.3840000000004693
foundation	1546428145	A	0	0	1	2	0	1	0	3.9599999215920021e-08	1	0.075200000000222644	3.95999991686935e-08	0.075200000000222644	0.075200000000222644
foundation	1988165507	A	0	0	1	2	1	1	0	3.9599999215920021e-08	1	0.11480000000022983	3.95999991686935e-08	0.11480000000022983	0.11480000000022983
foundation	3367252190	A	0	0	1	1	2	1	0	3.9599999215920021e-08	1	0.15440000000023701	3.95999991686935e-08	0.15440000000023701	0.15440000000023701
foundation	3433119659	A	0	0	2	1	0	1	0	3.9599999215920021e-08	1	0.26320000000043819	3.95999991686935e-08	0.26320000000043819	0.26320000000043819
foundation	2050980934	A	0	0	5	1	0	1	0	3.9599999215920021e-08	1	0.39600000000007185	3.95999991686935e-08	0.39600000000007185	0.39600000000007185
foundation	88671625	A	0	0	10	2	3	1	0	4.1599999134720006e-08	1	0.87320000000016762	4.1599999112129638e-08	0.87320000000016762	0.87320000000016762
foundation	461230694	A	0	0	10	2	1	1	0	3.9599999215920021e-08	1	0.35640000000006467	3.95999991686935e-08	0.35640000000006467	0.35640000000006467
foundation	699386589	A	0	0	10	3	2	1	0	3.9599999215920021e-08	1	1.1940000000002442	3.95999991686935e-08	1.1940000000002442	1.1940000000002442
foundation	901591311	A	0	0	10	2	0	1	0	3.9599999215920021e-08	1	0.63360000000011496	3.95999991686935e-08	0.63360000000011496	0.63360000000011496
foundation	1121891443	A	0	0	10	3	0	1	0	3.9599999215920021e-08	1	0.95640000000020109	3.95999991686935e-08	0.95640000000020109	0.95640000000020109
foundation	1431616997	A	0	0	10	1	3	1	0	3.9599999215920021e-08	1	0.99600000000020827	3.95999991686935e-08	0.99600000000020827	0.99600000000020827
foundation	1488467536	A	0	0	10	1	3	1	0	3.9599999215920021e-08	1	0.99600000000020827	3.95999991686935e-08	0.99600000000020827	0.99600000000020827
foundation	1684313726	A	0	0	10	0	2	1	0	3.9599999215920021e-08	1	0.83160000000015089	3.95999991686935e-08	0.83160000000015089	0.83160000000015089
foundation	1854372426	A	0	0	10	4	0	1	0	4.3599999049520024e-08	1	0.9168000000001939	4.3599999055565775e-08	0.9168000000001939	0.9168000000001939
foundation	2004904919	A	0	0	10	0	2	1	0	3.9599999215920021e-08	1	0.83160000000015089	3.95999991686935e-08	0.83160000000015089	0.83160000000015089
foundation	2008997276	A	0	0	10	4	0	1	0	4.3599999049520024e-08	1	0.9168000000001939	4.3599999055565775e-08	0.9168000000001939	0.9168000000001939
foundation	2230588029	A	0	0	10	4	3	1	0	3.9599999215920021e-08	1	0.59400000000010778	3.95999991686935e-08	0.59400000000010778	0.59400000000010778
foundation	2299927120	A	0	0	10	3	4	1	0	3.9599999215920021e-08	1	0.71280000000012933	3.95999991686935e-08	0.71280000000012933	0.71280000000012933
foundation	2604105333	A	0	0	10	0	4	1	0	3.9599999215920021e-08	1	0.75240000000013652	3.95999991686935e-08	0.75240000000013652	0.75240000000013652
foundation	2677347083	A	0	0	10	2	4	1	0	3.9599999215920021e-08	1	1.2336000000002514	3.95999991686935e-08	1.2336000000002514	1.2336000000002514
foundation	2757793380	A	0	0	10	2	3	1	0	4.1599999134720006e-08	1	0.87320000000016762	4.1599999112129638e-08	0.87320000000016762	0.87320000000016762
foundation	2994167903	A	0	0	10	3	0	1	0	3.9599999215920021e-08	1	0.95640000000020109	3.95999991686935e-08	0.95640000000020109	0.95640000000020109
foundation	3213728817	A	0	0	10	1	0	1	0	3.9599999215920021e-08	1	0.39600000000007185	3.95999991686935e-08	0.39600000000007185	0.39600000000007185
foundation	3561606342	A	0	0	10	3	0	1	0	3.9599999215920021e-08	1	0.95640000000020109	3.95999991686935e-08	0.95640000000020109	0.95640000000020109
foundation	3878250707	A	0	0	10	2	3	1	0	4.1599999134720006e-08	1	0.87320000000016762	4.1599999112129638e-08	0.87320000000016762	0.87320000000016762
foundation	8128671	A	0	0	20	4	0	1	0	3.9599999215920021e-08	1	0.7920000000001437	3.95999991686935e-08	0.7920000000001437	0.7920000000001437
foundation	20651102	A	0	0	20	3	1	1	0	3.9599999215920021e-08	1	1.5108000000003017	3.95999991686935e-08	1.5108000000003017	1.5108000000003017
foundation	56791588	A	0	0	20	2	3	1	0	4.1599999134720006e-08	1	0.87320000000016762	4.1599999112129638e-08	0.87320000000016762	0.87320000000016762
foundation	114761894	A	0	0	20	0	1	1	0	3.9599999215920021e-08	1	1.2732000000002586	3.95999991686935e-08	1.2732000000002586	1.2732000000002586
foundation	506304554	A	0	0	20	2	1	1	0	3.9599999215920021e-08	1	1.3524000000002729	3.95999991686935e-08	1.3524000000002729	1.3524000000002729
foundation	643318900	A	0	0	20	4	0	1	0	4.3599999049520024e-08	1	0.9168000000001939	4.3599999055565775e-08	0.9168000000001939	0.9168000000001939
foundation	922762198	A	0	0	20	3	2	1	0	3.9599999215920021e-08	1	1.0356000000002155	3.95999991686935e-08	1.0356000000002155	1.0356000000002155
foundation	987834761	A	0	0	20	0	1	1	0	3.9599999215920021e-08	1	1.2732000000002586	3.95999991686935e-08	1.2732000000002586	1.2732000000002586
foundation	996294123	A	0	0	20	1	3	1	0	3.9599999215920021e-08	1	0.99600000000020827	3.95999991686935e-08	0.99600000000020827	0.99600000000020827
foundation	1004784706	A	0	0	20	3	2	1	0	3.9599999215920021e-08	1	1.1940000000002442	3.95999991686935e-08	1.1940000000002442	1.1940000000002442
foundation	1339187738	A	0	0	20	1	4	1	0	3.9599999215920021e-08	1	1.590000000000316	3.95999991686935e-08	1.590000000000316	1.590000000000316
foundation	1349087487	A	0	0	20	2	0	1	0	3.9599999215920021e-08	1	0.67320000000012215	3.95999991686935e-08	0.67320000000012215	0.67320000000012215
foundation	1485332004	A	0	0	20	2	0	1	0	3.9599999215920021e-08	1	0.67320000000012215	3.95999991686935e-08	0.67320000000012215	0.67320000000012215
foundation	1545977678	A	0	0	20	2	4	1	0	3.9599999215920021e-08	1	1.2336000000002514	3.95999991686935e-08	1.2336000000002514	1.2336000000002514
foundation	1576967583	A	0	0	20	1	2	1	0	3.9599999215920021e-08	1	1.4712000000002945	3.95999991686935e-08	1.4712000000002945	1.4712000000002945
foundation	1700564694	A	0	0	20	2	1	1	0	3.9599999215920021e-08	1	1.5504000000003089	3.95999991686935e-08	1.5504000000003089	1.5504000000003089
foundation	1938752464	A	0	0	20	2	3	1	0	4.1599999134720006e-08	1	0.87320000000016762	4.1599999112129638e-08	0.87320000000016762	0.87320000000016762
foundation	2175891143	A	0	0	20	0	2	1	0	3.9599999215920021e-08	1	1.3128000000002658	3.95999991686935e-08	1.3128000000002658	1.3128000000002658
foundation	3494747301	A	0	0	20	4	2	1	0	3.9599999215920021e-08	1	1.4316000000002873	3.95999991686935e-08	1.4316000000002873	1.4316000000002873
foundation	3730470693	A	0	0	20	3	1	1	0	3.9599999215920021e-08	1	1.5108000000003017	3.95999991686935e-08	1.5108000000003017	1.5108000000003017
foundation	3796582306	A	0	0	20	4	0	1	0	3.9599999215920021e-08	1	0.7920000000001437	3.95999991686935e-08	0.7920000000001437	0.7920000000001437
foundation	2886045373	A	0	0	50	2	3	1	0	3.9599999215920021e-08	1	1.6296000000003232	3.95999991686935e-08	1.6296000000003232	1.6296000000003232
foundation	106755665	A	0	0	100	1	3	1	0	3.9599999215920021e-08	1	2.0256000000003951	3.95999991686935e-08	2.0256000000003951	2.0256000000003951
foundation	348551543	A	0	0	100	1	2	1	0	4.1599999134720006e-08	1	2.3444000000004621	4.1599999112129638e-08	2.3444000000004621	2.3444000000004621
foundation	370458280	A	0	0	100	0	3	1	0	3.9599999215920021e-08	1	1.7484000000003448	3.95999991686935e-08	1.7484000000003448	1.7484000000003448
foundation	1829765756	A	0	0	100	4	1	1	0	3.9599999215920021e-08	1	1.788000000000352	3.95999991686935e-08	1.788000000000352	1.788000000000352
foundation	1981544541	A	0	0	100	0	3	1	0	3.9599999215920021e-08	1	1.7484000000003448	3.95999991686935e-08	1.7484000000003448	1.7484000000003448
foundation	2604730671	A	0	0	100	1	4	1	0	3.9599999215920021e-08	1	2.4632000000004837	3.95999991686935e-08	2.4632000000004837	2.4632000000004837
foundation	2842509313	A	0	0	100	1	3	1	0	3.9599999215920021e-08	1	2.4236000000004765	3.95999991686935e-08	2.4236000000004765	2.4236000000004765
foundation	3418479435	A	0	0	100	0	3	1	0	3.9599999215920021e-08	1	1.7484000000003448	3.95999991686935e-08	1.7484000000003448	1.7484000000003448
foundation	3725115673	A	0	1	100	1	2	1	0	4.1599999134720006e-08	1	2.3444000000004621	4.1599999112129638e-08	2.3444000000004621	2.3444000000004621
foundation	4078893536	A	0	0	100	2	4	1	0	3.9599999215920021e-08	1	2.5028000000004909	3.95999991686935e-08	2.5028000000004909	2.5028000000004909
foundation	560458785	A	0	0	1000	3	4	1	0	3.9599999215920021e-08	1	2.6216000000000026	3.95999991686935e-08	2.6216000000000026	2.6216000000000026
foundation	2531114464	A	0	0	1000	1	2	1	0	3.9599999215920021e-08	1	2.7008000000000028	3.95999991686935e-08	2.7008000000000028	2.7008000000000028
foundation	3256947154	A	0	0	1000	3	1	1	0	3.9599999215920021e-08	1	2.5424000000000024	3.95999991686935e-08	2.5424000000000024	2.5424000000000024
baseline1	2107950761	D	3	0	2	0	1	2	1	1.5681599379008662e-15	5.5555555555555552e-15	0.31480000000038899	1.5543122344752192e-15	0.31480000000038899	0.31480000000038899
baseline1	2945138584	D	3	0	10	4	1	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.59600000000011732	1.5543122344752192e-15	0.59600000000011732	0.59600000000011732
baseline1	753002208	D	3	0	20	2	1	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.4436000000002309	1.5543122344752192e-15	1.4436000000002309	1.4436000000002309
baseline1	425227538	D	3	0	100	1	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.3544000000003962	1.5543122344752192e-15	2.3544000000003962	2.3544000000003962
baseline1	1121714715	C	2	0	5	2	1	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.35640000000006467	1.5543122344752192e-15	0.35640000000006467	0.35640000000006467
baseline1	2973238538	C	2	0	10	2	0	2	1	1.7305599280087053e-15	2.7777777777777779e-13	0.92280000000016571	1.6653345369377348e-15	0.92280000000016571	0.92280000000016571
baseline1	2151900759	C	2	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.0020000000001801	1.5543122344752192e-15	1.0020000000001801	1.0020000000001801
baseline1	2574052324	C	2	0	20	4	3	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.0020000000001801	1.5543122344752192e-15	1.0020000000001801	1.0020000000001801
baseline1	195909999	C	2	0	100	4	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.5148000000004345	1.5543122344752192e-15	2.5148000000004345	2.5148000000004345
baseline1	332421902	C	2	0	100	1	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.7604000000002884	1.5543122344752192e-15	1.7604000000002884	1.7604000000002884
baseline1	1705237991	C	2	0	100	2	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.8000000000002956	1.5543122344752192e-15	1.8000000000002956	1.8000000000002956
baseline1	1467139236	C	2	0	1000	0	1	2	1	1.5681599379008662e-15	2.7777777777777777e-11	2.6732000000000027	1.5543122344752192e-15	2.6732000000000027	2.6732000000000027
baseline1	4041988362	B	1	0	2	2	0	2	1	1.5681599379008662e-15	5.5555555555555549e-14	0.19600000000036744	1.5543122344752192e-15	0.19600000000036744	0.19600000000036744
baseline1	1435676451	B	1	0	10	3	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.3644000000002166	1.5543122344752192e-15	1.3644000000002166	1.3644000000002166
baseline1	3836137317	B	1	0	10	4	0	2	1	2.0793599051811871e-15	2.7777777777777779e-13	1.3248000000002094	2.1094237467877974e-15	1.3248000000002094	1.3248000000002094
baseline1	3844044334	B	1	0	10	0	3	2	1	1.5681599379008662e-15	2.7777777777777779e-13	1.2396000000002232	1.5543122344752192e-15	1.2396000000002232	1.2396000000002232
baseline1	1444888798	B	1	0	20	0	2	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.2792000000002304	1.5543122344752192e-15	1.2792000000002304	1.2792000000002304
baseline1	3782096408	B	1	0	50	1	0	2	1	1.5681599379008662e-15	1.3888888888888889e-12	1.7604000000002884	1.5543122344752192e-15	1.7604000000002884	1.7604000000002884
baseline1	319020572	B	1	0	100	3	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.3940000000004034	1.5543122344752192e-15	2.3940000000004034	2.3940000000004034
baseline1	2670037889	B	1	0	100	4	1	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.87920000000031	1.5543122344752192e-15	1.87920000000031	1.87920000000031
baseline1	1546428145	A	0	0	1	2	0	2	1	1.5681599379008662e-15	1	0.19600000000036744	1.5543122344752192e-15	0.19600000000036744	0.19600000000036744
baseline1	1988165507	A	0	0	1	2	1	1	0	3.9599999215920021e-08	1	0.15640000000036025	3.95999991686935e-08	0.15640000000036025	0.15640000000036025
baseline1	3367252190	A	0	0	1	1	2	1	0	3.9599999215920021e-08	1	0.11680000000035307	3.95999991686935e-08	0.11680000000035307	0.11680000000035307
