base_bandwidth_utilization	0.15076319999999996
expected_bandwidth_utilization	0.15076323993161733

rounded_expected_bandwidth_utilization	0.30152640000000019

bandwidth_utilization_p99	0.1507632000000001

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
0	4	10	10	0.0436	2.4360001549296083e-07	1.0000002436000155	1	2	0	1	0.24360001549296101	0	0.24360000000000001
1	5	10	10	0.039600000000000003	2.8320001801152103e-07	1.0000002832000181	1	2	0	1	0.28320001801152117	0	0.28320000000000001
2	6	10	10	0.039600000000000003	3.2280002053008134e-07	1.0000003228000205	1	2	0	1	0.32280002053008133	0	0.32279999999999998
5	14	10	20	0.039600000000000003	6.3960004067856309e-07	1.0000006396000407	1	2	0	1	0.63960004067856258	0	0.63960000000000006
6	20	100	100	0.039600000000000003	8.7720005578992443e-07	1.0000008772000557	1	2	0	1	0.87720005578992355	0	0.87719999999999998
7	21	100	100	0.039600000000000003	9.1680005830852154e-07	1.0000009168000583	1	2	0	1	0.91680005830852151	0	0.91679999999999984
8	7	10	10	0.039600000000000003	3.624000230486415e-07	1.0000003624000231	1	2	0	1	0.3624000230486415	0	0.3624
9	2	5	5	0.039600000000000003	1.6240000967904059e-07	1.0000001624000097	1	2	0	1	0.16240000967904059	0	0.16239999999999999
10	8	10	10	0.039600000000000003	4.0200002556720181e-07	1.0000004020000255	1	2	0	1	0.40200002556720166	0	0.40200000000000002
11	19	50	50	0.039600000000000003	8.3760005327136343e-07	1.0000008376000533	1	2	0	1	0.83760005327136344	0	0.83760000000000001
13	0	1	1	0.039600000000000003	8.3200004958720387e-08	1.0000000832000049	1	2	0	1	0.083200004958720306	0	0.083199999999999996
14	22	100	100	0.039600000000000003	9.5640006082708476e-07	1.0000009564000609	1	2	0	1	0.95640006082708484	0	0.95639999999999992
15	9	10	10	0.039600000000000003	4.416000287518962e-07	1.0000004416000288	1	2	0	1	0.44160002808576293	1.1102230246251565e-16	0.44160000000000005
17	23	100	100	0.039600000000000003	9.9600014222877e-07	1.0000009960001421	1	2	0	1	0.99600014222876954	0	0.99599999999999977
18	27	1000	1000	0.039600000000000003	1.2336000784569645e-06	1.0000012336000785	1	2	0	1	1.2336000784569647	0	1.2335999999999996
19	24	100	100	0.039600000000000003	1.0356001478836469e-06	1.0000010356001479	1	2	0	1	1.035600147883647	0	1.0355999999999999
20	1	1	1	0.039600000000000003	1.2280000731888047e-07	1.0000001228000073	1	2	0	1	0.12280000731888042	0	0.12279999999999999
21	25	100	100	0.039600000000000003	1.1544000734198434e-06	1.0000011544000733	1	2	0	1	1.1544000734198443	0	1.1543999999999996
22	10	10	10	0.039600000000000003	4.8120003060432217e-07	1.0000004812000307	1	2	0	1	0.48120003060432204	0	0.48120000000000007
23	3	5	5	0.039600000000000003	2.0200001203920098e-07	1.0000002020000121	1	2	0	1	0.20200001203920073	0	0.20200000000000001
24	15	20	20	0.039600000000000003	6.7920004319712303e-07	1.0000006792000431	1	2	0	1	0.6792000431971229	0	0.67920000000000014
25	26	100	100	0.039600000000000003	1.1940000759384046e-06	1.0000011940000759	1	2	0	1	1.1940000759384046	0	1.1939999999999997
27	11	10	10	0.039600000000000003	5.2080003312288221e-07	1.0000005208000331	1	2	0	1	0.52080003312288226	0	0.52080000000000015
30	12	10	10	0.039600000000000003	5.6040003564144236e-07	1.0000005604000357	1	2	0	1	0.56040003564144225	0	0.56040000000000001
31	13	10	10	0.041599999999999998	6.0000003816000241e-07	1.0000006000000381	1	2	0	1	0.60000003816000247	0	0.60000000000000009
32	16	20	20	0.039600000000000003	7.1880004571568287e-07	1.0000007188000457	1	2	0	1	0.7188000457156829	0	0.71879999999999999
35	28	1000	1000	0.039600000000000003	1.2336000784569645e-06	1.0000012336000785	1	2	0	1	1.233600078456965	0	1.2335999999999998
36	17	20	20	0.039600000000000003	7.584000482342426e-07	1.0000007584000483	1	2	0	1	0.75840004823424312	0	0.75840000000000007
38	18	20	20	0.039600000000000003	7.9800005075280317e-07	1.0000007980000507	1	2	0	1	0.79800005075280334	0	0.79800000000000004

[frame_retry_distribution]
frame_id	retry_count	probability
0	0	0.99999975640002969
0	1	2.4359992516609133e-07
0	2	4.5163423253399556e-14
0	3	7.6613530879074965e-21
0	4	1.2535851945144171e-27
0	5	2.0193157550011792e-34
1	0	0.99999971680004018
1	1	2.8319990178625691e-07
1	2	5.8112616150577467e-14
1	3	1.0604702173369988e-20
1	4	1.833409823395416e-27
1	5	3.08310044351282e-34
2	0	0.99999967720005212
2	1	3.2279987527010417e-07
2	2	7.2629967316507493e-14
2	3	1.4191623559180288e-20
2	4	2.5864316193768385e-27
2	5	4.5356763714211736e-34
5	0	0.99999936040020454
5	1	6.3959955023343862e-07
5	2	2.452224519633523e-13
5	3	7.3507478415364682e-20
5	4	1.9041860600169018e-26
5	5	4.4819127578178156e-33
6	0	0.99999912280038483
6	1	8.7719917473062914e-07
6	2	4.4052939753205277e-13
6	3	1.6675903749392338e-19
6	4	6.6169472834142919e-26
6	5	2.0474521117022169e-32
7	0	0.9999990832004203
7	1	9.167991011697206e-07
7	2	4.7856906247092692e-13
7	3	2.2535408659761127e-19
7	4	8.0127690616644107e-26
7	5	2.4614631807938453e-32
8	0	0.99999963760006572
8	1	3.6239984561763296e-07
8	2	8.8715476564892193e-14
8	3	1.8484216270528775e-20
8	4	3.5433150963257784e-27
8	5	6.4723786062199462e-34
9	0	0.99999983760001321
9	1	1.6239996394720401e-07
9	2	2.2865913560957818e-14
9	3	3.1510309675347108e-21
9	4	4.3567009231459088e-28
9	5	6.0805921947590089e-35
10	0	0.99999959800008087
10	1	4.0199981282884374e-07
10	2	1.0636914370943426e-13
10	3	2.3544579322769267e-20
10	4	4.7371838874234745e-27
10	5	9.0027362672175617e-34
11	0	0.99999916240035092
11	1	8.3759924515522021e-07
11	2	4.040578501647992e-13
11	3	1.4764172394117279e-19
11	4	4.5445703785160403e-26
11	5	1.6046885179845679e-32
13	0	0.99999991680000355
13	1	8.3199988119040938e-08
13	2	8.4198382958245477e-15
13	3	9.5186321727846881e-22
13	4	1.153081661296875e-28
13	5	1.4640419460841994e-35
14	0	0.99999904360045744
14	1	9.5639902447249755e-07
14	2	5.1817691746352973e-13
14	3	2.5082056567346986e-19
14	4	9.1586671820832378e-26
14	5	2.883794409896146e-32
15	0	0.99999955840009747
15	1	4.4159977690373695e-07
15	2	1.2559096856383693e-13
15	3	2.9434811721419242e-20
15	4	6.2036207446784686e-27
15	5	1.2251446335867079e-33
15	6	1.1102230246251565e-16
17	0	0.99999900400049602
17	1	9.9599886575584613e-07
17	2	6.3823603258453308e-13
17	3	2.8625123280570954e-19
17	4	1.0518041449519568e-25
17	5	3.3740378061510894e-32
18	0	0.99999876640076102
18	1	1.2335983997751175e-06
18	2	8.3934029782494626e-13
18	3	4.1714440383508859e-19
18	4	1.6934456639589765e-25
18	5	5.9581522814592042e-32
19	0	0.99999896440053626
19	1	1.0355987796496791e-06
19	2	6.8411651032676754e-13
19	3	3.1575038244403268e-19
19	4	1.1910755332383951e-25
19	5	3.913588871752909e-32
20	0	0.9999998772000076
20	1	1.2279997760128207e-07
20	2	1.4858796404170823e-14
20	3	1.8616998331779088e-21
20	4	2.4111831118964983e-28
20	5	3.2086319279020233e-35
21	0	0.99999884560066632
21	1	1.154398593941655e-06
21	2	7.3973857195043825e-13
21	3	3.4815946055157868e-19
21	4	1.3449077413686686e-25
21	5	4.5214500713222264e-32
22	0	0.99999951880011584
22	1	4.8119973784231163e-07
22	2	1.4638095094180233e-13
22	3	3.6217012462159469e-20
22	4	7.9806675384395969e-27
22	5	1.6359347466105246e-33
23	0	0.99999979800002048
23	1	2.0199994715680719e-07
23	2	3.2441189579888268e-14
23	3	4.8819556876175968e-21
23	4	7.1892215485861493e-28
23	5	1.0520829038299459e-34
24	0	0.99999932080023068
24	1	6.7919949549042759e-07
24	2	2.7385321916467535e-13
24	3	8.5681005457492817e-20
24	4	2.3028654239523102e-26
24	5	5.5968689056940548e-33
25	0	0.99999880600071289
25	1	1.193998498426544e-06
25	2	7.887553578957338e-13
25	3	3.8161600849778695e-19
25	4	1.5116735161127379e-25
25	5	5.2003151292858895e-32
27	0	0.99999947920013565
27	1	5.2079969564456911e-07
27	2	1.6873909065703417e-13
27	3	4.3953280530834631e-20
27	4	1.0108825256909261e-26
27	5	2.1484393794460735e-33
