# compare_bandwidth_utilization: 用于方案对比的带宽利用率。
# static_bandwidth_utilization: 不考虑重传时，静态打包方案本身的带宽利用率。
# signal_count: 按原始 MessageCode 去重后的信号种类数，不是副本总数。
# total_added_signal_copies: 相比原始 1 份信号，方案中新增的信号副本总数。
# foundation / baseline1 中，同一 code 的多个副本视为一个信号组；WCRT 直接取该组对应报文中最大的帧响应时间。baseline2 基于重传分布。
# foundation / baseline1 的 expected_wcrt_ms、wcrt_p95_ms、threshold_wcrt_ms 在当前口径下相同，都等于对应信号组的最大帧响应时间（单位 ms）。

retry_distribution_report	D:\document\CODE\paper1\storage\analysis\202651_132657\retry_probability_reports\E5S80_5ecu_80signals_023.txt

# 每个方案的总体指标。
[scheme_summary]
scheme	compare_bandwidth_utilization	static_bandwidth_utilization	signal_count	total_added_signal_copies	schedulable
foundation	0.31752200000000003	0.31752200000000003	80	20	1
baseline1	0.32000200000000001	0.32000200000000001	80	39	1
baseline2	0.23818247320204136	0.23818239999999996	80	0	1

# 按 ASIL 分组统计的 WCRT/周期结果。字段名沿用 wcrt_ratio_p95 以兼容现有脚本；foundation / baseline1 实际填入的是信号组最大帧响应时间比值。

[asil_wcrt_ratio_p95]
scheme	asil	signal_count	avg_wcrt_ratio_p95	max_wcrt_ratio_p95
foundation	A	60	0.053568613333360229	0.1356000000002382
foundation	B	8	0.050477400000010456	0.091680000000019385
foundation	C	8	0.081399000000042604	0.1940000000002442
foundation	D	4	0.066988000000014258	0.091680000000019385
baseline1	A	60	0.058179586666695898	0.15640000000024656
baseline1	B	8	0.057324650000012009	0.12772000000002776
baseline1	C	8	0.073049000000042538	0.19600000000025375
baseline1	D	4	0.057624000000013213	0.076140000000017943
baseline2	A	60	0.041343959999999999	0.12279999999999999
baseline2	B	8	0.035938350000000001	0.064360000000000014
baseline2	C	8	0.056853500000000001	0.16239999999999999
baseline2	D	4	0.036615000000000002	0.044160000000000005

# 按 ASIL 分组统计的信号故障概率。

[asil_fault_probability]
scheme	asil	signal_count	avg_fault_probability	max_fault_probability
foundation	A	60	4.0099999195486666e-08	4.3599999049520024e-08
foundation	B	8	1.587959936704946e-15	1.6473599331171859e-15
foundation	C	8	1.587959936704946e-15	1.6473599331171859e-15
foundation	D	4	1.6295599341091063e-15	1.813759922733826e-15
baseline1	A	60	2.7293333309282664e-08	4.1599999134720006e-08
baseline1	B	8	1.608759935427826e-15	1.7305599280087053e-15
baseline1	C	8	1.608759935427826e-15	1.7305599280087053e-15
baseline1	D	4	1.6513599327051864e-15	1.9009599171181472e-15
baseline2	A	60	5.551115123125783e-18	1.1102230246251565e-16
baseline2	B	8	1.3877787807814457e-17	1.1102230246251565e-16
baseline2	C	8	0	0
baseline2	D	4	2.7755575615628914e-17	1.1102230246251565e-16

# 按 ASIL 分组统计的新增信号副本数量。

[asil_added_signal_copies]
scheme	asil	signal_count	added_signal_copies
foundation	A	60	0
foundation	B	8	8
foundation	C	8	8
foundation	D	4	4
baseline1	A	60	19
baseline1	B	8	8
baseline1	C	8	8
baseline1	D	4	4
baseline2	A	60	0
baseline2	B	8	0
baseline2	C	8	0
baseline2	D	4	0

# 每个原始信号的明细指标。WCRT 列统一为信号级统计值（单位 ms），不是 WCRT/周期。

[signal_detail]
scheme	code	asil	level	type	period_ms	src_ecu	dst_ecu	signal_instance_count	added_signal_copies	p_fault	p_threshold	expected_wcrt_ms	p_wcrt_over_deadline	wcrt_p95_ms	threshold_wcrt_ms
foundation	3738142432	D	3	0	10	3	2	2	1	1.5681599379008662e-15	2.7777777777777781e-14	0.9168000000001939	1.5543122344752192e-15	0.9168000000001939	0.9168000000001939
foundation	2453580315	D	3	0	20	0	4	2	1	1.5681599379008662e-15	5.5555555555555561e-14	1.4752000000003136	1.5543122344752192e-15	1.4752000000003136	1.4752000000003136
foundation	2690002698	D	3	0	20	0	2	2	1	1.813759922733826e-15	5.5555555555555561e-14	1.5564000000003375	1.7763568394002505e-15	1.5564000000003375	1.5564000000003375
foundation	2372000199	D	3	0	100	3	1	2	1	1.5681599379008662e-15	2.7777777777777779e-13	2.4692000000005123	1.5543122344752192e-15	2.4692000000005123	2.4692000000005123
foundation	3923190636	C	2	0	1	1	0	2	1	1.5681599379008662e-15	2.7777777777777774e-14	0.1940000000002442	1.5543122344752192e-15	0.1940000000002442	0.1940000000002442
foundation	483415419	C	2	0	10	4	1	2	1	1.6473599331171859e-15	2.7777777777777779e-13	0.87720000000018672	1.6653345369377348e-15	0.87720000000018672	0.87720000000018672
foundation	885960563	C	2	0	10	1	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.99600000000020827	1.5543122344752192e-15	0.99600000000020827	0.99600000000020827
foundation	1540501833	C	2	0	10	4	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.79800000000017235	1.5543122344752192e-15	0.79800000000017235	0.79800000000017235
foundation	2326586617	C	2	0	10	4	1	2	1	1.6473599331171859e-15	2.7777777777777779e-13	0.87720000000018672	1.6653345369377348e-15	0.87720000000018672	0.87720000000018672
foundation	2308812174	C	2	0	20	2	0	2	1	1.5681599379008662e-15	5.5555555555555559e-13	1.2732000000002586	1.5543122344752192e-15	1.2732000000002586	1.2732000000002586
foundation	84072372	C	2	0	100	3	0	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.0336000000004333	1.5543122344752192e-15	2.0336000000004333	2.0336000000004333
foundation	523545336	C	2	0	100	0	2	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.8356000000003974	1.5543122344752192e-15	1.8356000000003974	1.8356000000003974
foundation	1487276602	B	1	0	5	1	0	2	1	1.5681599379008662e-15	1.388888888888889e-13	0.35640000000006467	1.5543122344752192e-15	0.35640000000006467	0.35640000000006467
foundation	987553643	B	1	0	10	3	2	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.9168000000001939	1.5543122344752192e-15	0.9168000000001939	0.9168000000001939
foundation	2774164554	B	1	0	10	4	0	2	1	1.6473599331171859e-15	2.7777777777777779e-13	0.67920000000015079	1.6653345369377348e-15	0.67920000000015079	0.67920000000015079
foundation	3167477724	B	1	0	10	3	4	2	1	1.5681599379008662e-15	2.7777777777777779e-13	0.83760000000017953	1.5543122344752192e-15	0.83760000000017953	0.83760000000017953
foundation	2717441960	B	1	0	20	4	1	2	1	1.6473599331171859e-15	5.5555555555555559e-13	0.87720000000018672	1.6653345369377348e-15	0.87720000000018672	0.87720000000018672
foundation	2487640160	B	1	0	100	2	4	2	1	1.5681599379008662e-15	2.7777777777777777e-12	2.3900000000004979	1.5543122344752192e-15	2.3900000000004979	2.3900000000004979
foundation	2801742769	B	1	0	100	2	3	2	1	1.5681599379008662e-15	2.7777777777777777e-12	1.8752000000004045	1.5543122344752192e-15	1.8752000000004045	1.8752000000004045
