# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽默认只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
algorithm2	0.290091	0.290091	12	1

[cluster_summary]
code	route_count	p_function_fault	p_threshold

[route_summary]
code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
1462439579	0	3	0	0	3	100	100	2	1	1.56816e-15	2.77778e-13	1.6652
4155860012	0	3	0	1	4	1000	1000	2	1	1.56816e-15	2.77778e-12	1.8236
249062567	0	2	0	0	1	1	1	2	1	1.56816e-15	2.77778e-14	0.1088
2719530712	0	2	0	2	4	20	20	2	1	1.56816e-15	5.55556e-13	1.0296
2853919926	0	2	0	0	2	1	1	2	1	1.56816e-15	2.77778e-14	0.188
3234835579	0	2	0	0	1	10	10	2	1	1.56816e-15	2.77778e-13	0.4752
4271637780	0	2	0	2	0	5	5	2	1	1.56816e-15	1.38889e-13	0.3168
46529824	0	1	0	2	4	20	20	2	1	1.56816e-15	5.55556e-13	1.0296
59486285	0	1	0	2	3	10	10	2	1	1.56816e-15	2.77778e-13	0.7128
1952021660	0	1	0	1	2	10	10	2	1	1.56816e-15	2.77778e-13	0.8316
2352731911	0	1	0	0	2	100	100	2	1	1.56816e-15	2.77778e-12	1.5068
4045649721	0	1	0	0	1	10	10	2	1	1.56816e-15	2.77778e-13	0.4752
823019	0	0	0	4	3	20	20	1	0	3.96e-08	1	0.396
115494885	0	0	0	2	4	20	20	1	0	3.96e-08	1	0.5148
327448223	0	0	0	1	0	10	10	1	0	3.96e-08	1	0.594
333718847	0	0	0	1	4	100	100	1	0	3.96e-08	1	1.7048
378270622	0	0	0	2	4	10	10	1	0	3.96e-08	1	0.5148
503850647	0	0	0	1	0	10	10	1	0	3.96e-08	1	0.594
597944719	0	0	0	0	1	20	20	1	0	3.96e-08	1	0.4752
632843880	0	0	0	2	0	2	2	1	0	3.96e-08	1	0.198
685956522	0	0	0	4	0	20	20	1	0	3.96e-08	1	0.99
883007304	0	0	0	3	0	20	20	1	0	4.16e-08	1	1.2692
960578645	0	0	0	0	4	20	20	1	0	3.96e-08	1	0.6336
1010456893	0	0	0	0	1	100	100	1	0	3.96e-08	1	1.3484
1104613694	0	0	0	2	3	10	10	1	0	3.96e-08	1	0.7128
1670588295	0	0	0	2	1	2	2	1	0	3.96e-08	1	0.2376
1756405664	0	0	0	2	1	20	20	1	0	3.96e-08	1	0.792
1775452876	0	0	0	1	4	20	20	1	0	3.96e-08	1	1.2276
1900032503	0	0	0	3	4	100	100	1	0	3.96e-08	1	1.4276
1940123095	0	0	0	2	1	10	10	1	0	3.96e-08	1	0.792
1947942967	0	0	0	3	1	10	10	1	0	3.96e-08	1	0.5544
2315497312	0	0	0	4	1	1000	1000	1	0	3.96e-08	1	1.7444
2381033674	0	0	0	4	2	10	10	1	0	3.96e-08	1	0.7524
2584214471	0	0	0	0	2	50	50	1	0	3.96e-08	1	1.3088
2975347992	0	0	0	0	4	100	100	1	0	3.96e-08	1	1.4672
3024909092	0	0	0	3	4	20	20	1	0	3.96e-08	1	0.9504
3190348211	0	0	0	1	2	5	5	1	0	3.96e-08	1	0.3564
3199143736	0	0	0	0	1	100	100	1	0	3.96e-08	1	1.3484
3266855503	0	0	0	2	1	100	100	1	0	3.96e-08	1	1.6256
3373337793	0	0	0	1	0	20	20	1	0	3.96e-08	1	0.594
3377394222	0	0	0	4	3	10	10	1	0	3.96e-08	1	0.396
3380669998	0	0	0	3	0	100	100	1	0	3.96e-08	1	1.388
3501920045	0	0	0	0	4	10	10	1	0	3.96e-08	1	0.6336
3631486991	0	0	0	1	2	20	20	1	0	3.96e-08	1	0.8316
3651196120	0	0	0	1	3	10	10	1	0	3.96e-08	1	0.8712
3772387097	0	0	0	3	1	100	100	1	0	3.96e-08	1	1.586
4045397080	0	0	0	2	0	10	10	1	0	3.96e-08	1	0.2772
4082820888	0	0	0	3	1	20	20	1	0	3.96e-08	1	0.5544
4130223173	0	0	0	0	1	10	10	1	0	3.96e-08	1	0.4356
4201053636	0	0	0	2	0	20	20	1	0	3.96e-08	1	0.9108
