base_bandwidth_utilization	0.23541039999999996
expected_bandwidth_utilization	0.23541049824548704

rounded_expected_bandwidth_utilization	0.47082080000000004

bandwidth_utilization_p99	0.23541040000000002

[frame_summary]
frame_id	priority	period_ms	deadline_ms	trans_time_ms	expected_retry_count	expected_tx_count	rounded_expected_retry_count	rounded_expected_tx_count	retry_p99	tx_count_p99	expected_wcrt_ms	p_timeout	wcrt_p95_ms
0	25	100	100	0.041599999999999998	1.407400115509982e-06	1.0000014074001156	1	2	0	1	1.4074001148438604	1.1102230246251565e-16	1.4074
1	26	100	100	0.039600000000000003	1.4470001180752081e-06	1.0000014470001182	1	2	0	1	1.4470001180752097	0	1.4470000000000001
3	36	1000	1000	0.039600000000000003	1.8770001850725654e-06	1.0000018770001851	1	2	0	1	1.8770001850725664	0	1.8770000000000007
4	27	100	100	0.041599999999999998	1.4886001214697691e-06	1.0000014886001214	1	2	0	1	1.4886001214697702	0	1.4886000000000001
5	6	10	10	0.0516	4.1380003443221675e-07	1.0000004138000345	1	2	0	1	0.41380003376608382	1.1102230246251565e-16	0.41379999999999995
6	7	10	10	0.049600000000000005	4.6340003781344254e-07	1.0000004634000379	1	2	0	1	0.46340003781344313	0	0.46340000000000003
7	8	10	10	0.047600000000000003	5.1100004169760374e-07	1.0000005110000416	1	2	0	1	0.51100004169760338	0	0.51100000000000001
8	28	100	100	0.039600000000000003	1.5282001247011305e-06	1.0000015282001247	1	2	0	1	1.5282001247011303	0	1.5282000000000002
9	9	10	10	0.061600000000000002	5.7260004672416445e-07	1.0000005726000467	1	2	0	1	0.57260004672416387	0	0.5726
11	10	10	10	0.049600000000000005	6.2220005077152401e-07	1.0000006222000508	1	2	0	1	0.62220005077152418	0	0.62219999999999998
12	19	20	20	0.039600000000000003	1.1378000928444883e-06	1.0000011378000928	1	2	0	1	1.1378000928444876	0	1.1377999999999999
13	29	100	100	0.045600000000000002	1.5738001290882236e-06	1.0000015738001291	1	2	0	1	1.5738001284221017	1.1102230246251565e-16	1.5738000000000003
15	20	20	20	0.045600000000000002	1.1834000972315826e-06	1.0000011834000972	1	2	0	1	1.1834000965654499	1.1102230246251565e-16	1.1834
16	37	1000	1000	0.039600000000000003	1.9166001889771409e-06	1.000001916600189	1	2	0	1	1.9166001889771407	0	1.9166000000000005
17	21	20	20	0.049600000000000005	1.233000100612808e-06	1.0000012330001007	1	2	0	1	1.233000100612808	0	1.2329999999999999
18	30	100	100	0.045600000000000002	1.6194001321430507e-06	1.0000016194001322	1	2	0	1	1.6194001321430511	0	1.6194000000000004
19	2	2	2	0.0436	2.1140001471344121e-07	1.0000002114000146	1	2	0	1	0.21140001471344103	0	0.2114
20	31	100	100	0.049600000000000005	1.669000136190412e-06	1.0000016690001361	1	2	0	1	1.6690001361904112	0	1.6690000000000003
22	0	1	1	0.049600000000000005	1.2820000958885445e-07	1.0000001282000095	1	2	0	1	0.12820000892272074	1.1102230246251565e-16	0.12820000000000001
24	1	1	1	0.039600000000000003	1.6780001167888097e-07	1.0000001678000117	1	2	0	1	0.16780001167888084	0	0.1678
25	22	20	20	0.041599999999999998	1.2746001046735007e-06	1.0000012746001046	1	2	0	1	1.2746001040073702	1.1102230246251565e-16	1.2745999999999997
26	32	100	100	0.078600000000000003	1.7146001690595762e-06	1.000001714600169	1	2	0	1	1.7146001690595769	0	1.7146000000000003
28	11	10	10	0.061600000000000002	6.838000564642179e-07	1.0000006838000564	1	2	0	1	0.68380005579808556	1.1102230246251565e-16	0.68379999999999996
29	12	10	10	0.0436	7.2740005935584523e-07	1.0000007274000593	1	2	0	1	0.72740005935584462	0	0.72739999999999982
30	33	100	100	0.039600000000000003	1.75420017296414e-06	1.0000017542001729	1	2	0	1	1.7542001729641377	0	1.7542000000000004
31	13	10	10	0.049600000000000005	7.7700006340320563e-07	1.0000007770000634	1	2	0	1	0.77700006340320493	0	0.7769999999999998
32	34	100	100	0.041599999999999998	1.7958001770658987e-06	1.000001795800177	1	2	0	1	1.795800177065898	0	1.7958000000000005
33	14	10	10	0.049600000000000005	8.2660006745056497e-07	1.0000008266000675	1	2	0	1	0.82660006745056525	0	0.82659999999999978
37	38	1000	1000	0.039600000000000003	1.956200541867112e-06	1.0000019562005418	1	2	0	1	1.9562005418671125	0	1.9562000000000006
38	15	10	10	0.047600000000000003	8.7420007200086035e-07	1.0000008742000721	1	2	0	1	0.87420007133472655	1.1102230246251565e-16	0.87419999999999976
40	16	10	10	0.0436	9.1780007555866374e-07	1.0000009178000755	1	2	0	1	0.91780007489253124	1.1102230246251565e-16	0.91779999999999973
41	17	10	10	0.0516	9.6940016557349261e-07	1.0000009694001655	1	2	0	1	0.96940016557349151	0	0.96939999999999982
42	39	1000	1000	0.041599999999999998	1.9562005418671133e-06	1.0000019562005418	1	2	0	1	1.9562005418671127	0	1.9562000000000008
43	4	5	5	0.061600000000000002	3.1860002599776219e-07	1.0000003186000259	1	2	0	1	0.3186000259977621	0	0.31859999999999999
45	23	50	50	0.045600000000000002	1.3202001077283293e-06	1.0000013202001077	1	2	0	1	1.3202001077283287	0	1.3201999999999998
47	5	5	5	0.0436	3.622000295555228e-07	1.0000003622000295	1	2	0	1	0.36220002955552238	0	0.36219999999999997
48	18	10	10	0.039600000000000003	1.0090001723371689e-06	1.0000010090001723	1	2	0	1	1.0090001723371687	0	1.0089999999999999
49	24	50	50	0.045600000000000002	1.3658001114492881e-06	1.0000013658001115	1	2	0	1	1.365800111449289	0	1.3657999999999999
53	3	2	2	0.045600000000000002	2.5700001788720147e-07	1.0000002570000179	1	2	0	1	0.25700001788720123	0	0.25700000000000001
54	35	100	100	0.045600000000000002	1.8374001819448145e-06	1.000001837400182	1	2	0	1	1.8374001811676692	1.1102230246251565e-16	1.8374000000000006

[frame_retry_distribution]
frame_id	retry_count	probability
0	0	0.99999859260099033
0	1	1.4073979043829591e-06
0	2	1.1052294841252104e-12
0	3	6.4031078138031984e-19
0	4	3.0563462107746284e-25
0	5	1.2738694619430467e-31
0	6	1.1102230246251565e-16
1	0	0.9999985530010469
1	1	1.4469977881174891e-06
1	2	1.1649778241511979e-12
1	3	6.9026298825875496e-19
1	4	3.3626110176578664e-25
1	5	1.4277830650768695e-31
3	0	0.99999812300176161
3	1	1.8769962918024629e-06
3	2	1.9466323150111138e-12
3	3	1.8241805848749054e-18
3	4	1.2451989721181475e-24
3	5	7.1948690598862148e-31
3	6	2.40787118771679e-37
4	0	0.99999851140110796
4	1	1.4885976626021142e-06
4	2	1.2294327092213758e-12
4	3	7.4545871425674437e-19
4	4	3.7084794161974907e-25
4	5	1.6050886451635717e-31
5	0	0.99999958620008556
5	1	4.1379979500353097e-07
5	2	1.1938123111700986e-13
5	3	2.9914545072940874e-20
5	4	6.9923984107560705e-27
5	5	1.5727999591089739e-33
5	6	1.1102230246251565e-16
6	0	0.99999953660010743
6	1	4.6339974744706829e-07
6	2	1.4518312902822297e-13
6	3	3.8736137736390891e-20
6	4	9.512525477113273e-27
6	5	2.2266127260883861e-33
7	0	0.99999948900013058
7	1	5.1099969718149007e-07
7	2	1.7225798386362842e-13
7	3	4.8650028236961528e-20
7	4	1.250282534370736e-26
7	5	3.0373956144341355e-33
8	0	0.99999847180116763
8	1	1.5281975399056204e-06
8	2	1.2923965540386242e-12
8	3	8.0065541673668928e-19
8	4	4.0618035472223603e-25
8	5	1.7897775882733575e-31
9	0	0.99999942740016401
9	1	5.7259962540520314e-07
9	2	2.1065938499676805e-13
9	3	6.3763038609404313e-20
9	4	1.7334798059651199e-26
9	5	4.4120181521920987e-33
11	0	0.99999937780019355
11	1	6.2219956209579397e-07
11	2	2.4433774809705713e-13
11	3	7.7950081717249802e-20
11	4	2.2129301916545995e-26
11	5	5.8402919858664382e-33
12	0	0.99999886220064726
12	1	1.1377986125675265e-06
12	2	7.401379370799183e-13
12	3	3.6249930952944209e-19
12	4	1.4881793000122268e-25
12	5	5.413738874356697e-32
13	0	0.99999842620123836
13	1	1.5737973947336357e-06
13	2	1.366842925791778e-12
13	3	8.6750477566238057e-19
13	4	4.4992012046259879e-25
13	5	2.023050975319881e-31
13	6	1.1102230246251565e-16
15	0	0.99999881660070011
15	1	1.1833985029999476e-06
15	2	7.9678214705243942e-13
15	3	4.0230715059385209e-19
15	4	1.6969847152316384e-25
15	5	6.3250960464294043e-32
15	6	1.1102230246251565e-16
16	0	0.99999808340183671
16	1	1.9165961376715725e-06
16	2	2.0256498967999923e-12
16	3	1.9249068999324169e-18
16	4	1.3324418275409422e-24
16	5	7.8019539607167953e-31
16	6	2.9198882782937009e-37
17	0	0.99999876700076018
17	1	1.2329983790992653e-06
17	2	8.6075609821149661e-13
17	3	4.4878931539865899e-19
17	4	1.9481560758980722e-25
17	5	7.4510165124000261e-32
18	0	0.99999838060131119
18	1	1.6193972454029429e-06
18	2	1.4433686470487609e-12
18	3	9.379659700782104e-19
18	4	4.970918529362944e-25
18	5	2.2799738918673659e-31
19	0	0.99999978860002237
19	1	2.1139994059660852e-07
19	2	3.7058407007320312e-14
19	3	6.2210779952358279e-21
19	4	1.0350226907386309e-27
19	5	1.7250964762508272e-34
20	0	0.99999833100139279
20	1	1.6689970782511582e-06
20	2	1.5289680986220896e-12
20	3	1.0188197509075626e-18
20	4	5.5250235311013007e-25
20	5	2.5883337373084238e-31
22	0	0.99999987180000816
22	1	1.2819997464204251e-07
22	2	1.7140335416673692e-14
22	3	2.4265901489056457e-21
22	4	3.5906967597670636e-28
22	5	5.4936903989598067e-35
22	6	1.1102230246251565e-16
24	0	0.9999998322000142
24	1	1.6779996016428487e-07
24	2	2.5757292092510116e-14
24	3	3.9664426009041032e-21
24	4	6.2111099726347809e-28
24	5	9.8977363830677158e-35
25	0	0.99999872540081225
25	1	1.2745982713886505e-06
25	2	9.1630862253051607e-13
25	3	4.9041782626792156e-19
25	4	2.1793951138500402e-25
25	5	8.5136454667389701e-32
25	6	1.1102230246251565e-16
26	0	0.99999828540146984
26	1	1.714596891090098e-06
26	2	1.6389830065892936e-12
26	3	1.1549831465422149e-18
26	4	6.7016281008130891e-25
26	5	4.5891827475383201e-31
26	6	5.9842632676438549e-38
28	0	0.99999931620023375
28	1	6.8379947661967991e-07
28	2	2.8958905471796663e-13
28	3	9.8273132918193022e-20
28	4	2.937240504923265e-26
28	5	8.0969191553529432e-33
28	6	1.1102230246251565e-16
29	0	0.99999927260026455
29	1	7.2739941153363838e-07
29	2	3.2391093152479669e-13
29	3	1.1458634256843683e-19
29	4	3.5467954390533724e-26
29	5	1.3237399137316983e-32
30	0	0.99999824580153873
30	1	1.7541967498212537e-06
30	2	1.7115696000398296e-12
30	3	1.2286681786994503e-18
30	4	9.4418697277781238e-25
30	5	5.432930364798328e-31
30	6	7.2965076509967402e-38
31	0	0.99999922300030186
31	1	7.7699933286808685e-07
31	2	3.6526735657547074e-13
31	3	1.3520760542479864e-19
31	4	4.3491881695518038e-26
31	5	1.6647177611600396e-32
32	0	0.99999820420161245
32	1	1.7957965980397036e-06
32	2	1.7895111335007604e-12
32	3	1.3093718423305463e-18
32	4	1.0197267118476263e-24
32	5	5.9479834691182775e-31
32	6	1.9103488679376811e-37
33	0	0.99999917340034161
33	1	8.2659924928222035e-07
33	2	4.0908393508852089e-13
33	3	1.5814189208308038e-19
33	4	6.6898672116801434e-26
33	5	2.2492933145510171e-32
37	0	0.99999804380191337
37	1	1.9561956314190381e-06
37	2	2.4552208949092468e-12
37	3	2.094767161165045e-18
37	4	1.4372381190242613e-24
37	5	8.4764971866390698e-31
37	6	3.2317817769009961e-37
38	0	0.99999912580038208
38	1	8.7419916444004004e-07
