# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.2478218750002812
A	2	2	0.294147826087279
A	5	5	0.5801869565219049
A	10	10	1.9505000000001982
A	20	20	2.435396061269378
A	50	50	4.357128888889276
A	100	100	5.412612751678413
A	1000	1000	7.115848717948715
B	1	1	0.3101000000002543
B	2	2	0.4244000000003041
B	5	5	0.6055600000001619
B	10	10	2.2257565217393505
B	20	20	2.8785967741938037
B	50	50	5.201533333333657
B	100	100	5.543166666667306
B	1000	1000	6.604636363636362
C	1	1	0.31160000000027327
C	2	2	0.3915428571433007
C	5	5	0.6556000000002655
C	10	10	2.1507411764708015
C	20	20	3.086228571428859
C	50	50	4.524100000000523
C	100	100	5.731978723404854
C	1000	1000	7.683299999999996
D	1	1	0.3327000000003295
D	2	2	0.2938000000001466
D	5	5	0.7016000000001412
D	10	10	2.2270058823531627
D	20	20	3.2712967741938206
D	50	50	3.838250000000528
D	100	100	5.529621052632185
D	1000	1000	7.274119999999998
