# Grouped by ASIL, T(period_ms), D(deadline_ms); WCRT is average threshold_wcrt_ms.
# Only schedulable dataset+scheme samples are included.

ASIL	T	D	WCRT
A	1	1	0.11125384615420313
A	2	2	0.16886923076957425
A	5	5	0.26790588235299806
A	10	10	0.9484219780221245
A	20	20	1.8805093922654745
A	50	50	2.801400000000399
A	100	100	3.2375576271190734
A	1000	1000	3.7887187499999984
B	1	1	0.1850000000005707
B	2	2	0.25000000000017053
B	5	5	0.2696000000000254
B	10	10	1.5815130434785027
B	20	20	2.2676480000003267
B	50	50	2.801600000000235
B	100	100	3.5922500000005377
B	1000	1000	3.9875
C	1	1	0.17680000000012797
C	2	2	0.280800000000454
C	5	5	0.36660000000011905
C	10	10	1.3543866666668825
C	20	20	2.2083793103451628
C	100	100	3.428257142857624
C	1000	1000	3.867866666666666
D	1	1	0.1530000000001337
D	2	2	0.2294000000002825
D	10	10	1.0887200000001485
D	20	20	1.9095333333336006
D	100	100	3.3157500000004774
D	1000	1000	3.8699999999999997
