[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	on_demand_tmr	0.51649	0.55213	62	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	always_on_tmr	0.51685	0.51685	62	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	on_demand_tmr	0.507307	0.542947	62	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	always_on_tmr	0.512447	0.512447	62	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	on_demand_tmr	0.493444	0.517204	64	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	always_on_tmr	0.49108	0.49108	64	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	on_demand_tmr	0.544476	0.551604	62	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	always_on_tmr	0.553176	0.553176	62	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	on_demand_tmr	0.550148	0.585788	62	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	always_on_tmr	0.559808	0.559808	62	1

[cluster_summary]
dataset	config	scheme	code	route_count	p_function_fault	p_threshold
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	on_demand_tmr	627310569	3	6.88338e-15	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	on_demand_tmr	904285308	3	4.77396e-15	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	always_on_tmr	627310569	3	6.88338e-15	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	always_on_tmr	904285308	3	4.88498e-15	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	on_demand_tmr	471166645	3	4.77396e-15	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	on_demand_tmr	3722887555	3	4.88498e-15	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	always_on_tmr	471166645	3	4.88498e-15	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	always_on_tmr	3722887555	3	4.996e-15	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	on_demand_tmr	1243351510	3	5.21805e-15	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	on_demand_tmr	2095122735	3	0	2.77778e-13
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	always_on_tmr	1243351510	3	6.10623e-15	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	always_on_tmr	2095122735	3	0	2.77778e-13
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	on_demand_tmr	76197952	3	4.88498e-15	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	on_demand_tmr	1301299137	3	4.88498e-15	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	always_on_tmr	76197952	3	4.77396e-15	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	always_on_tmr	1301299137	3	4.88498e-15	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	on_demand_tmr	865190503	3	4.88498e-15	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	on_demand_tmr	1585890661	3	4.77396e-15	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	always_on_tmr	865190503	3	4.88498e-15	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	always_on_tmr	1585890661	3	4.77396e-15	1

[cluster_wcrt_summary]
dataset	config	scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	on_demand_tmr	627310569	10	10	2.5548	2.6736	0	2.836	0.9128	1	1	3.5548	8.4224	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	on_demand_tmr	904285308	5	5	0.6336	0.6336	0	0.7128	0.594	1	1	1.6336	3.9404	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	always_on_tmr	627310569	10	10	0	0	2.6004	0	0	1	0	3.6004	3.6004	1
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	always_on_tmr	904285308	5	5	0	0	0.596	0	0	1	0	1.596	1.596	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	on_demand_tmr	471166645	5	5	0.6496	0.6496	0	0.7288	0.3724	1	1	1.6496	3.7508	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	on_demand_tmr	3722887555	10	10	1.6916	1.8104	0	2.7452	2.666	1	1	2.6916	9.2216	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	always_on_tmr	471166645	5	5	0	0	0.6932	0	0	1	0	1.6932	1.6932	1
E5S250_5ecu_250signals_002	E5S250_5ecu_250signals	always_on_tmr	3722887555	10	10	0	0	0.9428	0	0	1	0	1.9428	1.9428	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	on_demand_tmr	1243351510	10	10	2.4636	2.4636	0	2.5032	0.598	1	1	3.4636	7.5648	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	on_demand_tmr	2095122735	10	10	2.4636	2.4636	0	2.622	1.62	1	1	3.4636	8.7056	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	always_on_tmr	1243351510	10	10	0	0	1.3904	0	0	1	0	2.3904	2.3904	1
E5S250_5ecu_250signals_003	E5S250_5ecu_250signals	always_on_tmr	2095122735	10	10	0	0	1.3904	0	0	1	0	2.3904	2.3904	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	on_demand_tmr	76197952	100	100	4.4736	4.5924	0	4.8716	3.4836	1	1	5.4736	14.9476	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	on_demand_tmr	1301299137	20	20	2.7272	2.7272	0	2.9272	2.446	1	1	3.7272	10.1004	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	always_on_tmr	76197952	100	100	0	0	4.7824	0	0	1	0	5.7824	5.7824	1
E5S250_5ecu_250signals_004	E5S250_5ecu_250signals	always_on_tmr	1301299137	20	20	0	0	2.9964	0	0	1	0	3.9964	3.9964	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	on_demand_tmr	865190503	10	10	0.806	0.9248	0	2.6044	2.5648	1	1	1.806	8.094	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	on_demand_tmr	1585890661	5	5	0.5228	0.5228	0	0.6832	0.4832	1	1	1.5228	3.6892	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	always_on_tmr	865190503	10	10	0	0	2.4856	0	0	1	0	3.4856	3.4856	1
E5S250_5ecu_250signals_005	E5S250_5ecu_250signals	always_on_tmr	1585890661	5	5	0	0	0.5624	0	0	1	0	1.5624	1.5624	1

[route_summary]
dataset	config	scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	on_demand_tmr	451908486	0	3	0	2	1	2	2	2	1	1.56816e-15	5.55556e-15	0.3132
E5S250_5ecu_250signals_001	E5S250_5ecu_250signals	on_demand_tmr	574077934	0	3	0	2	4	10	10	2	1	2.43936e-15	2.77778e-14	2.6736
