# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.586692	0.601966	59	1
always_on_tmr	0.588376	0.588376	59	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	106914515	3	0	5.55556e-14
on_demand_tmr	116802572	3	0	2.77778e-12
on_demand_tmr	386919265	3	0	5.55556e-14
on_demand_tmr	1128801466	3	0	2.77778e-13
always_on_tmr	106914515	3	0	5.55556e-14
always_on_tmr	116802572	3	0	2.77778e-12
always_on_tmr	386919265	3	0	5.55556e-14
always_on_tmr	1128801466	3	0	2.77778e-13

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	106914515	20	20	2.4854	2.6438	0	0.3708	3.041	1	1	3.4854	8.0556	1
on_demand_tmr	116802572	1000	1000	7.3304	7.766	0	0.4896	8.008	1	1	8.3304	18.2636	1
on_demand_tmr	386919265	20	20	3.5614	3.7594	0	0.4104	3.8486	1	1	4.5614	10.0184	1
on_demand_tmr	1128801466	100	100	6.6456	7.002	0	0.45	7.26	1	1	7.6456	16.712	1
always_on_tmr	106914515	20	20	0	0	3.0258	0	0	1	0	4.0258	4.0258	1
always_on_tmr	116802572	1000	1000	0	0	7.4812	0	0	1	0	8.4812	8.4812	1
always_on_tmr	386919265	20	20	0	0	3.617	0	0	1	0	4.617	4.617	1
always_on_tmr	1128801466	100	100	0	0	6.5028	0	0	1	0	7.5028	7.5028	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	106914515	0	3	1	2	4	20	20	2	1	4.88376e-15	5.55556e-14	1.5528
on_demand_tmr	106914515	1	3	2	1	4	20	20	2	1	2.76576e-15	5.55556e-14	2.6438
