# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.464397	0.547822	0	0
always_on_tmr	0.714716	0.714716	72	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	106914515	3	1.69864e-14	5.55556e-14
on_demand_tmr	116802572	3	1.13243e-14	2.77778e-12
on_demand_tmr	386919265	3	9.88098e-15	5.55556e-14
on_demand_tmr	1128801466	3	8.21565e-15	2.77778e-13
on_demand_tmr	1368232430	3	1.23235e-14	5.55556e-14
on_demand_tmr	1392608658	3	4.57412e-14	1.38889e-14
on_demand_tmr	2163156567	3	7.43849e-15	2.77778e-13
on_demand_tmr	2694318503	3	7.54952e-15	2.77778e-13
on_demand_tmr	4126238722	3	1.09912e-14	2.77778e-14
on_demand_tmr	4196065316	3	8.32667e-14	1.38889e-13
always_on_tmr	106914515	3	0	5.55556e-14
always_on_tmr	116802572	3	0	2.77778e-12
always_on_tmr	386919265	3	0	5.55556e-14
always_on_tmr	1128801466	3	0	2.77778e-13
always_on_tmr	1368232430	3	0	5.55556e-14
always_on_tmr	1392608658	3	0	1.38889e-14
always_on_tmr	2163156567	3	0	2.77778e-13
always_on_tmr	2694318503	3	0	2.77778e-13
always_on_tmr	4126238722	3	0	2.77778e-14
always_on_tmr	4196065316	3	0	1.38889e-13

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	106914515	20	20	2.0082	2.8736	0	0.4064	3.0018	1	1	3.0082	8.2818	1
on_demand_tmr	116802572	1000	1000	4.4812	6.927	0	0.6836	7.0242	1	1	5.4812	16.6348	1
on_demand_tmr	386919265	20	20	1.4754	2.0532	0	0.446	2.6022	1	1	2.4754	7.1014	1
on_demand_tmr	1128801466	100	100	3.4636	4.8916	0	0.5648	4.84	1	1	4.4636	12.2964	1
on_demand_tmr	1368232430	20	20	2.424	3.0018	0	0.4856	1.5294	1	1	3.424	7.0168	1
on_demand_tmr	1392608658	5	5	0.636	1.3034	0	0.3272	0.8654	1	1	1.636	4.496	1
on_demand_tmr	2163156567	100	100	3.9336	6.4294	0	0.6044	6.0466	1	1	4.9336	15.0804	1
on_demand_tmr	2694318503	100	100	3.9812	6.477	0	0.644	4.84	1	1	4.9812	13.961	1
on_demand_tmr	4126238722	10	10	1.9466	2.812	0	0.3668	2.6022	1	1	2.9466	7.781	1
on_demand_tmr	4196065316	50	50	3.0468	4.5644	0	0.5252	4.1102	1	1	4.0468	11.1998	1
always_on_tmr	106914515	20	20	0	0	3.8248	0	0	1	0	4.8248	4.8248	1
always_on_tmr	116802572	1000	1000	0	0	9.938	0	0	1	0	10.938	10.938	1
always_on_tmr	386919265	20	20	0	0	4.4476	0	0	1	0	5.4476	5.4476	1
always_on_tmr	1128801466	100	100	0	0	8.9476	0	0	1	0	9.9476	9.9476	1
always_on_tmr	1368232430	20	20	0	0	3.8248	0	0	1	0	4.8248	4.8248	1
always_on_tmr	1392608658	5	5	0	0	1.7384	0	0	1	0	2.7384	2.7384	1
always_on_tmr	2163156567	100	100	0	0	9.3008	0	0	1	0	10.3008	10.3008	1
always_on_tmr	2694318503	100	100	0	0	9.0408	0	0	1	0	10.0408	10.0408	1
always_on_tmr	4126238722	10	10	0	0	3.394	0	0	1	0	4.394	4.394	1
always_on_tmr	4196065316	50	50	0	0	7.5716	0	0	1	0	8.5716	8.5716	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	106914515	0	3	1	2	4	20	20	1	0	8.66e-08	5.55556e-14	1.6696
on_demand_tmr	106914515	1	3	2	1	4	20	20	1	0	6.16e-08	5.55556e-14	2.8736
on_demand_tmr	106914515	2	3	2	0	4	20	20	1	0	7.86e-08	5.55556e-14	3.0018
on_demand_tmr	116802572	0	3	1	1	0	1000	1000	1	0	6.16e-08	2.77778e-12	6.927
on_demand_tmr	116802572	1	3	2	3	0	1000	1000	1	0	6.96e-08	2.77778e-12	6.8654
