# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.45534	0.4989	54	1
always_on_tmr	0.45944	0.45944	54	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	277252712	3	0	2.77778e-14
on_demand_tmr	744714447	3	0	1.38889e-14
always_on_tmr	277252712	3	0	2.77778e-14
always_on_tmr	744714447	3	0	1.38889e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	277252712	10	10	1.5288	1.7268	0	0.3188	1.9688	1	1	2.5288	6.0144	1
on_demand_tmr	744714447	5	5	0.5584	0.6772	0	0.2792	0.598	1	1	1.5584	3.5544	1
always_on_tmr	277252712	10	10	0	0	1.8976	0	0	1	0	2.8976	2.8976	1
always_on_tmr	744714447	5	5	0	0	0.598	0	0	1	0	1.598	1.598	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	277252712	0	3	1	0	3	10	10	2	1	1.56816e-15	2.77778e-14	1.7268
on_demand_tmr	277252712	1	3	2	2	3	10	10	2	1	1.56816e-15	2.77778e-14	1.402
on_demand_tmr	277252712	2	3	2	1	3	10	10	2	1	1.64736e-15	2.77778e-14	1.9688
on_demand_tmr	744714447	0	3	1	1	2	5	5	2	1	1.56816e-15	1.38889e-14	0.6772
on_demand_tmr	744714447	1	3	2	0	2	5	5	2	1	1.64736e-15	1.38889e-14	0.5188
on_demand_tmr	744714447	2	3	2	3	2	5	5	2	1	1.56816e-15	1.38889e-14	0.598
on_demand_tmr	1322315680	0	3	0	0	1	2	2	2	1	1.64736e-15	5.55556e-15	0.2144
on_demand_tmr	1333791298	0	3	0	2	0	10	10	2	1	1.56816e-15	2.77778e-14	2.0084
on_demand_tmr	1435716328	0	3	0	1	2	20	20	2	1	1.64736e-15	5.55556e-14	2.4164
on_demand_tmr	1911021521	0	3	0	2	3	20	20	2	1	1.56816e-15	5.55556e-14	1.402
on_demand_tmr	2627177393	0	3	0	3	4	50	50	2	1	1.56816e-15	1.38889e-13	3.4124
on_demand_tmr	3382051824	0	3	0	2	0	10	10	2	1	1.56816e-15	2.77778e-14	2.0084
on_demand_tmr	3724081502	0	3	0	0	3	100	100	2	1	1.56816e-15	2.77778e-13	4.0124
on_demand_tmr	3985784184	0	3	0	3	0	20	20	2	1	1.56816e-15	5.55556e-14	2.8124
on_demand_tmr	13139968	0	2	0	0	4	20	20	2	1	1.56816e-15	5.55556e-13	2.7728
on_demand_tmr	275621930	0	2	0	0	2	1	1	2	1	1.56816e-15	2.77778e-14	0.254
on_demand_tmr	694760460	0	2	0	1	3	10	10	2	1	1.64736e-15	2.77778e-13	1.9688
on_demand_tmr	738647896	0	2	0	0	1	5	5	2	1	1.56816e-15	1.38889e-13	0.4772
on_demand_tmr	753857740	0	2	0	3	0	100	100	2	1	1.56816e-15	2.77778e-12	4.3312
on_demand_tmr	914050116	0	2	0	2	1	20	20	2	1	1.64736e-15	5.55556e-13	0.8376
on_demand_tmr	987337747	0	2	0	4	1	20	20	2	1	3.79456e-15	5.55556e-13	1.9292
on_demand_tmr	1367716746	0	2	0	4	1	10	10	2	1	3.79456e-15	2.77778e-13	1.9292
on_demand_tmr	1480528144	0	2	0	4	2	10	10	2	1	1.88496e-15	2.77778e-13	2.3352
on_demand_tmr	1753298897	0	2	0	2	0	20	20	2	1	1.56816e-15	5.55556e-13	2.0084
on_demand_tmr	2006143289	0	2	0	1	0	10	10	2	1	1.64736e-15	2.77778e-13	1.5228
on_demand_tmr	2463783580	0	2	0	0	3	100	100	2	1	1.56816e-15	2.77778e-12	4.0124
on_demand_tmr	2786057192	0	2	0	3	2	100	100	2	1	1.73056e-15	2.77778e-12	3.854
on_demand_tmr	3038080562	0	2	0	3	1	20	20	2	1	1.80576e-15	5.55556e-13	1.608
on_demand_tmr	3056198733	0	2	0	2	1	10	10	2	1	1.64736e-15	2.77778e-13	0.8376
on_demand_tmr	3390062431	0	2	0	4	0	20	20	2	1	1.64736e-15	5.55556e-13	1.7664
on_demand_tmr	3422211703	0	2	0	0	4	20	20	2	1	1.56816e-15	5.55556e-13	2.7728
on_demand_tmr	3781019020	0	2	0	1	3	10	10	2	1	1.64736e-15	2.77778e-13	1.9688
on_demand_tmr	3832488399	0	2	0	1	0	10	10	2	1	1.64736e-15	2.77778e-13	1.5228
on_demand_tmr	4103298275	0	2	0	0	1	1	1	2	1	1.64736e-15	2.77778e-14	0.2144
on_demand_tmr	23598499	0	1	0	4	0	100	100	2	1	1.56816e-15	2.77778e-12	3.65
on_demand_tmr	92433578	0	1	0	0	1	20	20	2	1	1.56816e-15	5.55556e-13	2.654
on_demand_tmr	177158828	0	1	0	2	4	10	10	2	1	1.64736e-15	2.77778e-13	2.456
on_demand_tmr	266187164	0	1	0	0	2	5	5	2	1	1.64736e-15	1.38889e-13	0.5188
on_demand_tmr	482642426	0	1	0	3	1	20	20	2	1	1.80576e-15	5.55556e-13	1.608
on_demand_tmr	1385083130	0	1	0	1	2	1000	1000	2	1	1.56816e-15	2.77778e-11	4.648
on_demand_tmr	1571383154	0	1	0	1	4	10	10	2	1	1.64736e-15	2.77778e-13	1.6476
on_demand_tmr	1654333148	0	1	0	1	4	10	10	2	1	1.64736e-15	2.77778e-13	1.6476
on_demand_tmr	1791917318	0	1	0	4	3	20	20	2	1	1.56816e-15	5.55556e-13	2.7332
on_demand_tmr	2370684918	0	1	0	2	1	20	20	2	1	1.64736e-15	5.55556e-13	1.4832
on_demand_tmr	2386059830	0	1	0	4	0	10	10	2	1	1.64736e-15	2.77778e-13	1.7664
on_demand_tmr	2403780763	0	1	0	2	0	100	100	2	1	1.56816e-15	2.77778e-12	3.9728
on_demand_tmr	2543153487	0	1	0	4	0	20	20	2	1	1.64736e-15	5.55556e-13	1.7664
on_demand_tmr	2857929324	0	1	0	4	0	10	10	2	1	1.64736e-15	2.77778e-13	1.7664
on_demand_tmr	3068458916	0	1	0	1	3	10	10	2	1	1.64736e-15	2.77778e-13	1.9688
on_demand_tmr	3310074664	0	1	0	3	1	10	10	2	1	1.80576e-15	2.77778e-13	1.608
on_demand_tmr	3456326528	0	1	0	1	3	100	100	2	1	1.56816e-15	2.77778e-12	4.3708
on_demand_tmr	3585482125	0	1	0	4	1	50	50	2	1	1.56816e-15	1.38889e-12	3.3332
on_demand_tmr	3686065316	0	1	0	2	1	20	20	2	1	1.64736e-15	5.55556e-13	1.4832
on_demand_tmr	4056813438	0	1	0	2	4	10	10	2	1	1.64736e-15	2.77778e-13	2.456
on_demand_tmr	4464034	0	0	0	4	0	20	20	1	0	4.16e-08	1	1.2812
on_demand_tmr	11787982	0	0	0	2	3	20	20	1	0	3.96e-08	1	1.402
on_demand_tmr	36242186	0	0	0	3	2	10	10	1	0	3.96e-08	1	0.5584
on_demand_tmr	70601851	0	0	0	1	2	10	10	1	0	4.16e-08	1	1.4436
on_demand_tmr	112726523	0	0	0	0	4	20	20	1	0	3.96e-08	1	2.7728
on_demand_tmr	155438919	0	0	0	0	1	2	2	1	0	3.96e-08	1	0.2144
on_demand_tmr	159695380	0	0	0	1	4	20	20	1	0	4.16e-08	1	0.9584
on_demand_tmr	194647156	0	0	0	1	2	10	10	1	0	3.96e-08	1	0.6772
on_demand_tmr	202691505	0	0	0	2	0	1000	1000	1	0	3.96e-08	1	4.5688
on_demand_tmr	205845782	0	0	0	3	1	20	20	1	0	4.56e-08	1	1.5684
on_demand_tmr	264441054	0	0	0	2	1	1	1	1	0	3.96e-08	1	0.054
on_demand_tmr	276859466	0	0	0	2	3	20	20	1	0	3.96e-08	1	1.402
on_demand_tmr	290021122	0	0	0	2	3	100	100	1	0	3.96e-08	1	3.8936
on_demand_tmr	307808097	0	0	0	1	0	100	100	1	0	3.96e-08	1	2.9748
on_demand_tmr	316925841	0	0	0	0	3	50	50	1	0	3.96e-08	1	3.3728
on_demand_tmr	320302205	0	0	0	4	1	100	100	1	0	3.96e-08	1	3.3332
on_demand_tmr	419916083	0	0	0	4	2	10	10	1	0	3.96e-08	1	1.806
on_demand_tmr	421980872	0	0	0	1	2	20	20	1	0	3.96e-08	1	2.4164
on_demand_tmr	426906514	0	0	0	1	0	50	50	1	0	3.96e-08	1	2.9748
on_demand_tmr	468801137	0	0	0	0	3	10	10	1	0	3.96e-08	1	0.8772
on_demand_tmr	494225516	0	0	0	3	1	10	10	1	0	4.56e-08	1	1.5684
on_demand_tmr	594533547	0	0	0	1	3	100	100	1	0	3.96e-08	1	4.3708
on_demand_tmr	614291284	0	0	0	1	3	100	100	1	0	3.96e-08	1	4.3708
on_demand_tmr	629813063	0	0	0	3	1	100	100	1	0	3.96e-08	1	3.6896
on_demand_tmr	643914889	0	0	0	0	4	20	20	1	0	3.96e-08	1	2.6144
on_demand_tmr	654916163	0	0	0	0	1	2	2	1	0	4.16e-08	1	0.0956
on_demand_tmr	684165682	0	0	0	0	1	2	2	1	0	4.16e-08	1	0.0956
on_demand_tmr	698058998	0	0	0	2	4	10	10	1	0	4.16e-08	1	2.3768
on_demand_tmr	718262180	0	0	0	1	4	20	20	1	0	4.16e-08	1	0.9584
on_demand_tmr	751909912	0	0	0	1	3	20	20	1	0	4.16e-08	1	1.3228
on_demand_tmr	763132093	0	0	0	0	4	100	100	1	0	4.16e-08	1	2.8956
on_demand_tmr	795055077	0	0	0	2	1	20	20	1	0	3.96e-08	1	1.4832
on_demand_tmr	848942623	0	0	0	0	2	10	10	1	0	4.16e-08	1	0.5188
on_demand_tmr	860141315	0	0	0	0	2	100	100	1	0	4.16e-08	1	3.7708
on_demand_tmr	889148294	0	0	0	1	3	100	100	1	0	3.96e-08	1	3.9332
on_demand_tmr	922731661	0	0	0	3	2	20	20	1	0	4.16e-08	1	2.854
on_demand_tmr	954955923	0	0	0	1	2	10	10	1	0	3.96e-08	1	0.6376
on_demand_tmr	965138914	0	0	0	3	0	50	50	1	0	3.96e-08	1	3.0144
on_demand_tmr	992619680	0	0	0	2	4	20	20	1	0	4.16e-08	1	2.3768
on_demand_tmr	1006837944	0	0	0	4	2	10	10	1	0	3.96e-08	1	1.806
on_demand_tmr	1016171615	0	0	0	1	4	1000	1000	1	0	3.96e-08	1	4.7272
on_demand_tmr	1051749337	0	0	0	1	2	20	20	1	0	4.16e-08	1	1.4436
on_demand_tmr	1062455184	0	0	0	3	2	20	20	1	0	4.16e-08	1	2.854
on_demand_tmr	1063044027	0	0	0	2	1	10	10	1	0	4.16e-08	1	0.798
on_demand_tmr	1122191297	0	0	0	4	3	100	100	1	0	3.96e-08	1	4.2916
on_demand_tmr	1146456250	0	0	0	1	0	2	2	1	0	3.96e-08	1	0.1748
on_demand_tmr	1205973549	0	0	0	1	2	10	10	1	0	3.96e-08	1	0.6376
on_demand_tmr	1241480696	0	0	0	1	4	20	20	1	0	4.16e-08	1	0.9584
on_demand_tmr	1269008070	0	0	0	0	3	20	20	1	0	3.96e-08	1	1.7268
on_demand_tmr	1271540197	0	0	0	2	3	1000	1000	1	0	3.96e-08	1	4.6084
on_demand_tmr	1280220746	0	0	0	2	3	100	100	1	0	3.96e-08	1	3.8936
on_demand_tmr	1283977298	0	0	0	3	4	20	20	1	0	3.96e-08	1	2.2876
on_demand_tmr	1307234690	0	0	0	3	1	10	10	1	0	4.56e-08	1	1.5684
on_demand_tmr	1390063718	0	0	0	2	1	1000	1000	1	0	3.96e-08	1	4.6876
on_demand_tmr	1447683889	0	0	0	3	4	20	20	1	0	3.96e-08	1	2.2876
on_demand_tmr	1448548391	0	0	0	3	4	100	100	1	0	3.96e-08	1	3.4124
on_demand_tmr	1464174046	0	0	0	3	0	100	100	1	0	3.96e-08	1	4.3312
on_demand_tmr	1516164831	0	0	0	3	4	10	10	1	0	3.96e-08	1	2.2876
on_demand_tmr	1604351597	0	0	0	0	1	10	10	1	0	3.96e-08	1	0.4772
on_demand_tmr	1637837568	0	0	0	4	3	100	100	1	0	3.96e-08	1	4.2916
on_demand_tmr	1650699307	0	0	0	4	3	20	20	1	0	3.96e-08	1	2.6936
