[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	0.583159	0.583159	51	1
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	always_on_tmr	0.587063	0.587063	51	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	on_demand_tmr	0.464644	0.464644	50	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	always_on_tmr	0.454904	0.454904	50	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	on_demand_tmr	0.535952	0.535952	50	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	always_on_tmr	0.537554	0.537554	50	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	on_demand_tmr	0.436176	0.436176	50	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	always_on_tmr	0.421436	0.421436	50	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	on_demand_tmr	0.433852	0.433852	50	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	always_on_tmr	0.438012	0.438012	50	1

[cluster_summary]
dataset	config	scheme	code	route_count	p_function_fault	p_threshold

[cluster_wcrt_summary]
dataset	config	scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline

[route_summary]
dataset	config	scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	106914515	0	3	0	2	4	20	20	2	1	5.33456e-15	5.55556e-14	2.7508
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	116802572	0	3	0	1	0	1000	1000	2	1	3.79456e-15	2.77778e-12	6.9502
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	386919265	0	3	0	3	2	20	20	2	1	3.59136e-15	5.55556e-14	1.458
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	1128801466	0	3	0	1	0	100	100	2	1	2.26176e-15	2.77778e-13	4.4944
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	1368232430	0	3	0	0	4	20	20	2	1	2.93216e-15	5.55556e-14	2.9612
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	1392608658	0	3	0	2	1	5	5	3	2	1.4169e-21	1.38889e-14	0.7998
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	2163156567	0	3	0	1	3	100	100	2	1	2.07936e-15	2.77778e-13	6.5118
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	2694318503	0	3	0	2	0	100	100	2	1	1.98816e-15	2.77778e-13	6.387
