[scheme_summary]
dataset	config	scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	0.585669	0.597549	53	1
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	always_on_tmr	0.589499	0.589499	53	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	on_demand_tmr	0.4553	0.46718	50	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	always_on_tmr	0.45896	0.45896	50	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	on_demand_tmr	0.533476	0.545356	52	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	always_on_tmr	0.541096	0.541096	52	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	on_demand_tmr	0.417228	0.429108	50	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	always_on_tmr	0.442312	0.442312	50	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	on_demand_tmr	0.440488	0.452368	50	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	always_on_tmr	0.444852	0.444852	50	1

[cluster_summary]
dataset	config	scheme	code	route_count	p_function_fault	p_threshold
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	90973270	3	1.42109e-14	1
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	106914515	3	0	5.55556e-14
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	always_on_tmr	90973270	3	8.77076e-15	1
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	always_on_tmr	106914515	3	0	5.55556e-14
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	on_demand_tmr	20156485	3	4.88498e-15	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	on_demand_tmr	24113700	3	4.88498e-15	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	always_on_tmr	20156485	3	4.996e-15	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	always_on_tmr	24113700	3	5.44009e-15	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	on_demand_tmr	14036184	3	0	5.55556e-13
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	on_demand_tmr	60109495	3	4.88498e-15	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	always_on_tmr	14036184	3	0	5.55556e-13
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	always_on_tmr	60109495	3	4.88498e-15	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	on_demand_tmr	63848942	3	4.88498e-15	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	on_demand_tmr	75609557	3	4.996e-15	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	always_on_tmr	63848942	3	4.88498e-15	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	always_on_tmr	75609557	3	4.996e-15	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	on_demand_tmr	36766319	3	4.88498e-15	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	on_demand_tmr	51553564	3	4.996e-15	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	always_on_tmr	36766319	3	4.77396e-15	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	always_on_tmr	51553564	3	4.996e-15	1

[cluster_wcrt_summary]
dataset	config	scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	90973270	20	20	2.6372	2.7164	0	0.3708	1.8894	1	1	3.6372	6.9766	1
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	106914515	20	20	3.596	3.6752	0	0.4104	2.9994	1	1	4.596	9.085	1
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	always_on_tmr	90973270	20	20	0	0	3.6084	0	0	1	0	4.6084	4.6084	1
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	always_on_tmr	106914515	20	20	0	0	3.0092	0	0	1	0	4.0092	4.0092	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	on_demand_tmr	20156485	20	20	1.8556	1.9348	0	0.3584	2.018	1	1	2.8556	6.3112	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	on_demand_tmr	24113700	20	20	1.8992	1.9784	0	0.398	1.5724	1	1	2.8992	5.9488	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	always_on_tmr	20156485	20	20	0	0	1.8912	0	0	1	0	2.8912	2.8912	1
E5S200_5ecu_200signals_002	E5S200_5ecu_200signals	always_on_tmr	24113700	20	20	0	0	1.7724	0	0	1	0	2.7724	2.7724	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	on_demand_tmr	14036184	20	20	1.7724	1.8516	0	0.396	2.7704	1	1	2.7724	7.018	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	on_demand_tmr	60109495	20	20	2.5684	2.6476	0	0.4356	0.9188	1	1	3.5684	6.002	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	always_on_tmr	14036184	20	20	0	0	2.7664	0	0	1	0	3.7664	3.7664	1
E5S200_5ecu_200signals_003	E5S200_5ecu_200signals	always_on_tmr	60109495	20	20	0	0	2.6456	0	0	1	0	3.6456	3.6456	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	on_demand_tmr	63848942	20	20	1.5888	1.668	0	0.2872	0.8124	1	1	2.5888	4.7676	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	on_demand_tmr	75609557	20	20	1.67	1.7492	0	0.3268	2.3632	1	1	2.67	6.4392	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	always_on_tmr	63848942	20	20	0	0	2.5592	0	0	1	0	3.5592	3.5592	1
E5S200_5ecu_200signals_004	E5S200_5ecu_200signals	always_on_tmr	75609557	20	20	0	0	2.7968	0	0	1	0	3.7968	3.7968	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	on_demand_tmr	36766319	20	20	1.2576	1.3368	0	0.3208	2.0084	1	1	2.2576	5.666	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	on_demand_tmr	51553564	20	20	1.7272	1.8064	0	0.3604	1.62	1	1	2.7272	5.7868	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	always_on_tmr	36766319	20	20	0	0	1.9352	0	0	1	0	2.9352	2.9352	1
E5S200_5ecu_200signals_005	E5S200_5ecu_200signals	always_on_tmr	51553564	20	20	0	0	1.7748	0	0	1	0	2.7748	2.7748	1

[route_summary]
dataset	config	scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	106914515	0	3	1	2	4	20	20	2	1	4.84176e-15	5.55556e-14	3.6752
E5S200_5ecu_200signals_001	E5S200_5ecu_200signals	on_demand_tmr	106914515	1	3	2	1	4	20	20	2	1	2.76576e-15	5.55556e-14	2.8902
