# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.446108	0.481748	54	1
always_on_tmr	0.446228	0.446228	54	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	36766319	3	4.88498e-15	1
on_demand_tmr	51553564	3	6.77236e-15	1
on_demand_tmr	91453487	3	0	5.55556e-14
on_demand_tmr	103234810	3	0	5.55556e-13
on_demand_tmr	139588143	3	7.10543e-15	1
on_demand_tmr	204985818	3	4.996e-15	1
always_on_tmr	36766319	3	4.88498e-15	1
always_on_tmr	51553564	3	6.66134e-15	1
always_on_tmr	91453487	3	0	5.55556e-14
always_on_tmr	103234810	3	0	5.55556e-13
always_on_tmr	139588143	3	4.88498e-15	1
always_on_tmr	204985818	3	4.996e-15	1

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	36766319	20	20	1.6044	1.842	0	0.3208	1.5784	1	1	2.6044	5.7412	1
on_demand_tmr	51553564	20	20	1.8064	2.3252	0	0.3604	1.4992	1	1	2.8064	6.1848	1
on_demand_tmr	91453487	20	20	2.5292	2.7668	0	0.4	1.6992	1	1	3.5292	6.866	1
on_demand_tmr	103234810	20	20	1.8896	2.4084	0	0.4396	1.9648	1	1	2.8896	6.8128	1
on_demand_tmr	139588143	20	20	1.5628	1.8004	0	0.4792	1.9232	1	1	2.5628	6.2028	1
on_demand_tmr	204985818	20	20	1.02	1.4556	0	0.5188	0.9248	1	1	2.02	4.8992	1
always_on_tmr	36766319	20	20	0	0	1.8896	0	0	1	0	2.8896	2.8896	1
always_on_tmr	51553564	20	20	0	0	1.7688	0	0	1	0	2.7688	2.7688	1
always_on_tmr	91453487	20	20	0	0	2.452	0	0	1	0	3.452	3.452	1
always_on_tmr	103234810	20	20	0	0	1.7292	0	0	1	0	2.7292	2.7292	1
always_on_tmr	139588143	20	20	0	0	2.5312	0	0	1	0	3.5312	3.5312	1
always_on_tmr	204985818	20	20	0	0	1.5252	0	0	1	0	2.5252	2.5252	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
