# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.375625	0.748261	0	0
always_on_tmr	0.448209	0.448209	0	0

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	421652406	3	4.996e-15	5.55556e-14
on_demand_tmr	548855840	3	5.21805e-15	5.55556e-14
on_demand_tmr	852556248	3	5.88418e-15	2.77778e-14
on_demand_tmr	1280587445	3	4.77396e-15	2.77778e-15
on_demand_tmr	2355592559	3	5.21805e-15	2.77778e-14
on_demand_tmr	2788748069	3	4.88498e-15	2.77778e-13
on_demand_tmr	2907557566	3	5.32907e-15	2.77778e-13
on_demand_tmr	3716589440	3	4.996e-15	2.77778e-14
on_demand_tmr	3867264623	3	4.77396e-15	2.77778e-15
on_demand_tmr	3872079513	3	6.43929e-15	5.55556e-14
always_on_tmr	421652406	3	4.77396e-15	5.55556e-14
always_on_tmr	548855840	3	4.88498e-15	5.55556e-14
always_on_tmr	852556248	3	6.10623e-15	2.77778e-14
always_on_tmr	1280587445	3	4.77396e-15	2.77778e-15
always_on_tmr	2355592559	3	4.996e-15	2.77778e-14
always_on_tmr	2788748069	3	4.88498e-15	2.77778e-13
always_on_tmr	2907557566	3	5.32907e-15	2.77778e-13
always_on_tmr	3716589440	3	5.44009e-15	2.77778e-14
always_on_tmr	3867264623	3	4.77396e-15	2.77778e-15
always_on_tmr	3872079513	3	6.66134e-15	5.55556e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	421652406	20	20	1.6956	3.9964	0	0.7544	1.9228	1	1	2.6956	8.6736	1
on_demand_tmr	548855840	20	20	0.6912	1.8416	0	0.794	1.9228	1	1	1.6912	6.5584	1
on_demand_tmr	852556248	10	10	1.432	2.9784	0	0.6356	2.81	1	1	2.432	8.424	1
on_demand_tmr	1280587445	1	1	0.1012	0.1168	0	0.5148	0.2356	1	1	1.1012	2.8672	0
on_demand_tmr	2355592559	10	10	0.8992	2.6456	0	0.6752	3.022	1	1	1.8992	8.3428	1
on_demand_tmr	2788748069	100	100	2.5788	6.6656	0	0.8732	4.9152	1	1	3.5788	14.454	1
on_demand_tmr	2907557566	100	100	2.0204	5.7904	0	0.9128	5.9904	1	1	3.0204	14.6936	1
on_demand_tmr	3716589440	10	10	1.5152	3.5784	0	0.7148	2.6872	1	1	2.5152	8.9804	1
on_demand_tmr	3867264623	1	1	0.1804	0.196	0	0.5544	0.2752	1	1	1.1804	3.0256	0
on_demand_tmr	3872079513	20	20	1.656	3.9568	0	0.8336	3.8952	1	1	2.656	10.6856	1
always_on_tmr	421652406	20	20	0	0	1.7352	0	0	1	0	2.7352	2.7352	1
always_on_tmr	548855840	20	20	0	0	0.7804	0	0	1	0	1.7804	1.7804	1
always_on_tmr	852556248	10	10	0	0	1.4956	0	0	1	0	2.4956	2.4956	1
always_on_tmr	1280587445	1	1	0	0	0.2696	0	0	1	0	1.2696	1.2696	0
always_on_tmr	2355592559	10	10	0	0	1.6164	0	0	1	0	2.6164	2.6164	1
always_on_tmr	2788748069	100	100	0	0	2.7768	0	0	1	0	3.7768	3.7768	1
always_on_tmr	2907557566	100	100	0	0	2.656	0	0	1	0	3.656	3.656	1
always_on_tmr	3716589440	10	10	0	0	1.4956	0	0	1	0	2.4956	2.4956	1
always_on_tmr	3867264623	1	1	0	0	0.3092	0	0	1	0	1.3092	1.3092	0
always_on_tmr	3872079513	20	20	0	0	1.5768	0	0	1	0	2.5768	2.5768	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	421652406	0	3	1	4	3	20	20	1	0	4.16e-08	5.55556e-14	1.59
on_demand_tmr	421652406	1	3	2	2	3	20	20	1	0	3.96e-08	5.55556e-14	3.9964
