# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.3106	0.48682	0	0
always_on_tmr	0.524656	0.524656	37	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	102761218	3	4.77396e-15	2.77778e-15
on_demand_tmr	126624450	3	5.21805e-15	5.55556e-14
on_demand_tmr	136883144	3	5.21805e-15	5.55556e-14
on_demand_tmr	139469433	3	4.996e-15	5.55556e-14
always_on_tmr	102761218	3	0	2.77778e-15
always_on_tmr	126624450	3	0	5.55556e-14
always_on_tmr	136883144	3	0	5.55556e-14
always_on_tmr	139469433	3	0	5.55556e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	102761218	1	1	0.1548	0.1884	0	0.3468	0.1488	0.01	0	0.1648	0.704	1
on_demand_tmr	126624450	20	20	0.7488	1.026	0	0.4356	1.4616	0.01	0	0.7588	2.9432	1
on_demand_tmr	136883144	20	20	1.3172	1.7528	0	0.4752	1.5448	0.01	0	1.3272	3.7928	1
on_demand_tmr	139469433	20	20	0.7884	1.3824	0	0.5148	1.63	0.01	0	0.7984	3.5472	1
always_on_tmr	102761218	1	1	0	0	0.3152	0	0	0.01	0	0.3252	0.3252	1
always_on_tmr	126624450	20	20	0	0	2.4836	0	0	0.01	0	2.4936	2.4936	1
always_on_tmr	136883144	20	20	0	0	2.642	0	0	0.01	0	2.652	2.652	1
always_on_tmr	139469433	20	20	0	0	2.5232	0	0	0.01	0	2.5332	2.5332	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	102761218	0	3	1	2	0	1	1	1	0	3.96e-08	2.77778e-15	0.0696
on_demand_tmr	102761218	1	3	2	1	0	1	1	1	0	3.96e-08	2.77778e-15	0.1884
on_demand_tmr	102761218	2	3	2	3	0	1	1	1	0	3.96e-08	2.77778e-15	0.1488
