# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.330978	0.545214	0	0
always_on_tmr	0.550826	0.550826	48	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	10120525	3	4.77396e-15	2.77778e-15
on_demand_tmr	40006036	3	4.88498e-15	2.77778e-13
on_demand_tmr	117946297	3	5.21805e-15	2.77778e-14
on_demand_tmr	151971661	3	5.21805e-15	2.77778e-14
on_demand_tmr	154721865	3	4.77396e-15	2.77778e-13
on_demand_tmr	169897242	3	5.44009e-15	2.77778e-14
on_demand_tmr	179167934	3	5.44009e-15	2.77778e-14
on_demand_tmr	187517481	3	5.55112e-15	5.55556e-14
always_on_tmr	10120525	3	0	2.77778e-15
always_on_tmr	40006036	3	0	2.77778e-13
always_on_tmr	117946297	3	0	2.77778e-14
always_on_tmr	151971661	3	0	2.77778e-14
always_on_tmr	154721865	3	0	2.77778e-13
always_on_tmr	169897242	3	0	2.77778e-14
always_on_tmr	179167934	3	0	2.77778e-14
always_on_tmr	187517481	3	0	5.55556e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	10120525	1	1	0.1984	0.1964	0	0.3944	0.236	0.01	0	0.2084	0.8468	1
on_demand_tmr	40006036	100	100	1.6836	3.426	0	0.6336	2.9112	0.01	0	1.6936	6.9908	1
on_demand_tmr	117946297	10	10	0.7092	1.5012	0	0.4356	1.832	0.01	0	0.7192	3.7888	1
on_demand_tmr	151971661	10	10	1.04	1.832	0	0.4752	1.5428	0.01	0	1.05	3.87	1
on_demand_tmr	154721865	100	100	2.2796	3.7844	0	0.6732	3.7052	0.01	0	2.2896	8.1828	1
on_demand_tmr	169897242	10	10	1.2856	1.8796	0	0.5148	0.7544	0.01	0	1.2956	3.1688	1
on_demand_tmr	179167934	10	10	0.3188	0.7544	0	0.5544	1.8796	0.01	0	0.3288	3.2084	1
on_demand_tmr	187517481	20	20	0.9588	1.7508	0	0.594	1.7092	0.01	0	0.9688	4.074	1
always_on_tmr	10120525	1	1	0	0	0.3448	0	0	0.01	0	0.3548	0.3548	1
always_on_tmr	40006036	100	100	0	0	4.0144	0	0	0.01	0	4.0244	4.0244	1
always_on_tmr	117946297	10	10	0	0	2.5412	0	0	0.01	0	2.5512	2.5512	1
always_on_tmr	151971661	10	10	0	0	2.5412	0	0	0.01	0	2.5512	2.5512	1
always_on_tmr	154721865	100	100	0	0	3.7372	0	0	0.01	0	3.7472	3.7472	1
always_on_tmr	169897242	10	10	0	0	1.9432	0	0	0.01	0	1.9532	1.9532	1
always_on_tmr	179167934	10	10	0	0	1.9432	0	0	0.01	0	1.9532	1.9532	1
always_on_tmr	187517481	20	20	0	0	2.6244	0	0	0.01	0	2.6344	2.6344	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	10120525	0	3	1	1	0	1	1	1	0	3.96e-08	2.77778e-15	0.1964
on_demand_tmr	10120525	1	3	2	2	0	1	1	1	0	3.96e-08	2.77778e-15	0.0776
on_demand_tmr	10120525	2	3	2	4	0	1	1	1	0	3.96e-08	2.77778e-15	0.236
on_demand_tmr	40006036	0	3	1	3	2	100	100	1	0	3.96e-08	2.77778e-13	3.426
on_demand_tmr	40006036	1	3	2	4	2	100	100	1	0	3.96e-08	2.77778e-13	2.9904
on_demand_tmr	40006036	2	3	2	1	2	100	100	1	0	4.16e-08	2.77778e-13	2.9112
on_demand_tmr	117946297	0	3	1	2	4	10	10	1	0	4.16e-08	2.77778e-14	1.42
on_demand_tmr	117946297	1	3	2	3	4	10	10	1	0	4.16e-08	2.77778e-14	1.5012
on_demand_tmr	117946297	2	3	2	0	4	10	10	1	0	4.16e-08	2.77778e-14	1.832
on_demand_tmr	151971661	0	3	1	3	4	10	10	1	0	4.16e-08	2.77778e-14	1.5012
on_demand_tmr	151971661	1	3	2	0	4	10	10	1	0	4.16e-08	2.77778e-14	1.832
on_demand_tmr	151971661	2	3	2	1	4	10	10	1	0	4.16e-08	2.77778e-14	1.5428
on_demand_tmr	154721865	0	3	1	4	0	100	100	1	0	3.96e-08	2.77778e-13	2.8696
on_demand_tmr	154721865	1	3	2	1	0	100	100	1	0	3.96e-08	2.77778e-13	3.7844
on_demand_tmr	154721865	2	3	2	2	0	100	100	1	0	3.96e-08	2.77778e-13	3.7052
on_demand_tmr	169897242	0	3	1	1	0	10	10	1	0	3.96e-08	2.77778e-14	1.6656
on_demand_tmr	169897242	1	3	2	3	0	10	10	1	0	4.76e-08	2.77778e-14	1.8796
on_demand_tmr	169897242	2	3	2	2	0	10	10	1	0	4.16e-08	2.77778e-14	0.7544
on_demand_tmr	179167934	0	3	1	1	0	10	10	1	0	3.96e-08	2.77778e-14	0.7128
on_demand_tmr	179167934	1	3	2	2	0	10	10	1	0	4.16e-08	2.77778e-14	0.7544
on_demand_tmr	179167934	2	3	2	3	0	10	10	1	0	4.76e-08	2.77778e-14	1.8796
on_demand_tmr	187517481	0	3	1	4	1	20	20	1	0	4.16e-08	5.55556e-14	1.7508
on_demand_tmr	187517481	1	3	2	3	1	20	20	1	0	4.36e-08	5.55556e-14	1.626
on_demand_tmr	187517481	2	3	2	0	1	20	20	1	0	4.36e-08	5.55556e-14	1.7092
on_demand_tmr	4062696432	0	2	0	2	4	100	100	1	0	3.96e-08	2.77778e-12	3.5864
on_demand_tmr	4064440588	0	2	0	2	1	10	10	1	0	6.16e-08	2.77778e-13	0.8556
on_demand_tmr	4066900686	0	2	0	0	4	100	100	1	0	3.96e-08	2.77778e-12	3.824
on_demand_tmr	4102049654	0	2	0	4	1	20	20	1	0	4.16e-08	5.55556e-13	1.7508
on_demand_tmr	4121380628	0	2	0	2	0	1	1	1	0	3.96e-08	2.77778e-14	0.0776
on_demand_tmr	4122351854	0	2	0	1	2	10	10	1	0	3.96e-08	2.77778e-13	1.9192
on_demand_tmr	4259438086	0	2	0	0	3	1000	1000	1	0	3.96e-08	2.77778e-11	4.4576
on_demand_tmr	4264378598	0	2	0	1	2	10	10	1	0	3.96e-08	2.77778e-13	1.9192
on_demand_tmr	3503630771	0	1	0	0	4	10	10	1	0	4.16e-08	2.77778e-13	1.832
on_demand_tmr	3509937283	0	1	0	0	4	100	100	1	0	3.96e-08	2.77778e-12	3.824
on_demand_tmr	3511530999	0	1	0	0	4	10	10	1	0	4.16e-08	2.77778e-13	1.832
on_demand_tmr	3530103875	0	1	0	4	3	100	100	1	0	3.96e-08	2.77778e-12	3.6656
on_demand_tmr	3619174327	0	1	0	0	4	10	10	1	0	4.16e-08	2.77778e-13	1.832
on_demand_tmr	3661403311	0	1	0	1	4	10	10	1	0	4.16e-08	2.77778e-13	1.5428
on_demand_tmr	3725765631	0	1	0	2	3	10	10	1	0	3.96e-08	2.77778e-13	1.5824
on_demand_tmr	3735871178	0	1	0	3	1	20	20	1	0	4.36e-08	5.55556e-13	1.626
on_demand_tmr	3760142274	0	1	0	0	2	20	20	1	0	3.96e-08	5.55556e-13	2.7112
on_demand_tmr	3763822256	0	1	0	0	4	20	20	1	0	4.16e-08	5.55556e-13	1.832
on_demand_tmr	3835863254	0	1	0	2	1	20	20	1	0	6.16e-08	5.55556e-13	0.8556
on_demand_tmr	3857772862	0	1	0	2	4	10	10	1	0	4.16e-08	2.77778e-13	1.42
on_demand_tmr	3858305700	0	1	0	2	0	5	5	1	0	4.16e-08	1.38889e-13	0.7544
on_demand_tmr	3969118123	0	1	0	4	3	10	10	1	0	3.96e-08	2.77778e-13	1.7904
on_demand_tmr	4005153388	0	1	0	4	2	10	10	1	0	4.36e-08	2.77778e-13	0.9824
on_demand_tmr	4036363258	0	1	0	3	0	20	20	1	0	4.76e-08	5.55556e-13	1.8796
on_demand_tmr	200301451	0	0	0	1	2	20	20	1	0	3.96e-08	1	1.9192
on_demand_tmr	218016150	0	0	0	0	2	2	2	1	0	3.96e-08	1	0.434
on_demand_tmr	283710623	0	0	0	1	3	100	100	1	0	3.96e-08	1	3.4656
on_demand_tmr	300005504	0	0	0	3	1	10	10	1	0	4.36e-08	1	1.626
on_demand_tmr	305446146	0	0	0	3	2	100	100	1	0	3.96e-08	1	3.426
on_demand_tmr	317635221	0	0	0	1	0	20	20	1	0	3.96e-08	1	1.6656
on_demand_tmr	381671401	0	0	0	0	3	10	10	1	0	4.36e-08	1	0.8992
on_demand_tmr	390506054	0	0	0	4	3	100	100	1	0	3.96e-08	1	3.6656
on_demand_tmr	396149885	0	0	0	3	4	20	20	1	0	4.16e-08	1	1.5012
on_demand_tmr	443978375	0	0	0	2	0	10	10	1	0	4.16e-08	1	0.7544
on_demand_tmr	457894859	0	0	0	0	2	2	2	1	0	3.96e-08	1	0.434
on_demand_tmr	467853441	0	0	0	2	3	10	10	1	0	3.96e-08	1	1.5824
on_demand_tmr	502030991	0	0	0	1	3	10	10	1	0	3.96e-08	1	1.022
on_demand_tmr	568372815	0	0	0	0	1	10	10	1	0	4.36e-08	1	1.7092
on_demand_tmr	607483238	0	0	0	3	2	100	100	1	0	3.96e-08	1	3.426
on_demand_tmr	609757020	0	0	0	2	4	10	10	1	0	3.96e-08	1	0.9388
on_demand_tmr	616281535	0	0	0	2	3	10	10	1	0	3.96e-08	1	1.5824
on_demand_tmr	618619934	0	0	0	2	0	20	20	1	0	3.96e-08	1	2.6716
on_demand_tmr	630671995	0	0	0	4	3	20	20	1	0	3.96e-08	1	1.7904
on_demand_tmr	657728466	0	0	0	1	2	100	100	1	0	4.16e-08	1	2.9112
on_demand_tmr	670314758	0	0	0	2	0	20	20	1	0	3.96e-08	1	2.6716
on_demand_tmr	673528939	0	0	0	3	4	1000	1000	1	0	3.96e-08	1	4.5368
on_demand_tmr	682516005	0	0	0	2	1	2	2	1	0	3.96e-08	1	0.1172
on_demand_tmr	683778383	0	0	0	3	0	20	20	1	0	4.76e-08	1	1.8796
on_demand_tmr	711441992	0	0	0	0	2	5	5	1	0	3.96e-08	1	0.794
on_demand_tmr	743471818	0	0	0	4	2	20	20	1	0	4.36e-08	1	0.9824
on_demand_tmr	768493176	0	0	0	1	4	20	20	1	0	4.16e-08	1	1.5428
on_demand_tmr	772893780	0	0	0	2	4	20	20	1	0	3.96e-08	1	0.9388
on_demand_tmr	823231061	0	0	0	3	1	100	100	1	0	3.96e-08	1	3.5052
on_demand_tmr	889544339	0	0	0	4	3	20	20	1	0	3.96e-08	1	1.7904
on_demand_tmr	918221293	0	0	0	3	4	10	10	1	0	4.16e-08	1	1.5012
on_demand_tmr	930489878	0	0	0	2	4	20	20	1	0	4.16e-08	1	1.42
on_demand_tmr	947950352	0	0	0	2	1	100	100	1	0	3.96e-08	1	3.03
on_demand_tmr	954090211	0	0	0	1	0	20	20	1	0	3.96e-08	1	1.6656
on_demand_tmr	962178779	0	0	0	4	1	100	100	1	0	4.16e-08	1	3.5468
on_demand_tmr	1023036565	0	0	0	2	1	20	20	1	0	6.16e-08	1	0.8556
on_demand_tmr	1054446620	0	0	0	1	2	2	2	1	0	3.96e-08	1	0.1568
on_demand_tmr	1099129148	0	0	0	4	1	10	10	1	0	4.16e-08	1	1.7508
on_demand_tmr	1139342509	0	0	0	2	4	10	10	1	0	4.16e-08	1	1.42
on_demand_tmr	1153242047	0	0	0	4	2	20	20	1	0	4.36e-08	1	0.9824
on_demand_tmr	1191855426	0	0	0	1	0	5	5	1	0	3.96e-08	1	0.7128
on_demand_tmr	1229711204	0	0	0	2	4	10	10	1	0	3.96e-08	1	0.9388
on_demand_tmr	1232166360	0	0	0	1	4	50	50	1	0	3.96e-08	1	2.83
on_demand_tmr	1232205554	0	0	0	2	4	10	10	1	0	4.16e-08	1	1.42
on_demand_tmr	1278478000	0	0	0	1	3	10	10	1	0	3.96e-08	1	1.022
on_demand_tmr	1280780338	0	0	0	1	4	100	100	1	0	3.96e-08	1	2.83
on_demand_tmr	1282649381	0	0	0	4	2	10	10	1	0	4.36e-08	1	0.9824
on_demand_tmr	1287595584	0	0	0	4	0	50	50	1	0	3.96e-08	1	2.8696
on_demand_tmr	1317393527	0	0	0	4	2	10	10	1	0	4.36e-08	1	0.9824
on_demand_tmr	1322265105	0	0	0	3	4	100	100	1	0	3.96e-08	1	3.626
on_demand_tmr	1322646673	0	0	0	3	1	20	20	1	0	4.36e-08	1	1.626
on_demand_tmr	1378963602	0	0	0	0	1	1	1	1	0	3.96e-08	1	0.2756
on_demand_tmr	1417914249	0	0	0	4	1	20	20	1	0	4.16e-08	1	1.7508
on_demand_tmr	1463800460	0	0	0	1	2	100	100	1	0	4.16e-08	1	2.9112
on_demand_tmr	1472386689	0	0	0	3	0	20	20	1	0	4.76e-08	1	1.8796
on_demand_tmr	1484223831	0	0	0	1	4	20	20	1	0	4.16e-08	1	1.5428
