# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.478139	0.628817	48	1
always_on_tmr	0.525538	0.525538	48	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	19766382	3	0	2.77778e-14
on_demand_tmr	59922030	3	0	5.55556e-15
on_demand_tmr	73201716	3	0	5.55556e-14
on_demand_tmr	78389914	3	0	5.55556e-14
on_demand_tmr	164796451	3	0	5.55556e-14
on_demand_tmr	263000657	3	0	2.77778e-12
on_demand_tmr	278804486	3	0	5.55556e-14
on_demand_tmr	283170443	3	0	2.77778e-14
always_on_tmr	19766382	3	0	2.77778e-14
always_on_tmr	59922030	3	0	5.55556e-15
always_on_tmr	73201716	3	0	5.55556e-14
always_on_tmr	78389914	3	0	5.55556e-14
always_on_tmr	164796451	3	0	5.55556e-14
always_on_tmr	263000657	3	0	2.77778e-12
always_on_tmr	278804486	3	0	5.55556e-14
always_on_tmr	283170443	3	0	2.77778e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	19766382	10	10	0.9544	1.6276	0	0.6336	3.0316	0.01	0	0.9644	5.3128	1
on_demand_tmr	59922030	2	2	0.398	0.4712	0	0.5504	0.5108	0.01	0	0.408	1.5524	1
on_demand_tmr	73201716	20	20	1.5584	2.0336	0	0.7128	3.5068	0.01	0	1.5684	6.2732	1
on_demand_tmr	78389914	20	20	2.5168	3.5464	0	0.7524	3.6256	0.01	0	2.5268	7.9444	1
on_demand_tmr	164796451	20	20	2.5564	3.586	0	0.792	3.0316	0.01	0	2.5664	7.4296	1
on_demand_tmr	263000657	1000	1000	3.7844	6.7148	0	0.8712	6.002	0.01	0	3.7944	13.608	1
on_demand_tmr	278804486	20	20	1.7584	2.8276	0	0.8316	3.7048	0.01	0	1.7684	7.384	1
on_demand_tmr	283170443	10	10	1.598	2.6672	0	0.6732	2.0336	0.01	0	1.608	5.394	1
always_on_tmr	19766382	10	10	0	0	2	0	0	0.01	0	2.01	2.01	1
always_on_tmr	59922030	2	2	0	0	0.4952	0	0	0.01	0	0.5052	0.5052	1
always_on_tmr	73201716	20	20	0	0	1.9584	0	0	0.01	0	1.9684	1.9684	1
always_on_tmr	78389914	20	20	0	0	2	0	0	0.01	0	2.01	2.01	1
always_on_tmr	164796451	20	20	0	0	2.594	0	0	0.01	0	2.604	2.604	1
always_on_tmr	263000657	1000	1000	0	0	4.5348	0	0	0.01	0	4.5448	4.5448	1
always_on_tmr	278804486	20	20	0	0	2.792	0	0	0.01	0	2.802	2.802	1
always_on_tmr	283170443	10	10	0	0	1.9584	0	0	0.01	0	1.9684	1.9684	1

[route_summary]
scheme	code	comm_id	level	type	src_ecu	dst_ecu	period_ms	deadline_ms	signal_instance_count	added_signal_copies	p_comm_fault	p_threshold	max_wcrt_ms
on_demand_tmr	19766382	0	3	1	2	0	10	10	2	1	1.56816e-15	2.77778e-14	1.5464
on_demand_tmr	19766382	1	3	2	1	0	10	10	2	1	1.64736e-15	2.77778e-14	1.6276
on_demand_tmr	19766382	2	3	2	3	0	10	10	2	1	1.72656e-15	2.77778e-14	3.0316
on_demand_tmr	59922030	0	3	1	1	0	2	2	2	1	1.56816e-15	5.55556e-15	0.4316
on_demand_tmr	59922030	1	3	2	4	0	2	2	2	1	1.56816e-15	5.55556e-15	0.4712
on_demand_tmr	59922030	2	3	2	3	0	2	2	2	1	1.56816e-15	5.55556e-15	0.5108
on_demand_tmr	73201716	0	3	1	0	3	20	20	2	1	1.73056e-15	5.55556e-14	2.0336
on_demand_tmr	73201716	1	3	2	4	3	20	20	2	1	1.73056e-15	5.55556e-14	1.79
on_demand_tmr	73201716	2	3	2	1	3	20	20	2	1	1.56816e-15	5.55556e-14	3.5068
on_demand_tmr	78389914	0	3	1	1	0	20	20	2	1	1.64736e-15	5.55556e-14	1.6276
on_demand_tmr	78389914	1	3	2	4	0	20	20	2	1	1.64736e-15	5.55556e-14	3.5464
on_demand_tmr	78389914	2	3	2	3	0	20	20	2	1	1.72656e-15	5.55556e-14	3.6256
on_demand_tmr	164796451	0	3	1	2	0	20	20	2	1	1.56816e-15	5.55556e-14	3.586
on_demand_tmr	164796451	1	3	2	4	0	20	20	2	1	1.64736e-15	5.55556e-14	3.5464
on_demand_tmr	164796451	2	3	2	3	0	20	20	2	1	1.72656e-15	5.55556e-14	3.0316
on_demand_tmr	263000657	0	3	1	0	4	1000	1000	2	1	1.56816e-15	2.77778e-12	6.6356
on_demand_tmr	263000657	1	3	2	2	4	1000	1000	2	1	1.56816e-15	2.77778e-12	6.7148
on_demand_tmr	263000657	2	3	2	3	4	1000	1000	2	1	1.56816e-15	2.77778e-12	6.002
on_demand_tmr	278804486	0	3	1	0	4	20	20	2	1	1.56816e-15	5.55556e-14	2.8276
on_demand_tmr	278804486	1	3	2	3	4	20	20	2	1	1.64736e-15	5.55556e-14	1.8316
on_demand_tmr	278804486	2	3	2	2	4	20	20	2	1	1.56816e-15	5.55556e-14	3.7048
on_demand_tmr	283170443	0	3	1	4	3	10	10	2	1	1.73056e-15	2.77778e-14	1.79
on_demand_tmr	283170443	1	3	2	2	3	10	10	2	1	1.56816e-15	2.77778e-14	2.6672
on_demand_tmr	283170443	2	3	2	0	3	10	10	2	1	1.73056e-15	2.77778e-14	2.0336
on_demand_tmr	4052926400	0	2	0	4	3	20	20	2	1	1.73056e-15	5.55556e-13	1.79
on_demand_tmr	4070642502	0	2	0	0	3	10	10	2	1	1.73056e-15	2.77778e-13	2.0336
on_demand_tmr	4078116152	0	2	0	4	3	20	20	2	1	1.73056e-15	5.55556e-13	1.79
on_demand_tmr	4088771061	0	2	0	2	0	20	20	2	1	1.56816e-15	5.55556e-13	3.586
on_demand_tmr	4107384471	0	2	0	1	4	100	100	2	1	1.56816e-15	2.77778e-12	5.5624
on_demand_tmr	4183843897	0	2	0	1	3	20	20	2	1	1.56816e-15	5.55556e-13	3.5068
on_demand_tmr	4220978084	0	2	0	0	4	1000	1000	2	1	1.56816e-15	2.77778e-11	6.6356
on_demand_tmr	4288412253	0	2	0	3	4	10	10	2	1	1.64736e-15	2.77778e-13	1.8316
on_demand_tmr	3674204862	0	1	0	4	1	10	10	2	1	1.64736e-15	2.77778e-13	2.8692
on_demand_tmr	3706421251	0	1	0	0	3	10	10	2	1	1.73056e-15	2.77778e-13	2.0336
on_demand_tmr	3728985148	0	1	0	1	2	5	5	2	1	1.56816e-15	1.38889e-13	1.3068
on_demand_tmr	3767363039	0	1	0	3	0	20	20	2	1	1.72656e-15	5.55556e-13	3.6256
on_demand_tmr	3783423158	0	1	0	1	3	20	20	2	1	1.56816e-15	5.55556e-13	3.5068
on_demand_tmr	3821580502	0	1	0	0	2	2	2	2	1	1.56816e-15	5.55556e-14	0.3128
on_demand_tmr	3919142968	0	1	0	1	2	10	10	2	1	1.56816e-15	2.77778e-13	2.9484
on_demand_tmr	3923291493	0	1	0	2	0	1	1	2	1	1.56816e-15	2.77778e-14	0.2456
on_demand_tmr	3923304152	0	1	0	2	1	100	100	2	1	1.56816e-15	2.77778e-12	5.6812
