# algorithm2: 按需三模冗余 + 功能路内同源通信副本。
# 正常模式带宽只统计 comm_id=0/1 的功能路；故障模式带宽统计全量功能路与事件触发控制报文。
# 事件报文集合 F_evt={f_act,f_iso,f_hang}，统一取 1 byte 负载，MIT 取对应功能簇原始信号周期。

[scheme_summary]
scheme	normal_bandwidth_utilization	fault_bandwidth_utilization	total_added_signal_copies	schedulable
on_demand_tmr	0.555219	0.715679	54	1
always_on_tmr	0.602343	0.602343	54	1

[cluster_summary]
scheme	code	route_count	p_function_fault	p_threshold
on_demand_tmr	17504628	3	0	2.77778e-13
on_demand_tmr	112294910	3	0	2.77778e-14
on_demand_tmr	222220226	3	0	2.77778e-13
on_demand_tmr	226444505	3	0	2.77778e-14
on_demand_tmr	289543753	3	0	2.77778e-14
on_demand_tmr	320297689	3	0	2.77778e-13
on_demand_tmr	333023404	3	0	2.77778e-14
on_demand_tmr	344993256	3	0	2.77778e-13
on_demand_tmr	355233084	3	0	5.55556e-15
on_demand_tmr	376386878	3	0	5.55556e-14
always_on_tmr	17504628	3	0	2.77778e-13
always_on_tmr	112294910	3	0	2.77778e-14
always_on_tmr	222220226	3	0	2.77778e-13
always_on_tmr	226444505	3	0	2.77778e-14
always_on_tmr	289543753	3	0	2.77778e-14
always_on_tmr	320297689	3	0	2.77778e-13
always_on_tmr	333023404	3	0	2.77778e-14
always_on_tmr	344993256	3	0	2.77778e-13
always_on_tmr	355233084	3	0	5.55556e-15
always_on_tmr	376386878	3	0	5.55556e-14

[cluster_wcrt_summary]
scheme	code	period_ms	deadline_ms	normal_main_route_wcrt_ms	fault_main_route_wcrt_ms	tmr_all_route_wcrt_ms	activation_wcrt_ms	backup_route_wcrt_ms	compare_time_ms	backup_compute_time_ms	end_to_end_normal_wcrt_ms	end_to_end_fault_wcrt_ms	meets_deadline
on_demand_tmr	17504628	100	100	4.7398	7.5364	0	0.8696	7.4908	0.01	0	4.7498	15.9168	1
on_demand_tmr	112294910	10	10	2.6642	3.6426	0	0.6716	3.29	0.01	0	2.6742	7.6242	1
on_demand_tmr	222220226	100	100	4.6486	7.4452	0	0.9092	7.931	0.01	0	4.6586	16.3054	1
on_demand_tmr	226444505	10	10	2.7834	3.7618	0	0.7112	3.0244	0.01	0	2.7934	7.5174	1
on_demand_tmr	289543753	10	10	2.7834	3.7618	0	0.7508	3.5474	0.01	0	2.7934	8.08	1
on_demand_tmr	320297689	100	100	5.5522	7.8854	0	0.9488	7.9746	0.01	0	5.5622	16.8288	1
on_demand_tmr	333023404	10	10	1.9512	3.3596	0	0.7904	1.9516	0.01	0	1.9612	6.1216	1
on_demand_tmr	344993256	100	100	4.5158	7.2708	0	0.9884	7.354	0.01	0	4.5258	15.6332	1
on_demand_tmr	355233084	2	2	0.4722	0.4614	0	0.5842	0.5446	0.01	0	0.4822	1.6102	1
on_demand_tmr	376386878	20	20	3.0234	4.9506	0	0.83	3.4212	0.01	0	3.0334	9.2218	1
always_on_tmr	17504628	100	100	0	0	6.588	0	0	0.01	0	6.598	6.598	1
always_on_tmr	112294910	10	10	0	0	2.6538	0	0	0.01	0	2.6638	2.6638	1
always_on_tmr	222220226	100	100	0	0	6.6812	0	0	0.01	0	6.6912	6.6912	1
always_on_tmr	226444505	10	10	0	0	2.8736	0	0	0.01	0	2.8836	2.8836	1
always_on_tmr	289543753	10	10	0	0	2.8736	0	0	0.01	0	2.8836	2.8836	1
always_on_tmr	320297689	100	100	0	0	5.6546	0	0	0.01	0	5.6646	5.6646	1
always_on_tmr	333023404	10	10	0	0	2.0274	0	0	0.01	0	2.0374	2.0374	1
