MessageCode	÷‹∆⁄	∞≤»´µ»º∂	“Ï‘¥±∏∑›	π ’œ∏≈¬ …œœﬁ	π ’œ∏≈¬ (‘≠±æ)	π ’œ∏≈¬ (÷ÿ¥Ú∞¸)
3948061953854411443	1	B	∑Ò	1.0000000000e-07	5.4393131005e-05	3.3904780961e-08
11523380220501124338	20	A	∑Ò	1.0000000000e-06	1.7985612999e-13	1.9076962232e-12
7256914398945050342	10	A	∑Ò	1.0000000000e-06	5.1647575106e-13	2.5476992738e-09
9390489544077906485	1	A	∑Ò	1.0000000000e-06	7.1831788095e-07	3.9071558602e-11
5385580468764906788	20	A	∑Ò	1.0000000000e-06	1.9606538615e-13	6.7268413062e-13
7565593305577230723	20	A	∑Ò	1.0000000000e-06	1.9606538615e-13	6.7268413062e-13
7329899788645651558	10	A	∑Ò	1.0000000000e-06	1.9606538615e-13	6.7268413062e-13
8853765894991232201	10	A	∑Ò	1.0000000000e-06	1.1612932838e-13	1.0285106100e-12
7731014996335031888	20	A	∑Ò	1.0000000000e-06	1.9606538615e-13	6.7268413062e-13
16134850998103276887	10	A	 «	1.0000000000e-06	1.6707536944e-40	3.6973019506e-32
9034308353153895581	10	A	∑Ò	1.0000000000e-06	1.9606538615e-13	6.7268413062e-13
11282170811421110305	1	C	∑Ò	1.0000000000e-07	7.4990859225e-05	1.9279539276e-08
1161732364476532615	1	A	∑Ò	1.0000000000e-06	9.6949268111e-05	2.7304701865e-08
5160184305925471070	10	A	∑Ò	1.0000000000e-06	1.7985612999e-13	1.9076962232e-12
7384585384878869597	20	C	∑Ò	1.0000000000e-07	2.2981616610e-14	7.9859452384e-12
8147323874152617301	100	A	∑Ò	1.0000000000e-06	2.5603963394e-12	3.0648816818e-11
15565691621668409385	20	A	∑Ò	1.0000000000e-06	2.0872192863e-14	4.4575454439e-13
298395097724336238	10	A	∑Ò	1.0000000000e-06	7.4495964952e-14	5.3251413279e-09
10745390431118942808	1	A	∑Ò	1.0000000000e-06	1.2026509757e-04	1.4051351222e-08
7805425044572051506	2	A	∑Ò	1.0000000000e-06	1.1131287669e-07	2.3112786290e-10
1590356382446579497	10	A	∑Ò	1.0000000000e-06	6.3193894562e-13	2.8085084258e-09
3904413395186190781	10	D	∑Ò	1.0000000000e-08	8.2156503822e-15	3.8490995946e-09
5058331183265609923	5	C	∑Ò	1.0000000000e-07	6.3193894562e-13	2.8085084258e-09
8421681016871094516	2	A	∑Ò	1.0000000000e-06	1.3385715181e-07	1.1638036375e-10
15928364413478537755	5	A	∑Ò	1.0000000000e-06	8.2156503822e-15	3.8490995946e-09
1004399607729338659	10	A	∑Ò	1.0000000000e-06	1.1313172621e-13	9.5423668967e-13
7996867564621723536	20	A	∑Ò	1.0000000000e-06	2.2981616610e-14	7.9859452384e-12
10201365457915743456	5	A	∑Ò	1.0000000000e-06	5.1647575106e-13	2.5476992738e-09
11289640492956101145	5	B	∑Ò	1.0000000000e-07	4.5019543649e-13	4.5395874837e-09
6809833233381213000	100	A	∑Ò	1.0000000000e-06	1.9445556276e-12	1.5117462837e-11
9675632813371166463	10	A	∑Ò	1.0000000000e-06	2.0117241206e-13	1.3602452498e-12
