code	comm_id	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
263201446	0	32	100	100	0	10	0	0	0
705951051	0	16	20	20	11	10	0	1	0
1594118783	0	16	10	10	7	0	0	2	0
3265939207	0	16	2	2	2	0	0	0	0
1701598579	0	8	10	10	3	10	0	2	0
926303012	0	16	10	10	10	0	0	0	0
376137904	0	8	100	100	6	10	0	0	0
2064602	0	16	1	1	0	2	0	0	0
1026010406	0	32	1	1	1	2	0	0	0
1031060112	0	8	10	10	0	1	0	0	0
623691905	0	8	20	20	2	10	0	0	0
1502793747	0	16	2	2	1	2	0	1	0
2034873154	0	16	20	20	2	0	0	0	0
579007989	0	64	20	20	5	6	0	0	0
1990299755	0	16	10	10	6	7	0	0	0
2271846281	0	8	1000	1000	3	9	0	0	0
474656017	0	16	10	10	4	6	0	0	0
2820388598	0	16	10	10	2	0	0	0	0
2205716460	0	16	20	20	2	3	0	0	0
1828579318	0	8	20	20	8	7	0	2	0
1456590086	0	16	20	20	3	10	0	0	0
3998271186	0	16	100	100	6	9	0	3	0
1706049683	0	16	10	10	4	8	0	0	0
2811310999	0	8	10	10	0	8	0	2	0
2514736153	0	16	20	20	7	1	0	1	0
2866335841	0	8	10	10	5	4	0	0	0
2121010308	0	16	10	10	2	5	0	0	0
3454661463	0	8	1000	1000	2	9	0	0	0
1168630085	0	32	100	100	9	10	0	2	0
1333130551	0	16	10	10	8	7	0	2	0
3755712508	0	16	100	100	0	10	0	3	0
706230164	0	8	10	10	4	11	0	0	0
3207958298	0	16	20	20	9	6	0	0	0
1208030216	0	8	20	20	11	5	0	0	0
39577862	0	16	20	20	10	1	0	1	0
1791712638	0	8	20	20	8	7	0	0	0
4087077199	0	8	1	1	0	2	0	0	0
1679092555	0	8	10	10	3	4	0	0	0
1657004025	0	32	100	100	5	2	0	0	0
732641311	0	16	10	10	9	5	0	2	0
938970572	0	8	10	10	5	0	0	1	0
119736975	0	8	10	10	1	9	0	0	0
3792621490	0	32	20	20	6	1	0	0	0
3390162697	0	16	20	20	0	7	0	0	0
1565658873	0	16	100	100	5	9	0	0	0
2216676793	0	8	100	100	10	4	0	3	0
1267418505	0	16	10	10	0	6	0	0	0
2578485686	0	16	10	10	7	4	0	0	0
2646234091	0	16	5	5	0	1	0	0	0
1007732189	0	8	100	100	6	10	0	0	0
2506205787	0	8	100	100	10	5	0	0	0
2192759443	0	32	100	100	6	5	0	2	0
537823882	0	128	20	20	6	0	0	0	0
2593616833	0	16	10	10	8	10	0	1	0
2029594689	0	32	100	100	8	1	0	0	0
3913589069	0	32	100	100	10	0	0	0	0
3279016318	0	32	20	20	1	0	0	0	0
961826326	0	32	20	20	5	7	0	0	0
3874146596	0	8	20	20	8	4	0	0	0
3706580660	0	8	10	10	7	2	0	0	0
3785612058	0	8	20	20	10	2	0	0	0
890704081	0	16	20	20	2	11	0	0	0
2254729148	0	16	10	10	4	1	0	0	0
4131234108	0	32	100	100	3	8	0	1	0
2486970799	0	16	10	10	5	0	0	0	0
162738144	0	16	20	20	0	4	0	0	0
1187578867	0	16	5	5	0	2	0	0	0
2671576083	0	8	50	50	5	6	0	0	0
4215620618	0	16	20	20	9	7	0	0	0
1775527591	0	8	50	50	8	3	0	3	1
1620528053	0	16	10	10	4	11	0	1	0
868947347	0	16	20	20	3	2	0	0	0
1630986883	0	16	1000	1000	9	1	0	0	0
2749825443	0	16	20	20	2	7	0	0	0
1539699326	0	8	100	100	10	5	0	0	0
1960348363	0	8	20	20	9	2	0	0	0
798291761	0	16	2	2	2	0	0	0	0
1443068960	0	16	1000	1000	0	10	0	0	0
2204832838	0	8	100	100	2	1	0	0	0
3131748996	0	8	10	10	11	4	0	0	0
