code	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
3316996691	8	10	10	2	4	0	0	0
2366509996	32	20	20	4	0	0	0	0
2272665225	16	10	10	2	0	0	0	0
2534403298	16	10	10	2	1	0	3	0
758909244	8	10	10	6	5	0	0	0
3568925635	16	20	20	3	2	0	0	0
2608814687	8	20	20	3	5	0	0	0
4101295330	8	2	2	0	1	0	0	0
401199526	8	10	10	3	7	0	0	0
2299713881	256	100	100	2	7	0	1	0
349736109	16	20	20	4	6	0	0	0
3200986709	8	10	10	1	0	0	0	0
105002460	16	10	10	5	4	0	0	0
881795855	8	10	10	3	5	0	2	0
3946096198	32	10	10	2	1	0	1	0
1758080722	16	100	100	6	5	0	2	0
2454844872	32	20	20	4	7	0	1	0
692198301	8	20	20	4	2	0	1	0
3092300332	16	10	10	0	2	0	0	1
1229311038	32	10	10	1	2	0	0	0
1210893129	8	1	1	0	1	0	0	0
1651308271	8	20	20	7	4	0	0	0
453003929	16	100	100	6	0	0	0	0
3136879401	32	10	10	3	7	0	0	0
3073194802	16	20	20	1	3	0	0	0
4276352915	32	20	20	3	0	0	0	0
2906890434	8	100	100	6	7	0	2	0
2317613895	16	100	100	6	7	0	0	0
30770688	8	100	100	2	7	0	0	1
2881390398	16	20	20	3	6	0	0	0
1147245505	16	5	5	0	2	0	0	0
3996725625	8	2	2	0	2	0	0	0
1020988348	128	20	20	1	3	0	0	0
1860630097	16	10	10	6	4	0	1	0
2570042980	16	20	20	6	2	0	0	0
4250238386	8	100	100	5	7	0	0	0
3558979870	32	100	100	0	6	0	0	0
3740404116	16	100	100	1	5	0	0	0
2007819096	8	20	20	7	6	0	1	0
1379183343	32	10	10	5	6	0	0	0
4204428266	16	20	20	3	2	0	0	0
1331749097	8	10	10	2	6	0	1	0
1536284169	8	1	1	0	2	0	0	0
2551684772	8	1000	1000	0	7	0	1	0
4204127206	16	20	20	7	5	0	0	0
2875796063	16	20	20	7	4	0	0	0
2429403163	16	10	10	2	0	0	0	0
1517631925	8	1000	1000	2	3	0	0	0
217770876	16	10	10	1	7	0	0	0
1041531353	16	20	20	3	5	0	0	0
3974764382	16	100	100	7	0	0	0	0
2767879943	8	20	20	4	5	0	0	0
936012766	16	10	10	2	5	0	0	0
3242950657	16	20	20	1	7	0	0	0
2346398641	16	100	100	0	7	0	1	0
605932108	16	100	100	1	6	0	0	0
2316943661	16	1	1	0	1	0	0	0
267799794	16	100	100	5	0	0	0	0
231701527	32	100	100	2	4	0	0	0
4154511631	8	100	100	4	7	0	0	0
3388881516	16	1000	1000	7	6	0	1	0
2212047681	16	10	10	7	1	0	0	0
3316511457	16	100	100	5	7	0	0	0
3666495825	16	50	50	4	1	0	0	0
2651627500	16	10	10	7	3	0	0	0
1163047403	8	10	10	6	7	0	0	0
916250519	16	20	20	7	2	0	0	0
145068968	16	20	20	0	4	0	0	0
2713602022	8	100	100	7	3	0	0	0
33261975	16	20	20	2	6	0	0	0
2079748601	32	100	100	3	4	0	0	0
173168203	32	10	10	1	5	0	0	0
881467756	16	20	20	2	4	0	0	0
2323647074	64	10	10	1	0	0	2	0
2662589931	8	2	2	2	1	0	3	0
3799431325	8	10	10	4	1	0	0	0
1348179733	8	20	20	2	0	0	0	0
2711454282	8	100	100	1	5	0	2	0
2080574571	8	100	100	3	0	0	0	0
680802532	32	100	100	5	1	0	1	0
1377140732	16	50	50	2	0	0	0	0
2148067847	8	10	10	0	3	0	2	0
3730464575	16	100	100	1	0	0	2	0
1482531368	16	20	20	0	6	0	0	0
777834458	16	20	20	4	5	0	0	0
4286503588	16	20	20	7	5	0	1	0
2968654754	16	20	20	0	3	0	1	0
1797729071	32	10	10	7	3	0	2	0
200909523	16	10	10	1	2	0	0	0
3953108913	8	100	100	1	7	0	0	0
652332864	16	20	20	5	7	0	0	0
1306879381	8	10	10	7	2	0	0	0
740124571	16	100	100	6	3	0	3	0
2167042434	8	20	20	5	6	0	0	0
1910594845	8	10	10	7	2	0	1	0
1445187461	8	10	10	3	6	0	1	0
800218007	8	10	10	0	4	0	0	0
1055643185	32	1000	1000	2	4	0	2	0
600834052	16	50	50	4	2	0	0	0
4238273502	512	10	10	0	7	0	0	0
1599969731	8	10	10	0	5	0	0	0
1563906867	16	20	20	3	7	0	0	0
3924340100	8	100	100	7	4	0	0	0
400028763	16	10	10	3	4	0	2	0
2457778249	8	20	20	3	0	0	0	0
513604251	16	20	20	2	3	0	0	0
3806457428	8	10	10	6	2	0	0	0
2878133933	8	100	100	7	6	0	0	0
2401275597	16	20	20	4	6	0	0	0
3315377226	32	20	20	5	3	0	0	0
2161138366	8	20	20	6	1	0	0	0
252157915	8	100	100	6	0	0	0	0
2521032870	8	10	10	4	5	0	0	0
4284728095	16	100	100	4	0	0	0	0
192693774	8	20	20	3	7	0	0	0
3932859643	16	100	100	4	3	0	2	0
3613660249	16	1	1	1	2	0	2	0
2698792737	16	10	10	3	4	0	2	0
794639512	8	20	20	7	6	0	0	0
1629900686	8	100	100	4	1	0	0	0
593141604	8	5	5	2	1	0	0	0
2114195488	16	2	2	1	0	0	0	0
973740556	16	20	20	3	0	0	0	0
2410669248	16	5	5	0	2	0	0	0
4016914590	16	20	20	7	1	0	2	0
2675965903	8	1000	1000	0	1	0	0	0
2596339662	16	20	20	5	4	0	3	0
1274865110	16	2	2	0	2	0	0	0
3546697362	16	100	100	6	1	0	0	0
2611340693	16	10	10	4	2	0	0	0
938260883	8	10	10	6	7	0	0	0
1084067526	16	10	10	0	2	0	0	0
2900271817	16	20	20	3	0	0	0	0
1061315624	16	50	50	6	4	0	0	0
2877472673	16	10	10	1	4	0	0	0
2550243493	8	20	20	1	4	0	0	0
2882027002	8	1	1	0	1	0	0	0
4017093089	16	1000	1000	0	3	0	0	0
122410035	8	100	100	3	0	0	0	0
675986794	16	20	20	7	0	0	0	0
2473413162	8	100	100	3	2	0	0	0
1387425331	8	100	100	4	3	0	0	0
2134418565	16	20	20	4	3	0	0	0
867083494	8	1000	1000	6	5	0	0	0
2592007338	16	20	20	1	2	0	0	0
651873480	16	10	10	4	3	0	0	0
3338416932	8	5	5	0	1	0	3	0
3649404932	8	10	10	0	7	0	0	0
869108515	32	1	1	2	0	0	0	0
1758719590	16	20	20	7	0	0	0	0
1612179430	16	20	20	2	6	0	2	0
1817943147	16	20	20	1	5	0	3	0
1597648742	8	10	10	5	0	0	0	0
320767583	32	10	10	5	3	0	0	0
2692117354	32	5	5	2	0	0	0	0
2495725694	32	100	100	3	2	0	0	0
2935466255	16	100	100	2	5	0	0	0
1231683996	8	20	20	3	5	0	0	0
789429539	8	100	100	6	7	0	1	0
3329888996	8	20	20	5	0	0	0	0
1965729836	64	10	10	1	6	0	0	0
2295241719	8	10	10	6	7	0	0	0
2336315743	8	100	100	6	7	0	0	0
3106413224	16	10	10	3	4	0	0	0
351158659	16	1000	1000	2	5	0	3	0
252206959	16	10	10	1	4	0	3	0
3410282446	8	5	5	0	2	0	0	0
2964749460	16	2	2	0	2	0	0	0
3536388085	32	100	100	6	7	0	0	0
1311118721	8	10	10	5	4	0	1	0
4029291523	16	20	20	6	0	0	0	0
3165047814	16	10	10	1	6	0	0	0
2064672024	8	20	20	7	5	0	3	0
4075351363	16	10	10	1	7	0	0	0
2223392698	16	10	10	5	7	0	0	0
3900017588	16	10	10	1	3	0	0	0
2639147951	32	10	10	3	5	0	2	0
2588743404	8	20	20	3	0	0	2	0
3801404673	16	10	10	5	2	0	0	0
3844607136	16	20	20	1	5	0	0	0
779834189	8	20	20	7	1	0	1	0
2888208328	16	10	10	2	5	0	1	0
1634368412	16	1	1	1	2	0	0	0
647614732	32	20	20	2	7	0	0	0
4266464397	16	50	50	0	4	0	0	0
4165588124	32	1	1	2	1	0	2	0
2005572806	16	50	50	5	4	0	0	0
1949508138	8	100	100	5	1	0	2	0
2516001348	32	1000	1000	4	7	0	0	0
3049833976	32	10	10	1	6	0	0	0
2831980397	16	10	10	2	3	0	0	0
2717814773	128	10	10	4	7	0	0	0
2002608236	8	20	20	1	7	0	2	0
3525042862	32	20	20	6	1	0	0	0
2046493427	16	10	10	7	6	0	0	0
749327508	16	10	10	7	0	0	1	0
3323411612	16	20	20	4	3	0	0	0
3916228296	16	20	20	4	2	0	0	0
3959038195	16	20	20	5	6	0	0	0
1780711593	16	1000	1000	0	2	0	3	0
