code	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
290648546	32	5	5	1	0	0	3	0
3525899400	4	20	20	0	2	0	0	0
1881511351	2	5	5	2	0	0	0	0
2888072604	2	5	5	0	2	0	2	1
1480296070	4	5	5	2	1	0	1	1
3750157913	2	100	100	0	1	0	0	0
1597918552	1	20	20	0	1	0	0	0
36388572	2	10	10	0	1	0	0	0
2645834907	4	100	100	2	1	0	0	0
4254333340	16	10	10	0	1	0	0	0
4216568460	4	50	50	2	1	0	0	0
3991608196	8	10	10	2	0	0	3	0
3836448027	4	100	100	0	1	0	0	0
3045559476	2	20	20	1	2	0	0	0
1802335222	1	20	20	2	0	0	0	0
2562589290	1	20	20	2	0	0	0	0
604581114	1	100	100	1	2	0	0	0
1885798770	32	20	20	1	2	0	0	0
2070695494	2	100	100	2	0	0	0	0
3460769802	4	10	10	1	0	0	2	1
1533595252	8	100	100	0	2	0	0	0
1016692647	8	10	10	2	1	0	0	0
805035513	4	20	20	1	2	0	1	0
2255395839	2	10	10	0	1	0	0	0
1120091307	4	20	20	2	1	0	0	0
2225190877	8	20	20	0	2	0	0	0
419934241	1	20	20	2	1	0	0	0
2551445896	4	20	20	0	1	0	2	0
1533040048	8	50	50	1	0	0	0	0
3279893664	4	50	50	2	1	0	0	0
2132539287	8	100	100	1	2	0	0	0
3549069885	4	100	100	0	2	0	0	0
1820145391	8	10	10	1	0	0	0	0
168337547	8	10	10	0	2	0	0	0
3135315022	8	100	100	2	1	0	0	0
1516648366	2	2	2	1	0	0	2	0
1088300852	2	100	100	1	2	0	0	0
1376462981	2	100	100	1	0	0	0	0
2135113717	2	10	10	2	1	0	0	0
2854959001	16	20	20	0	2	0	0	0
1756216781	16	100	100	2	0	0	0	0
1098593361	2	10	10	2	1	0	0	0
4215399335	8	20	20	1	0	0	0	0
2974949657	8	10	10	2	1	0	1	0
1263338062	8	20	20	2	0	0	0	0
361448172	2	10	10	1	0	0	0	0
2042829802	8	20	20	2	1	0	0	0
358619778	8	10	10	1	2	0	1	0
2437796450	4	100	100	2	1	0	0	0
2920308274	4	20	20	1	0	0	0	0
1485650330	8	1	1	1	2	0	3	1
2046070918	2	20	20	1	0	0	0	0
3739933945	1	10	10	2	1	0	1	0
950242904	4	20	20	2	1	0	2	0
528112619	1	100	100	1	2	0	0	0
1898761066	32	10	10	2	1	0	0	0
3987373990	4	10	10	2	1	0	0	0
2897250769	8	100	100	1	2	0	1	0
2782421624	4	100	100	0	1	0	0	0
1204618577	4	50	50	1	0	0	1	0
3056872340	2	1	1	1	2	0	2	0
1017974888	4	10	10	1	0	0	0	0
1041098508	2	10	10	1	2	0	0	0
3459441748	1	20	20	2	0	0	1	0
919076367	1	50	50	0	1	0	0	0
3362915061	2	10	10	2	0	0	2	1
869446078	2	5	5	1	2	0	0	0
4251812955	2	2	2	0	1	0	3	0
3383887645	1	10	10	0	1	0	0	0
2516197425	2	100	100	1	2	0	0	1
169241692	2	20	20	0	2	0	0	0
506139370	4	10	10	2	0	0	0	0
3047524809	2	2	2	1	0	0	0	0
926531372	1	100	100	2	1	0	0	0
2152536909	4	10	10	0	2	0	0	0
