code	data_size	period	deadline	src_ecu	dst_ecu	offset	level	type
9512068805618628989	1	20	20	3	1	0	0	0
6874057260969110743	4	20	20	1	0	0	2	0
770517809355469201	2	10	10	0	1	0	1	0
3758368615363045542	1	50	50	3	0	0	1	0
5867369698663656319	2	20	20	1	0	0	0	0
16178833312686947919	2	10	10	2	4	0	1	0
8415287793624363755	1	10	10	2	4	0	0	0
5235964518955636365	2	100	100	1	0	0	0	0
9352579433700331474	4	50	50	0	2	0	0	0
3289867437134291076	2	10	10	5	2	0	0	0
5324094993458180053	1	10	10	1	5	0	1	0
10994375523841261464	2	10	10	1	0	0	0	0
15860567735875080144	1	20	20	4	3	0	2	0
12741501951459414157	8	20	20	1	4	0	0	0
14605251581529579605	4	1	1	3	2	0	0	0
11463584219094096516	1	1	1	0	5	0	1	0
9150154436196816424	4	100	100	0	2	0	0	0
15173422291408631602	1	2	2	5	0	0	0	0
10896477219588698747	1	10	10	1	0	0	0	0
8223800384021310597	4	10	10	1	0	0	0	0
16901962248396104213	2	5	5	3	5	0	0	0
5706762334063698686	2	20	20	4	2	0	0	0
6537386487505650804	2	10	10	1	0	0	3	0
10632355159350286777	1	10	10	4	3	0	2	0
5189312039704780508	4	100	100	4	1	0	0	0
8083290012374326405	1	100	100	3	2	0	0	0
1231972277171829880	2	20	20	0	2	0	0	0
16193774251180588659	1	20	20	3	0	0	1	0
15723616260259612843	2	5	5	3	5	0	0	0
13658004551397515054	2	10	10	3	1	0	2	0
13654713802654773008	2	100	100	1	2	0	0	0
15057151595275464330	4	10	10	5	0	0	2	0
17613063879275332176	2	20	20	5	1	0	0	0
2588479788208235805	4	20	20	5	3	0	0	0
1786503136387308914	16	1	1	3	5	0	1	0
9484092505040946231	4	20	20	3	0	0	0	1
13340733791990367768	2	100	100	4	2	0	1	0
16691934727878645516	2	20	20	4	0	0	2	0
15308680976609872296	1	10	10	1	2	0	0	0
11155655952180669572	2	100	100	5	2	0	0	0
5952578518859571052	2	20	20	4	0	0	2	0
911583392804704470	4	10	10	3	0	0	0	0
18040716664285239817	1	10	10	1	3	0	0	0
13807142198858222634	2	20	20	5	0	0	0	0
18038401427848466510	4	20	20	3	1	0	0	0
6719105844181351946	1	10	10	3	4	0	0	0
18168345070483973186	2	100	100	3	1	0	2	0
6806465006113223451	1	10	10	5	0	0	0	0
17422414433095644878	1	10	10	0	2	0	0	0
3010412933767134703	2	20	20	0	5	0	0	0
3127421504257190289	2	10	10	3	5	0	0	0
17286294176810927449	2	10	10	0	2	0	0	0
13382901704608945313	2	10	10	2	3	0	0	0
5860694398573552572	1	5	5	1	0	0	1	0
11307590781217836364	2	20	20	3	1	0	0	0
8297510787191168795	2	100	100	0	1	0	0	1
7304089998409910214	2	100	100	0	4	0	0	0
1064180185519180580	1	2	2	5	4	0	0	0
7153275570512964270	2	20	20	0	3	0	0	0
17693755903524648	1	2	2	2	4	0	0	0
10032421200189339732	2	50	50	1	0	0	0	0
2157479093928413066	1	2	2	1	4	0	3	0
6199235846268669387	1	10	10	1	4	0	0	0
18354768852629234676	4	100	100	4	3	0	1	0
1328036561413251714	2	10	10	3	0	0	0	0
15778790750854798848	1	100	100	4	0	0	1	0
4544576791412599914	1	50	50	2	4	0	0	0
16791000613559047945	4	10	10	4	5	0	0	0
3231469538082231575	2	10	10	0	4	0	0	0
14785107901976769631	1	20	20	4	2	0	0	0
13891246533556942989	2	20	20	5	4	0	1	0
10618147284172132389	2	20	20	3	4	0	0	0
13727447697233582937	1	20	20	3	2	0	0	0
8002708599051344614	2	10	10	2	0	0	3	0
5397127855351301000	1	100	100	1	5	0	0	0
11920086144840220522	1	100	100	0	3	0	2	0
13456916335078947976	4	100	100	0	3	0	0	0
1772454282010769552	2	10	10	1	5	0	0	0
9880128421603662497	2	10	10	3	1	0	0	1
1975295193394881306	2	20	20	2	0	0	0	0
5414540872981260609	4	20	20	2	5	0	0	0
4850164413975382852	1	20	20	2	4	0	0	0
15338611115349899469	1	100	100	1	5	0	3	0
10165368373458178159	1	20	20	1	4	0	0	0
8519130007918551082	1	100	100	1	3	0	0	0
6010205218808006393	2	20	20	5	1	0	1	1
239447746890048652	2	10	10	5	0	0	0	0
4272349773895727893	1	20	20	3	0	0	2	0
8771254842291686860	2	100	100	3	0	0	0	0
4366671476578270331	2	10	10	2	3	0	0	0
3140444277713568351	2	20	20	3	4	0	0	0
4478458335409281529	4	10	10	3	1	0	0	0
17746710598904585144	2	1	1	0	4	0	2	0
7247443956902504232	1	10	10	3	0	0	0	0
18056861640806307494	2	50	50	2	5	0	0	0
5288366637151980861	2	10	10	2	1	0	2	0
17074452556586213396	1	100	100	0	3	0	2	0
16255549948227183164	4	20	20	2	0	0	3	0
15801441031306080990	2	100	100	3	5	0	0	0
17807557094682257942	1	10	10	4	2	0	0	0
